close,date,high,low,marketcap,open,volume
1.79,"Oct 14, 2018",1.83,1.75,"367,833,547",1.78,"13,184,100"
1.78,"Oct 13, 2018",1.80,1.76,"366,117,587",1.77,"16,584,500"
1.76,"Oct 12, 2018",1.80,1.70,"351,684,409",1.70,"30,027,400"
1.73,"Oct 11, 2018",2.05,1.72,"423,766,987",2.05,"40,100,000"
2.05,"Oct 10, 2018",2.07,2.00,"427,144,465",2.06,"26,966,000"
2.07,"Oct 09, 2018",2.15,2.02,"428,156,475",2.07,"36,677,700"
2.06,"Oct 08, 2018",2.13,1.92,"400,167,630",1.93,"47,348,000"
1.93,"Oct 07, 2018",1.93,1.90,"399,218,723",1.93,"12,476,200"
1.92,"Oct 06, 2018",1.97,1.92,"359,088,422",1.95,"13,829,800"
1.95,"Oct 05, 2018",1.95,1.91,"353,394,804",1.92,"14,929,400"
1.92,"Oct 04, 2018",1.96,1.91,"351,402,829",1.91,"16,595,100"
1.90,"Oct 03, 2018",1.99,1.87,"363,749,525",1.97,"25,038,300"
1.98,"Oct 02, 2018",2.02,1.96,"364,440,446",1.98,"14,552,800"
1.98,"Oct 01, 2018",2.02,1.95,"369,315,671",2.00,"14,864,400"
2.00,"Sep 30, 2018",2.02,1.94,"365,935,552",1.99,"23,782,700"
1.99,"Sep 29, 2018",2.02,1.92,"371,895,381",2.02,"38,163,800"
2.01,"Sep 28, 2018",2.09,1.91,"353,431,343",1.92,"95,418,200"
1.92,"Sep 27, 2018",1.94,1.81,"338,058,904",1.84,"30,441,500"
1.83,"Sep 26, 2018",1.90,1.80,"341,867,050",1.86,"32,571,700"
1.85,"Sep 25, 2018",1.90,1.76,"349,209,555",1.90,"37,902,500"
1.91,"Sep 24, 2018",2.08,1.89,"383,205,499",2.08,"38,980,500"
2.08,"Sep 23, 2018",2.14,2.01,"380,923,290",2.07,"46,592,900"
2.06,"Sep 22, 2018",2.21,1.99,"400,844,446",2.18,"73,489,700"
2.13,"Sep 21, 2018",2.17,1.81,"340,693,446",1.85,"79,915,700"
1.83,"Sep 20, 2018",1.83,1.70,"316,574,020",1.72,"33,377,300"
