close,date,high,low,marketcap,open,volume
1.11,"Oct 14, 2018",1.16,1.09,"61,732,026",1.09,"908,651"
1.09,"Oct 13, 2018",1.11,1.08,"61,194,505",1.08,"487,449"
1.08,"Oct 12, 2018",1.17,1.06,"65,668,345",1.16,"2,110,800"
1.16,"Oct 11, 2018",1.32,1.09,"66,167,892",1.17,"4,168,430"
1.16,"Oct 10, 2018",1.30,1.07,"62,400,131",1.10,"2,956,150"
1.10,"Oct 09, 2018",1.12,1.08,"62,680,361",1.10,"326,428"
1.10,"Oct 08, 2018",1.15,1.07,"61,168,161",1.08,"736,957"
1.07,"Oct 07, 2018",1.11,1.06,"61,329,111",1.08,"300,750"
1.08,"Oct 06, 2018",1.14,1.07,"64,219,792",1.13,"403,710"
1.13,"Oct 05, 2018",1.14,1.07,"64,134,315",1.13,"834,322"
1.13,"Oct 04, 2018",1.14,1.07,"60,651,570",1.07,"747,899"
1.07,"Oct 03, 2018",1.08,1.05,"60,766,701",1.07,"297,513"
1.07,"Oct 02, 2018",1.08,1.05,"60,910,519",1.07,"487,993"
1.08,"Oct 01, 2018",1.13,1.05,"63,218,626",1.11,"607,555"
1.11,"Sep 30, 2018",1.27,1.09,"68,979,466",1.21,"2,542,580"
1.19,"Sep 29, 2018",1.36,0.986516,"56,271,316",0.991021,"9,175,460"
0.995670,"Sep 28, 2018",1.01,0.958108,"55,829,321",0.983237,"614,933"
0.983086,"Sep 27, 2018",1.01,0.924358,"52,693,492",0.928010,"1,579,050"
0.927994,"Sep 26, 2018",0.944686,0.912026,"52,017,708",0.916108,"247,527"
0.918090,"Sep 25, 2018",0.956719,0.896216,"52,660,586",0.927431,"556,796"
0.925770,"Sep 24, 2018",0.989286,0.922354,"55,567,516",0.978626,"738,565"
0.977504,"Sep 23, 2018",1.05,0.964292,"56,742,834",0.999325,"829,732"
1.00,"Sep 22, 2018",1.05,0.996799,"58,154,740",1.02,"675,040"
1.02,"Sep 21, 2018",1.04,0.934645,"53,852,467",0.948421,"837,786"
0.950523,"Sep 20, 2018",0.953784,0.905256,"51,492,111",0.906852,"341,692"
0.908947,"Sep 19, 2018",0.931458,0.872023,"50,389,213",0.887428,"643,944"
0.887035,"Sep 18, 2018",0.920259,0.835933,"48,201,266",0.848895,"642,770"
0.852646,"Sep 17, 2018",1.00,0.843026,"53,357,306",0.939701,"584,606"
0.940601,"Sep 16, 2018",0.942803,0.889276,"52,775,896",0.929461,"380,216"
0.927513,"Sep 15, 2018",0.936678,0.871283,"49,910,686",0.879001,"374,433"
0.878520,"Sep 14, 2018",0.951463,0.865276,"50,550,951",0.890277,"578,610"
0.887767,"Sep 13, 2018",0.894283,0.842822,"47,856,410",0.842822,"275,125"
0.853305,"Sep 12, 2018",0.908888,0.796317,"51,564,598",0.908129,"518,243"
0.909878,"Sep 11, 2018",0.979702,0.889943,"55,461,262",0.976755,"479,234"
0.976757,"Sep 10, 2018",1.02,0.924085,"52,977,175",0.933006,"972,336"
0.931766,"Sep 09, 2018",0.976736,0.924746,"53,998,989",0.951002,"249,066"
0.953436,"Sep 08, 2018",1.04,0.948388,"57,709,472",1.02,"173,668"
1.01,"Sep 07, 2018",1.07,1.00,"60,067,974",1.06,"206,057"
1.06,"Sep 06, 2018",1.06,0.974078,"59,785,347",1.05,"625,094"
1.05,"Sep 05, 2018",1.38,1.05,"77,844,227",1.37,"668,825"
1.27,"Sep 04, 2018",1.37,1.19,"67,654,567",1.19,"463,795"
1.19,"Sep 03, 2018",1.24,1.18,"68,850,134",1.21,"349,017"
1.21,"Sep 02, 2018",1.25,1.19,"69,810,714",1.23,"237,625"
1.23,"Sep 01, 2018",1.23,1.17,"66,587,425",1.17,"505,384"
1.17,"Aug 31, 2018",1.25,1.12,"65,316,115",1.15,"251,853"
1.15,"Aug 30, 2018",1.26,1.12,"70,838,414",1.25,"411,826"
1.25,"Aug 29, 2018",1.27,1.17,"69,392,853",1.22,"533,411"
1.22,"Aug 28, 2018",1.28,1.19,"68,628,217",1.21,"689,265"
1.22,"Aug 27, 2018",1.23,1.12,"63,745,188",1.12,"2,072,090"
1.12,"Aug 26, 2018",1.14,1.10,"64,706,310",1.14,"715,170"
1.13,"Aug 25, 2018",1.27,1.13,"64,369,099",1.13,"256,355"
1.14,"Aug 24, 2018",1.23,1.11,"68,545,827",1.21,"489,111"
1.21,"Aug 23, 2018",1.21,1.04,"60,853,044",1.07,"314,277"
1.07,"Aug 22, 2018",1.26,1.07,"62,501,041",1.10,"577,413"
1.10,"Aug 21, 2018",1.16,1.05,"59,821,676",1.05,"499,663"
