close,date,high,low,marketcap,open,volume
0.198635,"Oct 14, 2018",0.208944,0.195955,"55,840,651",0.195955,"2,309,480"
0.195765,"Oct 13, 2018",0.197195,0.187847,"53,703,701",0.188456,"1,656,330"
0.188425,"Oct 12, 2018",0.194668,0.186179,"53,054,873",0.186179,"2,579,480"
0.186701,"Oct 11, 2018",0.218670,0.185924,"62,313,637",0.218670,"5,102,020"
0.218630,"Oct 10, 2018",0.229192,0.201258,"59,265,015",0.207971,"8,175,670"
0.207593,"Oct 09, 2018",0.208571,0.193157,"55,399,392",0.194515,"3,286,060"
0.194056,"Oct 08, 2018",0.195049,0.189654,"54,689,509",0.192023,"1,141,230"
0.191452,"Oct 07, 2018",0.192153,0.188145,"54,154,936",0.190146,"849,322"
0.189531,"Oct 06, 2018",0.191166,0.185914,"53,561,084",0.188061,"855,081"
0.187915,"Oct 05, 2018",0.191980,0.184475,"54,189,473",0.190267,"995,045"
0.189649,"Oct 04, 2018",0.192707,0.176894,"50,831,765",0.178478,"1,263,130"
0.178479,"Oct 03, 2018",0.184947,0.175066,"52,674,245",0.184947,"1,645,660"
0.184661,"Oct 02, 2018",0.188762,0.181030,"52,178,029",0.183205,"2,124,040"
0.182987,"Oct 01, 2018",0.189527,0.172801,"49,940,997",0.175350,"4,382,550"
0.175703,"Sep 30, 2018",0.176027,0.169749,"49,021,900",0.172123,"1,316,610"
0.172385,"Sep 29, 2018",0.174528,0.167562,"49,033,826",0.172165,"1,379,920"
0.172040,"Sep 28, 2018",0.180175,0.170458,"50,697,700",0.178358,"1,699,590"
0.178285,"Sep 27, 2018",0.178585,0.164960,"47,125,457",0.165790,"1,914,020"
0.165959,"Sep 26, 2018",0.174051,0.160056,"46,216,520",0.162593,"1,382,840"
0.162495,"Sep 25, 2018",0.167825,0.154728,"47,113,326",0.165748,"1,702,970"
0.165832,"Sep 24, 2018",0.177810,0.165271,"50,461,717",0.177810,"1,832,500"
0.177670,"Sep 23, 2018",0.185017,0.175208,"51,386,509",0.181069,"1,842,460"
0.181245,"Sep 22, 2018",0.197276,0.166629,"49,143,196",0.173164,"5,168,720"
0.173011,"Sep 21, 2018",0.173080,0.153250,"44,306,612",0.156547,"2,618,430"
0.156520,"Sep 20, 2018",0.157189,0.148395,"42,222,954",0.149216,"1,991,280"
0.149217,"Sep 19, 2018",0.149217,0.141640,"42,141,512",0.148928,"1,789,630"
0.149272,"Sep 18, 2018",0.150719,0.137574,"39,506,882",0.139618,"2,403,530"
0.140253,"Sep 17, 2018",0.155389,0.136151,"42,835,672",0.151381,"2,114,590"
0.151439,"Sep 16, 2018",0.152167,0.139398,"41,036,310",0.145023,"2,077,120"
0.144974,"Sep 15, 2018",0.147221,0.141839,"41,091,204",0.145268,"1,425,830"
0.145033,"Sep 14, 2018",0.150040,0.138109,"42,348,152",0.149711,"1,799,960"
0.150287,"Sep 13, 2018",0.154714,0.132104,"37,367,619",0.132104,"1,872,510"
0.132736,"Sep 12, 2018",0.140019,0.126716,"39,507,917",0.139671,"1,067,430"
0.139936,"Sep 11, 2018",0.152432,0.135544,"42,437,967",0.150268,"1,009,010"
0.149764,"Sep 10, 2018",0.156110,0.147898,"43,530,575",0.154137,"758,044"
0.154166,"Sep 09, 2018",0.162999,0.147715,"43,763,769",0.154990,"757,444"
0.155259,"Sep 08, 2018",0.165571,0.150550,"46,531,124",0.164791,"727,478"
0.164303,"Sep 07, 2018",0.173893,0.162426,"47,999,610",0.170511,"688,888"
0.170096,"Sep 06, 2018",0.171468,0.159443,"48,033,507",0.170813,"1,551,000"
0.171824,"Sep 05, 2018",0.213785,0.171824,"59,700,949",0.212349,"2,214,620"
0.211834,"Sep 04, 2018",0.214426,0.209314,"59,405,124",0.211342,"1,278,790"
0.211056,"Sep 03, 2018",0.217812,0.208009,"60,705,165",0.216707,"2,279,340"
0.216130,"Sep 02, 2018",0.223350,0.211728,"62,406,794",0.222853,"2,196,630"
0.222801,"Sep 01, 2018",0.228881,0.217722,"61,270,378",0.218795,"2,409,980"
0.219267,"Aug 31, 2018",0.223273,0.209746,"61,125,016",0.218436,"2,311,950"
0.218126,"Aug 30, 2018",0.236460,0.207073,"62,419,210",0.223697,"2,911,160"
0.223508,"Aug 29, 2018",0.240707,0.217774,"66,689,036",0.240707,"1,933,560"
0.239022,"Aug 28, 2018",0.240589,0.226185,"65,387,305",0.236550,"2,617,930"
0.236275,"Aug 27, 2018",0.236275,0.219125,"61,676,861",0.223127,"1,432,730"
0.223701,"Aug 26, 2018",0.223701,0.201520,"58,912,057",0.213125,"2,159,390"
0.213119,"Aug 25, 2018",0.218948,0.204363,"56,490,130",0.204363,"1,852,410"
0.204583,"Aug 24, 2018",0.207861,0.177802,"50,904,413",0.184156,"3,022,020"
0.184553,"Aug 23, 2018",0.184553,0.177042,"48,937,946",0.177042,"878,213"
0.176809,"Aug 22, 2018",0.199966,0.173507,"52,597,821",0.190282,"760,357"
0.189926,"Aug 21, 2018",0.190364,0.181167,"50,478,976",0.182617,"594,511"
0.182899,"Aug 20, 2018",0.203823,0.180493,"55,513,219",0.200829,"752,355"
0.200923,"Aug 19, 2018",0.208511,0.191795,"53,715,094",0.194324,"714,216"
0.194650,"Aug 18, 2018",0.225370,0.187641,"59,692,876",0.215950,"2,043,130"
0.214852,"Aug 17, 2018",0.214852,0.190886,"52,764,710",0.190886,"2,827,190"
0.191086,"Aug 16, 2018",0.200830,0.152332,"44,643,624",0.161506,"5,538,870"
0.161633,"Aug 15, 2018",0.172103,0.160544,"45,075,051",0.163067,"1,903,180"
0.163044,"Aug 14, 2018",0.185677,0.148855,"51,324,780",0.185677,"1,637,230"
0.186290,"Aug 13, 2018",0.216212,0.177696,"59,401,392",0.214895,"1,351,140"
0.215033,"Aug 12, 2018",0.220732,0.213104,"59,920,182",0.216772,"735,348"
0.217518,"Aug 11, 2018",0.226764,0.208170,"62,601,568",0.226473,"1,038,830"
0.226337,"Aug 10, 2018",0.252415,0.226337,"68,007,767",0.246030,"1,384,870"
0.245675,"Aug 09, 2018",0.248198,0.223351,"61,800,134",0.223573,"1,154,290"
0.222283,"Aug 08, 2018",0.266650,0.220396,"73,707,543",0.266650,"1,848,620"
0.266374,"Aug 07, 2018",0.299785,0.264273,"80,517,017",0.291285,"2,111,880"
0.291114,"Aug 06, 2018",0.297812,0.280396,"77,507,228",0.280396,"2,802,640"
0.280307,"Aug 05, 2018",0.281319,0.267177,"75,978,262",0.274865,"1,089,700"
0.275302,"Aug 04, 2018",0.294259,0.261308,"80,328,804",0.290604,"2,153,390"
0.290042,"Aug 03, 2018",0.304429,0.270878,"84,150,172",0.304429,"3,340,070"
