close,date,high,low,marketcap,open,volume
3.21,"Oct 14, 2018",3.35,3.15,"118,265,756",3.20,"550,900"
3.19,"Oct 13, 2018",3.37,3.16,"117,890,370",3.19,"585,263"
3.19,"Oct 12, 2018",3.27,2.97,"111,776,863",3.02,"1,286,530"
3.05,"Oct 11, 2018",3.59,3.03,"132,671,975",3.59,"1,045,460"
3.60,"Oct 10, 2018",3.72,3.50,"135,941,009",3.67,"1,793,490"
3.69,"Oct 09, 2018",4.07,3.64,"138,111,005",3.73,"5,824,110"
3.72,"Oct 08, 2018",3.80,3.35,"126,217,816",3.41,"3,678,080"
3.39,"Oct 07, 2018",4.90,3.21,"120,561,410",3.26,"1,321,320"
3.25,"Oct 06, 2018",3.40,3.22,"125,568,387",3.39,"1,900,670"
3.39,"Oct 05, 2018",3.39,3.18,"119,929,281",3.24,"2,409,580"
3.24,"Oct 04, 2018",3.41,3.16,"117,380,485",3.17,"2,997,160"
3.17,"Oct 03, 2018",3.23,3.08,"117,960,190",3.19,"1,138,820"
3.18,"Oct 02, 2018",3.39,3.07,"119,632,009",3.23,"1,236,100"
3.23,"Oct 01, 2018",3.32,3.02,"120,257,997",3.25,"1,426,140"
3.25,"Sep 30, 2018",3.35,3.17,"121,319,196",3.28,"612,453"
3.28,"Sep 29, 2018",3.35,3.12,"118,135,828",3.19,"828,070"
3.18,"Sep 28, 2018",3.29,3.14,"117,621,214",3.18,"1,318,030"
3.17,"Sep 27, 2018",3.33,2.76,"112,501,786",3.04,"1,766,880"
3.06,"Sep 26, 2018",3.13,2.93,"112,513,899",3.04,"1,487,620"
3.03,"Sep 25, 2018",3.09,2.89,"113,551,552",3.07,"1,277,360"
3.08,"Sep 24, 2018",3.34,3.05,"117,272,313",3.17,"2,085,290"
3.15,"Sep 23, 2018",3.46,3.06,"115,224,023",3.11,"2,827,960"
3.11,"Sep 22, 2018",3.24,3.04,"118,331,060",3.20,"1,844,750"
3.20,"Sep 21, 2018",3.31,3.03,"115,455,171",3.12,"3,867,250"
3.13,"Sep 20, 2018",3.13,3.03,"112,766,107",3.05,"2,279,010"
3.05,"Sep 19, 2018",3.20,2.99,"116,677,354",3.15,"2,525,710"
3.17,"Sep 18, 2018",3.20,3.07,"116,404,219",3.15,"3,156,670"
3.14,"Sep 17, 2018",3.53,3.13,"129,273,180",3.49,"3,387,300"
3.50,"Sep 16, 2018",3.62,3.36,"130,261,523",3.52,"4,781,170"
3.52,"Sep 15, 2018",3.98,3.23,"119,746,648",3.24,"7,742,660"
3.24,"Sep 14, 2018",3.49,3.15,"127,306,047",3.44,"2,836,560"
3.42,"Sep 13, 2018",3.45,3.22,"119,307,519",3.22,"3,078,790"
3.22,"Sep 12, 2018",3.32,3.01,"122,431,910",3.31,"3,002,700"
3.30,"Sep 11, 2018",3.63,3.17,"133,819,554",3.62,"3,094,580"
3.61,"Sep 10, 2018",3.77,3.54,"136,775,277",3.70,"2,758,780"
3.70,"Sep 09, 2018",3.85,3.58,"137,630,049",3.72,"4,295,550"
3.72,"Sep 08, 2018",4.25,3.68,"154,175,429",4.17,"3,564,920"
4.12,"Sep 07, 2018",4.24,3.99,"149,114,838",4.03,"4,366,590"
4.02,"Sep 06, 2018",4.02,3.77,"148,579,350",4.02,"3,716,360"
4.05,"Sep 05, 2018",4.61,4.05,"168,758,052",4.56,"4,433,800"
4.55,"Sep 04, 2018",4.67,4.31,"159,650,975",4.31,"5,312,890"
4.32,"Sep 03, 2018",4.44,4.24,"160,181,380",4.33,"3,793,790"
4.33,"Sep 02, 2018",4.47,4.33,"163,676,728",4.42,"2,980,880"
4.41,"Sep 01, 2018",4.59,4.28,"159,080,798",4.30,"4,413,200"
4.30,"Aug 31, 2018",4.44,4.25,"159,873,495",4.32,"4,031,360"
4.32,"Aug 30, 2018",4.56,4.19,"167,994,734",4.54,"4,735,130"
4.54,"Aug 29, 2018",4.79,4.54,"176,366,478",4.77,"5,639,000"
4.77,"Aug 28, 2018",4.83,4.60,"176,377,365",4.77,"4,432,800"
4.76,"Aug 27, 2018",4.85,4.42,"166,609,557",4.50,"5,647,080"
4.49,"Aug 26, 2018",4.60,4.43,"170,112,368",4.60,"4,493,590"
4.60,"Aug 25, 2018",4.76,4.50,"176,213,514",4.76,"5,081,640"
4.75,"Aug 24, 2018",4.88,4.53,"179,682,236",4.86,"7,812,000"
4.86,"Aug 23, 2018",4.97,4.56,"169,032,854",4.57,"5,917,150"
4.59,"Aug 22, 2018",5.28,4.52,"184,498,516",4.99,"6,486,940"
4.97,"Aug 21, 2018",4.98,4.40,"168,704,853",4.56,"4,260,380"
4.55,"Aug 20, 2018",5.35,4.55,"195,144,316",5.27,"3,781,060"
5.27,"Aug 19, 2018",5.60,5.15,"197,802,608",5.35,"5,567,250"
5.35,"Aug 18, 2018",5.99,5.20,"201,974,708",5.46,"7,294,060"
5.45,"Aug 17, 2018",6.63,4.33,"160,261,400",4.33,"18,381,000"
4.33,"Aug 16, 2018",4.51,3.35,"125,145,130",3.38,"6,766,470"
