date,open,high,low,close,volume,marketcap
"Oct 12, 2019",0.000208,0.000215,0.000206,0.000212,"1,150,106","49,577,792"
"Oct 11, 2019",0.000216,0.000219,0.000204,0.000208,"1,892,916","48,802,563"
"Oct 10, 2019",0.000227,0.000230,0.000212,0.000216,"2,175,052","50,975,136"
"Oct 09, 2019",0.000222,0.000231,0.000216,0.000227,"2,230,320","53,600,557"
"Oct 08, 2019",0.000221,0.000226,0.000215,0.000222,"2,647,461","52,309,220"
"Oct 07, 2019",0.000219,0.000223,0.000215,0.000221,"2,415,657","52,205,316"
"Oct 06, 2019",0.000233,0.000233,0.000216,0.000220,"2,333,626","51,820,738"
"Oct 05, 2019",0.000234,0.000238,0.000231,0.000233,"5,774,145","55,008,103"
"Oct 04, 2019",0.000239,0.000240,0.000231,0.000234,"2,179,601","55,129,599"
"Oct 03, 2019",0.000244,0.000246,0.000233,0.000239,"64,045,072","56,435,893"
"Oct 02, 2019",0.000243,0.000246,0.000235,0.000244,"9,839,627","57,497,376"
"Oct 01, 2019",0.000253,0.000259,0.000240,0.000243,"25,205,892","57,239,010"
"Sep 30, 2019",0.000280,0.000281,0.000238,0.000252,"22,630,202","59,555,920"
"Sep 29, 2019",0.000292,0.000296,0.000275,0.000280,"12,557,296","65,998,403"
"Sep 28, 2019",0.000286,0.000294,0.000282,0.000290,"20,122,992","68,498,387"
"Sep 27, 2019",0.000274,0.000288,0.000269,0.000286,"10,195,904","67,546,368"
"Sep 26, 2019",0.000270,0.000286,0.000258,0.000272,"3,679,775","64,169,289"
"Sep 25, 2019",0.000268,0.000279,0.000252,0.000270,"2,278,169","63,621,814"
"Sep 24, 2019",0.000336,0.000342,0.000271,0.000275,"1,974,793","64,670,664"
"Sep 23, 2019",0.000347,0.000347,0.000324,0.000336,"1,341,676","79,112,891"
"Sep 22, 2019",0.000351,0.000360,0.000339,0.000347,"2,007,082","81,770,747"
"Sep 21, 2019",0.000357,0.000389,0.000347,0.000351,"1,512,780","82,643,261"
"Sep 20, 2019",0.000364,0.000365,0.000350,0.000357,"1,464,252","84,161,495"
"Sep 19, 2019",0.000369,0.000374,0.000351,0.000364,"1,734,779","85,757,647"
"Sep 18, 2019",0.000350,0.000378,0.000347,0.000369,"2,905,175","86,845,583"
"Sep 17, 2019",0.000348,0.000353,0.000337,0.000346,"2,283,287","81,422,978"
"Sep 16, 2019",0.000353,0.000358,0.000337,0.000348,"1,427,194","81,920,370"
"Sep 15, 2019",0.000353,0.000360,0.000349,0.000353,"963,745","83,183,482"
"Sep 14, 2019",0.000361,0.000365,0.000347,0.000353,"1,087,468","83,238,933"
"Sep 13, 2019",0.000357,0.000373,0.000350,0.000361,"1,688,434","85,111,027"
"Sep 12, 2019",0.000351,0.000362,0.000348,0.000357,"1,517,581","84,171,421"
"Sep 11, 2019",0.000362,0.000368,0.000349,0.000351,"1,803,831","82,694,922"
"Sep 10, 2019",0.000372,0.000376,0.000357,0.000362,"1,510,973","85,255,612"
