close,date,high,low,marketcap,open,volume
0.221742,"Oct 14, 2018",0.235600,0.220730,"77,537,557",0.221536,"438,896"
0.221133,"Oct 13, 2018",0.222551,0.219632,"77,300,663",0.220859,"324,186"
0.220862,"Oct 12, 2018",0.223628,0.217613,"76,442,483",0.218407,"498,625"
0.218875,"Oct 11, 2018",0.226856,0.213846,"74,966,768",0.214191,"3,013,620"
0.214640,"Oct 10, 2018",0.220159,0.213353,"76,780,514",0.219373,"509,087"
0.219484,"Oct 09, 2018",0.224234,0.217871,"78,326,304",0.223789,"628,775"
0.223458,"Oct 08, 2018",0.225440,0.221682,"78,442,320",0.224121,"473,530"
0.225786,"Oct 07, 2018",0.226088,0.221593,"79,120,521",0.226059,"565,390"
0.225832,"Oct 06, 2018",0.228994,0.225326,"79,799,395",0.227998,"323,371"
0.227773,"Oct 05, 2018",0.227967,0.215207,"75,703,768",0.216296,"342,519"
0.216169,"Oct 04, 2018",0.222877,0.216056,"77,624,179",0.221783,"258,963"
0.221790,"Oct 03, 2018",0.223839,0.219225,"78,343,520",0.223839,"863,368"
0.223779,"Oct 02, 2018",0.224614,0.222236,"77,926,193",0.222646,"772,010"
0.224375,"Oct 01, 2018",0.227506,0.221997,"78,072,918",0.223065,"584,636"
0.223626,"Sep 30, 2018",0.229276,0.221261,"80,170,810",0.229059,"304,789"
0.229259,"Sep 29, 2018",0.231906,0.218040,"76,754,078",0.219297,"627,562"
0.219302,"Sep 28, 2018",0.231978,0.218811,"79,097,266",0.225992,"413,635"
0.225360,"Sep 27, 2018",0.225518,0.212884,"75,515,194",0.215758,"894,241"
0.215807,"Sep 26, 2018",0.218290,0.212380,"75,643,749",0.216125,"439,134"
0.216016,"Sep 25, 2018",0.218506,0.207755,"74,185,313",0.211958,"1,459,410"
0.211536,"Sep 24, 2018",0.219994,0.210269,"76,951,861",0.219862,"382,618"
0.219058,"Sep 23, 2018",0.222077,0.215995,"77,235,950",0.220674,"500,098"
0.220542,"Sep 22, 2018",0.229587,0.219141,"79,667,899",0.227623,"540,858"
0.228208,"Sep 21, 2018",0.228208,0.209924,"74,800,548",0.213716,"579,635"
0.213621,"Sep 20, 2018",0.214362,0.202861,"74,521,451",0.212918,"573,216"
0.213009,"Sep 19, 2018",0.215533,0.209389,"74,843,001",0.213837,"967,797"
0.214101,"Sep 18, 2018",0.217167,0.210239,"73,851,271",0.211004,"625,488"
0.210438,"Sep 17, 2018",0.213151,0.202925,"72,279,415",0.206513,"1,150,990"
0.206782,"Sep 16, 2018",0.211388,0.205571,"73,985,787",0.211388,"524,942"
0.210598,"Sep 15, 2018",0.216571,0.210276,"74,561,854",0.213034,"623,128"
0.212911,"Sep 14, 2018",0.224840,0.210705,"76,629,570",0.218942,"725,093"
0.219081,"Sep 13, 2018",0.219868,0.204765,"72,236,602",0.206390,"490,766"
0.206229,"Sep 12, 2018",0.208282,0.199994,"71,844,268",0.205269,"1,082,570"
0.205467,"Sep 11, 2018",0.214457,0.204734,"73,916,083",0.211189,"1,022,860"
0.210967,"Sep 10, 2018",0.215505,0.205219,"73,596,603",0.210276,"1,081,140"
0.210325,"Sep 09, 2018",0.215858,0.202946,"72,173,026",0.206209,"947,628"
0.206540,"Sep 08, 2018",0.230711,0.201611,"78,036,264",0.222961,"1,108,940"
0.222731,"Sep 07, 2018",0.230818,0.216953,"77,065,729",0.220188,"1,564,110"
