close,date,high,low,marketcap,open,volume
3.46,"Oct 14, 2018",3.55,3.46,"308,835,672",3.47,"66,949,400"
3.48,"Oct 13, 2018",3.54,3.44,"310,191,281",3.49,"79,992,700"
3.48,"Oct 12, 2018",3.53,3.38,"302,433,766",3.40,"110,968,000"
3.41,"Oct 11, 2018",3.97,3.41,"352,919,670",3.97,"142,871,000"
3.97,"Oct 10, 2018",4.06,3.75,"341,579,325",3.84,"155,411,000"
3.86,"Oct 09, 2018",3.91,3.79,"346,569,877",3.90,"104,168,000"
3.89,"Oct 08, 2018",3.93,3.79,"340,485,653",3.83,"115,729,000"
3.84,"Oct 07, 2018",3.84,3.71,"334,906,792",3.77,"177,728,000"
3.75,"Oct 06, 2018",3.82,3.73,"339,365,743",3.82,"138,528,000"
3.81,"Oct 05, 2018",3.89,3.71,"335,787,198",3.78,"141,122,000"
3.76,"Oct 04, 2018",3.97,3.75,"334,488,427",3.76,"168,860,000"
3.75,"Oct 03, 2018",3.91,3.69,"341,062,765",3.84,"129,606,000"
3.93,"Oct 02, 2018",4.03,3.79,"341,346,094",3.84,"128,617,000"
3.84,"Oct 01, 2018",3.93,3.74,"345,484,832",3.88,"143,550,000"
3.89,"Sep 30, 2018",3.94,3.78,"343,271,203",3.86,"160,072,000"
3.88,"Sep 29, 2018",3.95,3.75,"343,308,857",3.86,"161,854,000"
3.88,"Sep 28, 2018",4.01,3.81,"354,588,237",3.99,"198,804,000"
3.98,"Sep 27, 2018",4.11,3.53,"322,707,437",3.63,"198,894,000"
3.62,"Sep 26, 2018",3.77,3.54,"327,102,028",3.68,"131,695,000"
3.68,"Sep 25, 2018",3.80,3.47,"337,765,743",3.80,"120,542,000"
3.81,"Sep 24, 2018",4.14,3.79,"367,769,344",4.14,"124,927,000"
4.14,"Sep 23, 2018",4.27,3.75,"334,202,643",3.76,"184,527,000"
3.75,"Sep 22, 2018",4.06,3.66,"359,529,820",4.04,"150,237,000"
4.02,"Sep 21, 2018",4.03,3.50,"317,409,640",3.57,"257,060,000"
3.57,"Sep 20, 2018",3.58,3.31,"294,685,906",3.31,"115,629,000"
3.32,"Sep 19, 2018",3.34,3.20,"292,889,002",3.29,"93,122,400"
3.27,"Sep 18, 2018",3.35,3.09,"279,198,901",3.14,"90,924,200"
3.16,"Sep 17, 2018",3.48,3.09,"300,828,640",3.38,"93,359,200"
3.36,"Sep 16, 2018",3.48,3.29,"307,870,803",3.46,"72,631,300"
3.44,"Sep 15, 2018",3.67,3.36,"307,654,121",3.46,"84,648,200"
3.58,"Sep 14, 2018",3.61,3.30,"306,099,529",3.44,"96,757,200"
3.47,"Sep 13, 2018",3.55,3.34,"297,165,390",3.34,"92,579,700"
3.38,"Sep 12, 2018",3.43,3.12,"302,846,096",3.41,"120,528,000"
3.38,"Sep 11, 2018",3.61,3.29,"311,234,409",3.50,"88,995,200"
3.49,"Sep 10, 2018",3.71,3.41,"324,000,965",3.65,"79,471,800"
3.62,"Sep 09, 2018",3.74,3.44,"322,368,742",3.63,"85,751,300"
3.62,"Sep 08, 2018",3.98,3.61,"347,804,381",3.91,"83,247,900"
