date,open,high,low,close,volume,marketcap
"Oct 12, 2019",6.18,6.21,5.81,5.88,"3,225,152","70,972,013"
"Oct 11, 2019",6.57,6.80,5.67,6.18,"3,782,346","74,611,962"
"Oct 10, 2019",6.72,6.83,6.46,6.58,"3,924,872","79,449,871"
"Oct 09, 2019",6.61,6.96,6.49,6.71,"4,363,769","81,062,575"
"Oct 08, 2019",6.58,6.88,6.45,6.61,"3,746,271","79,780,422"
"Oct 07, 2019",5.98,6.74,5.75,6.57,"3,808,063","79,257,561"
"Oct 06, 2019",6.17,6.29,5.77,5.97,"3,444,782","72,121,271"
"Oct 05, 2019",6.48,6.48,6.04,6.17,"3,392,375","74,436,141"
"Oct 04, 2019",6.54,7.48,5.91,6.48,"3,471,790","78,272,501"
"Oct 03, 2019",6.58,7.02,6.05,6.54,"3,569,815","78,897,407"
"Oct 02, 2019",6.49,6.74,6.30,6.60,"3,625,549","79,648,814"
"Oct 01, 2019",6.30,7.03,6.17,6.49,"3,719,080","78,313,071"
"Sep 30, 2019",5.68,6.30,5.62,6.30,"3,627,546","76,019,835"
"Sep 29, 2019",6.35,6.40,5.66,5.68,"3,377,365","68,521,042"
"Sep 28, 2019",6.58,6.65,6.24,6.36,"3,634,623","76,778,626"
"Sep 27, 2019",6.26,6.59,6.25,6.56,"3,698,222","79,165,151"
"Sep 26, 2019",7.13,7.13,6.12,6.30,"4,131,479","76,031,842"
"Sep 25, 2019",6.34,7.18,6.32,7.10,"4,194,741","85,758,600"
"Sep 24, 2019",7.66,8.03,6.27,6.35,"5,210,512","76,654,335"
"Sep 23, 2019",8.56,8.67,7.57,7.66,"5,281,994","92,532,813"
"Sep 22, 2019",8.64,8.67,8.32,8.57,"4,743,952","103,432,691"
"Sep 21, 2019",8.35,9.17,8.32,8.63,"4,986,091","104,236,550"
"Sep 20, 2019",8.95,9.00,8.29,8.37,"4,997,908","101,108,244"
"Sep 19, 2019",7.79,8.96,6.64,8.95,"5,681,215","108,021,813"
"Sep 18, 2019",8.05,8.15,7.66,7.77,"4,509,812","93,847,922"
"Sep 17, 2019",7.77,8.12,7.60,8.07,"4,530,224","97,407,511"
"Sep 16, 2019",7.97,8.07,7.14,7.79,"4,316,764","94,095,223"
"Sep 15, 2019",6.81,7.95,6.67,7.95,"4,289,846","96,010,790"
"Sep 14, 2019",5.44,6.82,5.43,6.82,"3,605,452","82,296,241"
"Sep 13, 2019",5.41,5.56,5.39,5.44,"3,234,516","65,671,767"
"Sep 12, 2019",5.35,5.54,5.24,5.41,"3,214,188","65,263,777"
"Sep 11, 2019",5.17,5.38,5.06,5.36,"2,969,341","64,743,764"
"Sep 10, 2019",5.32,5.42,5.08,5.17,"2,670,713","62,370,833"
"Sep 09, 2019",5.53,5.57,5.24,5.29,"2,771,857","63,829,395"
"Sep 08, 2019",5.26,5.61,5.12,5.53,"2,632,676","66,733,192"
"Sep 07, 2019",5.29,5.42,5.03,5.28,"2,705,122","63,758,690"
"Sep 06, 2019",5.68,5.82,5.03,5.26,"3,010,234","63,558,322"
"Sep 05, 2019",5.77,5.84,5.51,5.68,"2,872,301","68,590,570"
"Sep 04, 2019",5.75,5.95,5.65,5.78,"2,698,542","69,733,802"
"Sep 03, 2019",5.44,5.95,5.40,5.75,"3,264,566","69,450,927"
"Sep 02, 2019",5.63,5.71,5.13,5.45,"3,031,035","65,751,943"
"Sep 01, 2019",5.55,5.82,4.95,5.63,"1,709,443","67,929,199"
"Aug 31, 2019",5.95,6.10,5.55,5.57,"1,619,598","67,212,636"
"Aug 30, 2019",6.35,6.57,5.92,5.92,"1,764,782","71,451,354"
"Aug 29, 2019",6.72,6.77,6.16,6.35,"1,980,995","76,718,637"
"Aug 28, 2019",6.96,7.47,6.70,6.72,"2,053,172","81,106,371"
"Aug 27, 2019",7.06,7.27,6.89,6.94,"1,883,124","83,840,414"
"Aug 26, 2019",6.62,7.06,6.60,7.04,"2,195,645","84,980,929"
"Aug 25, 2019",6.70,6.72,6.42,6.61,"2,472,146","79,805,753"
"Aug 24, 2019",6.93,6.93,6.53,6.70,"2,546,154","80,903,424"
"Aug 23, 2019",6.44,7.04,6.38,6.91,"2,506,679","83,460,861"
"Aug 22, 2019",6.49,6.56,6.22,6.43,"1,910,676","77,622,103"
"Aug 21, 2019",6.91,7.05,6.40,6.49,"2,529,320","78,396,631"
"Aug 20, 2019",7.08,7.09,6.81,6.91,"2,532,222","83,478,971"
"Aug 19, 2019",6.75,7.17,6.71,7.08,"2,952,334","85,479,153"
"Aug 18, 2019",6.66,7.02,6.51,6.76,"2,470,593","81,659,074"
"Aug 17, 2019",6.95,7.14,6.54,6.65,"2,592,617","80,311,094"
"Aug 16, 2019",6.97,7.02,6.15,6.93,"2,842,330","83,654,893"
"Aug 15, 2019",7.58,7.67,6.88,6.98,"3,434,929","84,209,323"
"Aug 14, 2019",8.15,8.28,7.24,7.58,"2,886,410","91,491,956"
"Aug 13, 2019",8.43,8.74,7.84,8.13,"3,577,846","98,171,595"
"Aug 12, 2019",8.54,8.93,8.32,8.40,"3,848,621","101,402,274"
"Aug 11, 2019",7.81,9.49,7.77,8.54,"3,738,740","103,063,416"
"Aug 10, 2019",8.22,8.39,7.55,7.83,"3,573,133","94,493,309"
"Aug 09, 2019",8.85,9.30,8.12,8.22,"4,064,707","99,184,937"
"Aug 08, 2019",9.53,9.81,8.32,8.84,"4,059,081","106,743,518"
"Aug 07, 2019",9.46,9.73,9.01,9.53,"3,905,575","115,076,554"
"Aug 06, 2019",10.45,10.48,9.37,9.49,"4,629,682","114,540,731"
"Aug 05, 2019",8.14,10.64,8.14,10.44,"3,983,444","125,983,481"
"Aug 04, 2019",8.07,8.24,7.87,8.16,"4,123,949","98,453,936"
"Aug 03, 2019",7.78,8.16,7.73,8.07,"4,028,662","97,468,136"
"Aug 02, 2019",7.85,8.22,7.65,7.79,"3,864,800","93,994,153"
"Aug 01, 2019",8.33,8.47,7.78,7.83,"4,134,927","94,588,346"
"Jul 31, 2019",7.76,8.57,7.44,8.32,"4,066,477","100,387,933"
"Jul 30, 2019",8.00,8.30,7.64,7.76,"3,879,939","93,692,754"
"Jul 29, 2019",7.91,8.69,7.83,7.98,"4,056,104","96,340,359"
"Jul 28, 2019",7.70,7.97,7.41,7.89,"4,535,151","95,242,893"
"Jul 27, 2019",8.90,9.08,7.47,7.70,"5,052,539","92,907,692"
"Jul 26, 2019",8.80,9.14,8.29,8.90,"5,342,192","107,469,326"
"Jul 25, 2019",8.76,9.28,8.16,8.78,"5,292,009","105,971,510"
"Jul 24, 2019",8.81,9.07,8.45,8.67,"5,611,124","104,720,581"
"Jul 23, 2019",9.33,9.36,8.67,8.81,"6,045,216","106,342,326"
"Jul 22, 2019",9.05,9.85,8.43,9.30,"6,470,133","112,333,991"
"Jul 21, 2019",8.63,9.48,8.52,9.04,"12,803,666","109,106,652"
"Jul 20, 2019",8.82,9.43,8.10,8.63,"12,954,495","104,155,876"
"Jul 19, 2019",9.60,9.79,8.74,8.84,"13,308,988","106,712,922"
"Jul 18, 2019",8.91,9.74,8.53,9.60,"15,131,650","115,881,027"
"Jul 17, 2019",9.05,9.99,8.42,8.89,"16,045,869","107,283,182"
"Jul 16, 2019",10.92,11.49,9.03,9.05,"18,334,701","109,272,037"
"Jul 15, 2019",11.01,11.27,10.12,10.89,"23,660,156","131,511,062"
"Jul 14, 2019",12.41,12.67,10.95,11.06,"20,119,543","133,474,133"
"Jul 13, 2019",12.60,12.92,11.25,12.45,"24,831,660","150,255,108"
"Jul 12, 2019",12.73,13.02,11.95,12.52,"22,969,116","151,113,727"
"Jul 11, 2019",11.72,14.27,11.43,12.63,"21,807,581","152,434,429"
"Jul 10, 2019",12.42,13.20,10.61,11.67,"19,602,058","140,889,669"
"Jul 09, 2019",14.37,15.68,12.28,12.39,"14,446,478","149,597,966"
"Jul 08, 2019",11.62,15.77,10.93,14.29,"10,260,845","172,572,666"
"Jul 07, 2019",11.60,12.23,11.06,11.58,"9,811,629","113,198,107"
"Jul 06, 2019",10.57,12.53,10.39,11.56,"11,272,809","112,998,804"
"Jul 05, 2019",8.96,11.76,8.77,10.56,"13,641,100","103,232,055"
"Jul 04, 2019",8.74,9.88,8.28,8.93,"14,013,906","87,322,611"
"Jul 03, 2019",8.29,9.05,7.96,8.73,"14,742,858","85,402,279"
"Jul 02, 2019",8.91,9.01,7.84,8.29,"12,643,830","81,068,070"
"Jul 01, 2019",8.61,9.64,7.65,8.92,"13,512,790","87,168,084"
"Jun 30, 2019",8.20,9.15,7.63,8.61,"11,958,123","84,213,971"
"Jun 29, 2019",7.14,9.32,6.75,8.21,"9,884,139","80,251,942"
"Jun 28, 2019",6.14,7.21,6.10,7.11,"8,692,128","69,537,559"
"Jun 27, 2019",6.88,7.17,5.74,6.14,"7,379,319","59,984,646"
"Jun 26, 2019",7.61,8.29,6.55,6.88,"8,535,028","67,300,850"
"Jun 25, 2019",7.50,8.39,6.96,7.61,"9,419,759","74,403,981"
"Jun 24, 2019",6.05,7.54,5.76,7.50,"7,837,943","73,339,482"
"Jun 23, 2019",5.96,6.35,5.28,6.05,"5,076,740","59,113,879"
"Jun 22, 2019",6.14,6.55,5.67,5.96,"5,319,911","58,265,857"
"Jun 21, 2019",5.80,6.42,5.66,6.11,"5,423,902","59,763,884"
"Jun 20, 2019",5.16,6.03,4.83,5.81,"5,097,192","56,785,164"
"Jun 19, 2019",4.23,5.50,4.17,5.13,"5,230,704","50,201,052"
"Jun 18, 2019",3.90,4.31,3.80,4.24,"4,258,321","41,448,635"
"Jun 17, 2019",4.07,4.18,3.63,3.88,"4,450,469","37,929,707"
"Jun 16, 2019",4.35,4.41,3.93,4.07,"4,379,503","39,790,707"
"Jun 15, 2019",4.46,4.46,4.21,4.35,"4,945,142","42,508,926"
"Jun 14, 2019",4.45,4.51,4.04,4.45,"5,313,729","43,477,376"
"Jun 13, 2019",4.69,4.94,4.27,4.47,"5,214,625","43,706,670"
"Jun 12, 2019",3.83,4.69,3.74,4.69,"4,975,033","45,821,596"
"Jun 11, 2019",3.70,3.90,3.59,3.84,"4,265,309","37,538,263"
"Jun 10, 2019",3.45,3.85,3.38,3.69,"4,534,738","36,072,337"
"Jun 09, 2019",3.80,4.00,3.00,3.45,"3,713,380","33,767,737"
"Jun 08, 2019",3.46,4.54,3.44,3.79,"4,302,591","37,046,227"
"Jun 07, 2019",3.56,3.73,2.78,3.47,"3,840,163","33,884,705"
"Jun 06, 2019",3.33,4.75,3.22,3.56,"4,887,086","34,802,292"
"Jun 05, 2019",2.50,3.44,2.35,3.34,"4,121,382","32,616,945"
"Jun 04, 2019",2.23,2.73,2.15,2.50,"3,263,396","24,485,053"
"Jun 03, 2019",2.32,2.34,2.06,2.21,"2,415,560","21,637,055"
"Jun 02, 2019",2.22,2.33,2.21,2.32,"2,805,004","22,683,543"
"Jun 01, 2019",2.20,2.33,2.08,2.22,"2,769,765","21,736,603"
"May 31, 2019",2.02,2.50,1.93,2.22,"2,882,574","21,690,101"
"May 30, 2019",2.30,2.37,1.97,2.02,"2,739,096","19,791,672"
"May 29, 2019",2.39,2.40,2.08,2.30,"2,994,294","22,480,817"
"May 28, 2019",2.49,2.85,2.25,2.40,"2,722,124","23,457,496"
"May 27, 2019",2.52,2.61,2.29,2.50,"2,630,501","24,452,690"
"May 26, 2019",2.36,2.58,2.26,2.53,"2,840,115","24,721,996"
