date,open,high,low,close,volume,marketcap
"Oct 12, 2019",0.104276,0.104567,0.102486,0.103654,"2,974,045","51,764,212"
"Oct 11, 2019",0.107214,0.107909,0.104149,0.104276,"3,013,238","52,075,013"
"Oct 10, 2019",0.106803,0.108101,0.104402,0.107230,"2,428,590","53,549,985"
"Oct 09, 2019",0.106482,0.109752,0.105283,0.106862,"2,726,707","52,222,061"
"Oct 08, 2019",0.106944,0.107351,0.105222,0.106482,"2,540,120","52,036,550"
"Oct 07, 2019",0.100716,0.108117,0.099525,0.106895,"2,478,657","52,238,323"
"Oct 06, 2019",0.108662,0.109500,0.099874,0.100795,"2,163,214","49,257,535"
"Oct 05, 2019",0.109194,0.109577,0.107858,0.108651,"1,981,160","53,096,322"
"Oct 04, 2019",0.109431,0.109756,0.104308,0.109194,"2,298,996","53,361,991"
"Oct 03, 2019",0.115525,0.115601,0.109505,0.109532,"2,694,602","53,526,940"
"Oct 02, 2019",0.115048,0.115595,0.112643,0.113367,"2,526,741","55,401,356"
"Oct 01, 2019",0.115991,0.116111,0.112595,0.115048,"2,387,171","56,222,791"
"Sep 30, 2019",0.105507,0.116548,0.100271,0.116016,"2,562,814","56,695,612"
"Sep 29, 2019",0.109891,0.113936,0.104192,0.105507,"2,088,801","51,559,868"
"Sep 28, 2019",0.107605,0.112588,0.104059,0.109855,"2,671,063","53,684,908"
"Sep 27, 2019",0.094894,0.110859,0.092471,0.107431,"3,500,435","52,500,198"
"Sep 26, 2019",0.104089,0.109064,0.094822,0.095006,"2,716,555","46,428,131"
"Sep 25, 2019",0.113005,0.113865,0.097905,0.104154,"3,971,276","50,898,979"
"Sep 24, 2019",0.125898,0.128487,0.099112,0.113056,"4,480,726","55,249,325"
"Sep 23, 2019",0.128972,0.132870,0.125856,0.126026,"4,683,592","61,587,346"
"Sep 22, 2019",0.126158,0.131084,0.125105,0.128893,"2,562,630","62,988,383"
"Sep 21, 2019",0.128194,0.129161,0.125438,0.126038,"3,236,884","61,593,506"
"Sep 20, 2019",0.122991,0.128425,0.121384,0.128263,"3,539,752","62,680,739"
"Sep 19, 2019",0.124958,0.126219,0.121127,0.122925,"5,295,879","60,071,805"
"Sep 18, 2019",0.132088,0.133311,0.122739,0.124946,"5,982,252","61,059,520"
"Sep 17, 2019",0.139554,0.140094,0.131861,0.131989,"3,996,015","64,501,421"
"Sep 16, 2019",0.141975,0.142882,0.138602,0.139317,"5,236,109","68,082,459"
"Sep 15, 2019",0.143147,0.143925,0.140378,0.141973,"6,175,234","69,380,583"
"Sep 14, 2019",0.139262,0.143461,0.137303,0.143282,"5,391,812","70,020,397"
"Sep 13, 2019",0.139668,0.140243,0.136600,0.139206,"5,216,760","68,028,177"
"Sep 12, 2019",0.138023,0.139867,0.136523,0.139703,"6,265,268","68,271,223"
"Sep 11, 2019",0.139205,0.140143,0.136405,0.138023,"3,980,263","67,450,468"
"Sep 10, 2019",0.140041,0.141137,0.137853,0.139205,"4,192,281","68,027,791"
"Sep 09, 2019",0.142342,0.143089,0.135943,0.139833,"4,311,391","66,837,445"
"Sep 08, 2019",0.142726,0.145309,0.141795,0.142342,"3,861,540","68,036,782"
"Sep 07, 2019",0.142681,0.146103,0.141461,0.142980,"3,543,327","68,341,652"
"Sep 06, 2019",0.147319,0.150269,0.141503,0.142589,"4,509,508","68,154,639"
"Sep 05, 2019",0.148273,0.148413,0.139847,0.147319,"4,063,474","70,415,766"
"Sep 04, 2019",0.146377,0.149727,0.141351,0.148273,"3,365,830","70,871,646"
"Sep 03, 2019",0.136037,0.147548,0.135525,0.147373,"3,932,012","70,441,551"
"Sep 02, 2019",0.130626,0.137201,0.128904,0.135678,"4,086,564","64,851,448"
"Sep 01, 2019",0.134333,0.134425,0.129033,0.132232,"2,584,942","63,204,153"
"Aug 31, 2019",0.132682,0.135838,0.129856,0.134135,"2,687,763","64,114,188"
"Aug 30, 2019",0.131042,0.135562,0.130098,0.132961,"2,842,067","63,552,610"
"Aug 29, 2019",0.137778,0.141020,0.125990,0.131042,"4,343,698","62,635,628"
"Aug 28, 2019",0.152593,0.154900,0.137291,0.137327,"2,722,159","65,639,703"
"Aug 27, 2019",0.149056,0.156407,0.148918,0.152342,"2,999,421","72,816,426"
"Aug 26, 2019",0.155746,0.157201,0.146584,0.149317,"3,356,336","71,370,804"
"Aug 25, 2019",0.150925,0.156175,0.145950,0.156175,"3,068,506","74,648,731"
"Aug 24, 2019",0.158042,0.158602,0.139783,0.150925,"3,778,563","72,139,146"
"Aug 23, 2019",0.154806,0.161522,0.146343,0.158068,"3,664,129","75,553,515"
"Aug 22, 2019",0.152934,0.162478,0.146573,0.154806,"3,589,054","73,994,337"
"Aug 21, 2019",0.142616,0.157395,0.132306,0.152817,"5,090,231","73,043,562"
"Aug 20, 2019",0.149257,0.156484,0.140307,0.142611,"392,597","68,165,551"
"Aug 19, 2019",0.145619,0.155254,0.138668,0.149257,"291,485","71,342,177"
"Aug 18, 2019",0.118099,0.163392,0.118099,0.145832,"661,164","69,704,936"
"Aug 17, 2019",0.127277,0.127296,0.112364,0.118112,"187,570","56,455,418"
"Aug 16, 2019",0.121869,0.131534,0.118161,0.127311,"356,368","60,852,465"
"Aug 15, 2019",0.119849,0.123365,0.115010,0.121850,"243,695","58,241,755"
"Aug 14, 2019",0.129746,0.137433,0.119584,0.119849,"338,054","57,285,660"
"Aug 13, 2019",0.139994,0.139994,0.118291,0.130073,"487,375","62,172,407"
"Aug 12, 2019",0.141182,0.158201,0.138177,0.139966,"318,161","64,197,535"
"Aug 11, 2019",0.136913,0.142666,0.134052,0.141008,"244,379","64,675,717"
"Aug 10, 2019",0.143426,0.146381,0.134303,0.136592,"352,733","62,650,008"
"Aug 09, 2019",0.146893,0.147522,0.140070,0.143426,"285,178","65,784,661"
"Aug 08, 2019",0.145202,0.147239,0.141562,0.146958,"443,388","67,404,620"
"Aug 07, 2019",0.136994,0.146921,0.134568,0.145202,"329,502","66,599,381"
"Aug 06, 2019",0.137416,0.145672,0.134301,0.137030,"249,771","62,851,172"
"Aug 05, 2019",0.143056,0.150649,0.132863,0.137101,"411,857","62,883,798"
"Aug 04, 2019",0.139814,0.144580,0.133512,0.142818,"336,543","65,505,828"
"Aug 03, 2019",0.125937,0.142148,0.125937,0.139788,"257,202","64,116,087"
"Aug 02, 2019",0.127900,0.138988,0.122693,0.126409,"252,144","57,979,815"
"Aug 01, 2019",0.127241,0.128296,0.120027,0.127873,"253,354","58,651,108"
