date,open,high,low,close,volume,marketcap
"Oct 12, 2019",0.035586,0.038684,0.035586,0.038488,"28,614,968","177,785,931"
"Oct 11, 2019",0.038076,0.038076,0.034886,0.035588,"34,213,809","164,138,429"
"Oct 10, 2019",0.033167,0.038610,0.033092,0.037994,"64,021,525","174,958,866"
"Oct 09, 2019",0.032061,0.033815,0.031611,0.033236,"22,391,095","152,809,387"
"Oct 08, 2019",0.032258,0.032745,0.031214,0.032046,"17,678,706","147,109,742"
"Oct 07, 2019",0.030726,0.032635,0.030202,0.032207,"14,616,682","147,619,657"
"Oct 06, 2019",0.031638,0.031716,0.030259,0.030843,"10,041,425","141,147,415"
"Oct 05, 2019",0.031209,0.031802,0.030487,0.031698,"12,601,044","144,828,707"
"Oct 04, 2019",0.030364,0.031685,0.029291,0.031209,"13,749,444","142,373,192"
"Oct 03, 2019",0.031098,0.031351,0.029227,0.030286,"9,523,798","137,948,576"
"Oct 02, 2019",0.029408,0.031196,0.029407,0.031080,"11,946,707","141,340,200"
"Oct 01, 2019",0.030788,0.031165,0.029357,0.029408,"11,377,043","133,514,707"
"Sep 30, 2019",0.030622,0.031247,0.028061,0.030773,"29,111,983","139,525,715"
"Sep 29, 2019",0.028268,0.031663,0.027863,0.030635,"30,689,874","138,678,193"
"Sep 28, 2019",0.028802,0.029032,0.027947,0.028215,"12,071,836","127,521,210"
"Sep 27, 2019",0.027624,0.028982,0.026107,0.028785,"24,392,355","129,892,163"
"Sep 26, 2019",0.026429,0.028187,0.025191,0.027655,"18,880,815","124,596,026"
"Sep 25, 2019",0.025949,0.027254,0.025163,0.026429,"21,810,698","118,880,074"
"Sep 24, 2019",0.031459,0.031607,0.025110,0.025900,"27,774,809","116,318,626"
"Sep 23, 2019",0.033164,0.033242,0.031318,0.031531,"18,783,288","141,379,866"
"Sep 22, 2019",0.034666,0.034820,0.032623,0.033101,"22,429,404","148,181,292"
"Sep 21, 2019",0.035549,0.036119,0.034612,0.034693,"23,797,054","155,062,776"
"Sep 20, 2019",0.034327,0.037041,0.033390,0.035554,"30,685,648","158,657,284"
"Sep 19, 2019",0.036600,0.036840,0.032636,0.034265,"21,780,847","152,658,258"
"Sep 18, 2019",0.033118,0.037225,0.033076,0.036590,"25,610,641","162,758,176"
"Sep 17, 2019",0.031583,0.033703,0.030994,0.033149,"15,753,182","147,211,758"
"Sep 16, 2019",0.032427,0.032735,0.031429,0.031586,"8,220,722","140,042,591"
"Sep 15, 2019",0.032680,0.032771,0.032054,0.032430,"8,401,589","143,556,903"
"Sep 14, 2019",0.030833,0.032688,0.030833,0.032680,"12,519,515","144,423,889"
"Sep 13, 2019",0.030754,0.031276,0.030389,0.030804,"5,851,593","135,914,896"
"Sep 12, 2019",0.030297,0.030956,0.030029,0.030758,"9,102,991","135,496,527"
"Sep 11, 2019",0.031186,0.031326,0.029886,0.030281,"9,747,392","133,172,406"
"Sep 10, 2019",0.031477,0.031856,0.030544,0.031186,"9,434,873","136,933,683"
"Sep 09, 2019",0.031935,0.032319,0.030217,0.031575,"13,991,069","138,415,923"
"Sep 08, 2019",0.032684,0.033398,0.031859,0.031972,"10,720,489","139,925,256"
"Sep 07, 2019",0.031676,0.032701,0.031274,0.032701,"11,037,772","142,883,001"
"Sep 06, 2019",0.031722,0.031930,0.030471,0.031641,"10,954,478","138,027,764"
"Sep 05, 2019",0.031749,0.032344,0.031440,0.031722,"8,652,973","138,151,977"
"Sep 04, 2019",0.032102,0.032742,0.031304,0.031763,"10,083,348","138,102,853"
"Sep 03, 2019",0.032421,0.032784,0.031615,0.032105,"12,223,799","139,360,711"
"Sep 02, 2019",0.031385,0.032513,0.030892,0.032428,"8,621,345","140,530,145"
"Sep 01, 2019",0.032140,0.032459,0.030761,0.031342,"5,742,314","135,597,607"
