close,date,high,low,marketcap,open,volume
0.003132,"Oct 14, 2018",0.003285,0.003089,"89,776,032",0.003116,"503,981"
0.003145,"Oct 13, 2018",0.003251,0.003054,"89,862,969",0.003119,"642,596"
0.003179,"Oct 12, 2018",0.003211,0.002946,"85,827,740",0.002979,"1,124,360"
0.003045,"Oct 11, 2018",0.003539,0.002968,"101,131,172",0.003510,"2,174,950"
0.003494,"Oct 10, 2018",0.003634,0.003452,"104,699,556",0.003634,"1,613,570"
0.003582,"Oct 09, 2018",0.003729,0.003404,"107,290,629",0.003724,"2,109,170"
0.003646,"Oct 08, 2018",0.003801,0.003544,"108,164,703",0.003755,"1,858,270"
0.003737,"Oct 07, 2018",0.003949,0.003628,"113,710,862",0.003947,"1,798,440"
0.003933,"Oct 06, 2018",0.004039,0.003806,"116,308,885",0.004037,"1,013,320"
0.003964,"Oct 05, 2018",0.004081,0.003794,"116,270,397",0.004036,"1,838,110"
0.004061,"Oct 04, 2018",0.004142,0.003866,"114,174,582",0.003963,"2,529,220"
0.003958,"Oct 03, 2018",0.004107,0.003721,"107,194,624",0.003721,"4,343,430"
0.003752,"Oct 02, 2018",0.004749,0.003752,"128,767,732",0.004470,"6,219,030"
0.004448,"Oct 01, 2018",0.005408,0.004208,"146,386,336",0.005081,"14,433,500"
0.005095,"Sep 30, 2018",0.005420,0.004218,"124,474,698",0.004321,"14,062,000"
0.004356,"Sep 29, 2018",0.004467,0.003641,"110,720,435",0.003843,"6,273,330"
0.003845,"Sep 28, 2018",0.003859,0.003454,"102,805,001",0.003569,"1,768,460"
0.003602,"Sep 27, 2018",0.003622,0.003269,"97,942,201",0.003400,"1,121,600"
0.003395,"Sep 26, 2018",0.003543,0.003325,"96,198,801",0.003339,"1,409,540"
0.003407,"Sep 25, 2018",0.003553,0.003262,"102,350,437",0.003553,"1,259,410"
0.003557,"Sep 24, 2018",0.003689,0.003430,"102,176,034",0.003547,"1,323,810"
0.003546,"Sep 23, 2018",0.003618,0.003278,"96,596,458",0.003353,"1,241,910"
0.003316,"Sep 22, 2018",0.003532,0.003231,"101,006,284",0.003506,"1,360,340"
0.003438,"Sep 21, 2018",0.003567,0.003233,"95,695,849",0.003322,"3,247,510"
0.003351,"Sep 20, 2018",0.003524,0.003273,"97,596,668",0.003388,"2,678,370"
0.003418,"Sep 19, 2018",0.003616,0.003210,"103,360,883",0.003588,"1,388,860"
0.003617,"Sep 18, 2018",0.003620,0.003318,"99,253,621",0.003445,"897,062"
0.003384,"Sep 17, 2018",0.003775,0.003365,"108,741,533",0.003775,"1,755,800"
0.003765,"Sep 16, 2018",0.003766,0.003451,"101,787,700",0.003533,"1,528,000"
0.003558,"Sep 15, 2018",0.003640,0.003436,"99,168,744",0.003442,"1,241,070"
0.003448,"Sep 14, 2018",0.003572,0.003353,"101,095,568",0.003509,"1,636,100"
0.003574,"Sep 13, 2018",0.003704,0.003419,"100,526,620",0.003489,"1,324,850"
0.003487,"Sep 12, 2018",0.003718,0.003236,"106,985,791",0.003714,"2,032,470"
0.003651,"Sep 11, 2018",0.003971,0.003407,"99,249,429",0.003445,"4,647,700"
0.003409,"Sep 10, 2018",0.003599,0.003145,"91,984,359",0.003193,"2,585,000"
0.003195,"Sep 09, 2018",0.003327,0.003037,"91,786,319",0.003186,"820,404"
0.003188,"Sep 08, 2018",0.003468,0.003140,"98,563,058",0.003421,"959,284"
0.003417,"Sep 07, 2018",0.003512,0.003173,"94,601,471",0.003284,"1,679,840"
0.003317,"Sep 06, 2018",0.003319,0.002974,"92,903,220",0.003225,"2,413,510"
0.003286,"Sep 05, 2018",0.004206,0.003286,"118,715,098",0.004121,"3,717,490"
0.004083,"Sep 04, 2018",0.004192,0.003778,"108,937,722",0.003781,"2,906,190"
0.003891,"Sep 03, 2018",0.003957,0.003604,"109,151,914",0.003789,"2,492,000"
0.003789,"Sep 02, 2018",0.004227,0.003472,"114,942,972",0.003990,"5,277,780"
0.003950,"Sep 01, 2018",0.004493,0.003387,"106,464,044",0.003696,"11,441,400"
0.003698,"Aug 31, 2018",0.003698,0.002780,"82,584,149",0.002867,"3,598,550"
0.002864,"Aug 30, 2018",0.002938,0.002666,"81,187,375",0.002818,"1,457,420"
0.002817,"Aug 29, 2018",0.002918,0.002679,"79,688,881",0.002766,"1,020,990"
0.002765,"Aug 28, 2018",0.002910,0.002681,"79,284,449",0.002752,"1,083,560"
0.002721,"Aug 27, 2018",0.002721,0.002469,"73,539,050",0.002553,"847,235"
0.002489,"Aug 26, 2018",0.002570,0.002412,"74,024,576",0.002570,"577,758"
0.002564,"Aug 25, 2018",0.002630,0.002420,"73,327,735",0.002545,"717,762"
0.002520,"Aug 24, 2018",0.002570,0.002413,"73,373,179",0.002547,"572,771"
0.002549,"Aug 23, 2018",0.002557,0.002313,"67,849,336",0.002355,"956,720"
0.002292,"Aug 22, 2018",0.002724,0.002249,"73,321,772",0.002545,"1,170,110"
0.002544,"Aug 21, 2018",0.002653,0.002456,"73,230,911",0.002542,"971,268"
0.002515,"Aug 20, 2018",0.002932,0.002483,"74,749,327",0.002595,"3,103,060"
0.002599,"Aug 19, 2018",0.002669,0.002265,"66,462,892",0.002307,"1,302,480"
0.002306,"Aug 18, 2018",0.002565,0.002280,"71,126,491",0.002469,"1,821,410"
0.002496,"Aug 17, 2018",0.002496,0.002024,"59,208,682",0.002055,"1,925,450"
0.002085,"Aug 16, 2018",0.002200,0.002002,"60,504,326",0.002100,"1,044,430"
0.002134,"Aug 15, 2018",0.002319,0.001985,"58,869,219",0.002043,"1,297,390"
0.002045,"Aug 14, 2018",0.002191,0.001813,"63,134,229",0.002191,"1,494,360"
0.002164,"Aug 13, 2018",0.002539,0.002131,"71,987,875",0.002499,"1,005,850"
0.002469,"Aug 12, 2018",0.002545,0.002430,"72,046,532",0.002501,"352,670"
