date,open,high,low,close,volume,marketcap
"Oct 12, 2019",1.09,1.10,1.09,1.09,"581,134","35,012,641"
"Oct 11, 2019",1.10,1.11,1.09,1.09,"1,196,283","34,951,115"
"Oct 10, 2019",1.10,1.10,1.09,1.10,"1,254,137","35,072,540"
"Oct 09, 2019",1.10,1.11,1.09,1.10,"1,378,214","35,199,298"
"Oct 08, 2019",1.10,1.10,1.09,1.10,"735,292","35,158,977"
"Oct 07, 2019",1.10,1.10,1.09,1.10,"1,040,723","35,024,246"
"Oct 06, 2019",1.09,1.11,1.08,1.10,"1,148,324","35,107,498"
"Oct 05, 2019",1.09,1.10,1.08,1.09,"1,101,785","34,816,401"
"Oct 04, 2019",1.10,1.10,1.09,1.09,"816,349","34,981,699"
"Oct 03, 2019",1.10,1.10,1.09,1.10,"1,065,490","35,142,487"
"Oct 02, 2019",1.10,1.10,1.09,1.10,"843,830","35,235,744"
"Oct 01, 2019",1.10,1.11,1.09,1.10,"1,126,131","35,019,801"
"Sep 30, 2019",1.09,1.10,1.08,1.10,"1,240,142","35,251,039"
"Sep 29, 2019",1.10,1.10,1.09,1.09,"1,028,913","34,972,514"
"Sep 28, 2019",1.10,1.10,1.08,1.09,"1,260,350","35,007,381"
"Sep 27, 2019",1.09,1.10,1.09,1.10,"1,004,974","35,226,546"
"Sep 26, 2019",1.09,1.11,1.09,1.09,"1,238,481","34,996,511"
"Sep 25, 2019",1.09,1.11,1.09,1.09,"1,025,847","34,903,058"
"Sep 24, 2019",1.09,1.14,1.08,1.09,"2,038,328","34,946,698"
"Sep 23, 2019",1.09,1.10,1.09,1.09,"923,525","34,725,528"
"Sep 22, 2019",1.09,1.10,1.09,1.09,"823,316","35,010,820"
"Sep 21, 2019",1.09,1.11,1.08,1.09,"901,184","34,785,369"
"Sep 20, 2019",1.09,1.10,1.08,1.09,"943,113","34,838,627"
"Sep 19, 2019",1.09,1.11,1.09,1.09,"869,918","34,998,516"
"Sep 18, 2019",1.09,1.10,1.09,1.09,"972,646","34,938,113"
"Sep 17, 2019",1.10,1.10,1.09,1.09,"886,780","34,950,690"
"Sep 16, 2019",1.10,1.10,1.09,1.10,"841,191","35,134,810"
"Sep 15, 2019",1.09,1.10,1.09,1.10,"791,610","35,066,396"
"Sep 14, 2019",1.10,1.11,1.09,1.09,"908,510","34,950,488"
"Sep 13, 2019",1.10,1.10,1.09,1.10,"851,484","35,173,658"
"Sep 12, 2019",1.10,1.10,1.09,1.10,"748,731","35,162,084"
"Sep 11, 2019",1.10,1.10,1.09,1.10,"907,674","35,105,988"
"Sep 10, 2019",1.10,1.10,1.09,1.10,"717,770","35,062,988"
"Sep 09, 2019",1.09,1.10,1.09,1.10,"900,958","35,072,779"
"Sep 08, 2019",1.10,1.11,1.09,1.09,"848,614","35,012,725"
"Sep 07, 2019",1.09,1.11,1.09,1.10,"865,906","35,144,762"
"Sep 06, 2019",1.10,1.10,1.09,1.09,"902,112","34,960,973"
"Sep 05, 2019",1.09,1.10,1.09,1.10,"666,412","35,116,572"
"Sep 04, 2019",1.10,1.10,1.09,1.09,"841,608","35,014,407"
"Sep 03, 2019",1.10,1.10,1.09,1.10,"958,359","35,038,886"
"Sep 02, 2019",1.10,1.11,1.09,1.10,"1,036,755","35,022,381"
"Sep 01, 2019",1.10,1.11,1.10,1.10,"699,137","35,288,573"
"Aug 31, 2019",1.09,1.11,1.09,1.10,"744,219","35,320,099"
"Aug 30, 2019",1.10,1.11,1.09,1.09,"943,597","35,008,802"
"Aug 29, 2019",1.10,1.10,1.09,1.10,"936,692","35,125,796"
"Aug 28, 2019",1.09,1.11,1.09,1.10,"1,216,426","35,117,292"
"Aug 27, 2019",1.10,1.10,1.09,1.09,"926,882","34,988,880"
"Aug 26, 2019",1.10,1.11,1.09,1.10,"1,055,635","35,074,054"
