date,open,high,low,close,volume,marketcap
"Oct 12, 2019",0.058316,0.060877,0.051445,0.055954,"32,282,007","38,891,404"
"Oct 11, 2019",0.064856,0.066091,0.058139,0.058313,"26,944,836","40,530,547"
"Oct 10, 2019",0.067814,0.068911,0.060688,0.064443,"30,161,060","44,791,237"
"Oct 09, 2019",0.057914,0.069224,0.057778,0.067987,"22,948,005","47,254,628"
"Oct 08, 2019",0.056427,0.058081,0.055554,0.057914,"23,275,634","40,253,700"
"Oct 07, 2019",0.054528,0.056867,0.053301,0.056383,"23,219,406","39,189,012"
"Oct 06, 2019",0.055255,0.058149,0.051690,0.054831,"23,599,178","38,110,564"
"Oct 05, 2019",0.049000,0.055643,0.048657,0.055404,"24,396,231","38,508,925"
"Oct 04, 2019",0.047563,0.049981,0.047329,0.049000,"23,044,990","34,057,653"
"Oct 03, 2019",0.047664,0.049244,0.046494,0.047601,"23,324,869","33,085,236"
"Oct 02, 2019",0.047538,0.050577,0.046703,0.047616,"24,332,586","33,095,433"
"Oct 01, 2019",0.047314,0.050215,0.046723,0.047538,"23,080,771","33,041,457"
"Sep 30, 2019",0.047855,0.054199,0.045362,0.047494,"14,887,472","33,011,241"
"Sep 29, 2019",0.047929,0.061152,0.037661,0.047855,"25,688,508","33,262,002"
"Sep 28, 2019",0.035116,0.048776,0.034767,0.047804,"25,333,500","33,226,584"
"Sep 27, 2019",0.033506,0.035255,0.031866,0.035090,"11,057,761","24,389,723"
"Sep 26, 2019",0.030838,0.035450,0.030619,0.033488,"11,920,129","23,276,211"
"Sep 25, 2019",0.026633,0.031158,0.026428,0.030838,"10,662,350","21,434,068"
"Sep 24, 2019",0.030137,0.031225,0.023466,0.026689,"13,344,814","18,550,033"
"Sep 23, 2019",0.031508,0.032509,0.029855,0.030138,"12,247,232","20,947,609"
"Sep 22, 2019",0.030689,0.031840,0.030018,0.031553,"13,777,009","21,931,275"
"Sep 21, 2019",0.030201,0.030912,0.029755,0.030685,"16,096,430","21,327,561"
"Sep 20, 2019",0.029961,0.030910,0.029730,0.030291,"14,737,184","21,053,724"
"Sep 19, 2019",0.029215,0.030576,0.028368,0.029961,"11,683,043","20,824,252"
"Sep 18, 2019",0.028143,0.029975,0.027496,0.029211,"10,310,615","20,303,280"
"Sep 17, 2019",0.028868,0.029651,0.028097,0.028152,"10,023,276","19,567,498"
"Sep 16, 2019",0.029780,0.030596,0.028592,0.028870,"7,469,742","20,066,493"
"Sep 15, 2019",0.030459,0.030959,0.029135,0.029767,"6,293,874","20,689,506"
"Sep 14, 2019",0.030682,0.030889,0.029754,0.030444,"9,119,762","21,160,357"
"Sep 13, 2019",0.030171,0.030724,0.029934,0.030699,"8,967,618","21,337,658"
"Sep 12, 2019",0.030036,0.030317,0.028726,0.030171,"8,258,612","20,970,771"
"Sep 11, 2019",0.029329,0.032455,0.027804,0.030072,"8,988,582","20,901,892"
"Sep 10, 2019",0.026103,0.030217,0.025887,0.029329,"8,567,579","20,385,463"
"Sep 09, 2019",0.025955,0.026577,0.025431,0.026089,"8,033,441","18,133,574"
"Sep 08, 2019",0.026460,0.026938,0.025262,0.025955,"7,139,275","18,039,897"
"Sep 07, 2019",0.024364,0.026860,0.024348,0.026479,"15,244,095","18,404,219"
"Sep 06, 2019",0.025717,0.026155,0.023997,0.024280,"7,600,791","16,875,691"
"Sep 05, 2019",0.025894,0.026492,0.025263,0.025717,"10,164,918","17,874,585"
"Sep 04, 2019",0.025624,0.026629,0.024310,0.025894,"7,142,141","17,938,442"
"Sep 03, 2019",0.026308,0.026895,0.025259,0.025614,"16,373,079","17,744,730"
"Sep 02, 2019",0.025577,0.026960,0.024860,0.026335,"8,725,204","18,244,456"
"Sep 01, 2019",0.025171,0.025753,0.024098,0.025537,"5,271,191","17,691,251"
"Aug 31, 2019",0.025846,0.026373,0.024098,0.025238,"7,951,658","17,484,472"
"Aug 30, 2019",0.025002,0.026298,0.023552,0.025842,"7,602,521","17,902,650"
"Aug 29, 2019",0.022760,0.025176,0.022042,0.025009,"4,220,593","17,325,406"
"Aug 28, 2019",0.024548,0.025726,0.022210,0.022730,"3,370,882","15,746,596"
"Aug 27, 2019",0.025348,0.026132,0.023465,0.025314,"3,714,236","17,537,105"
"Aug 26, 2019",0.024246,0.026337,0.023524,0.025221,"3,679,976","17,472,393"
"Aug 25, 2019",0.023698,0.025204,0.022568,0.024214,"2,534,760","16,775,224"
"Aug 24, 2019",0.023030,0.024010,0.022245,0.023698,"3,208,739","16,417,094"
"Aug 23, 2019",0.022939,0.023415,0.022268,0.022980,"2,367,765","15,919,946"
"Aug 22, 2019",0.022613,0.023725,0.022394,0.022939,"2,303,980","15,891,328"
"Aug 21, 2019",0.024053,0.025114,0.022330,0.022615,"2,087,903","15,667,212"
"Aug 20, 2019",0.025968,0.026283,0.023714,0.023989,"1,886,711","16,618,994"
"Aug 19, 2019",0.026226,0.027816,0.025319,0.025968,"2,109,331","17,989,974"
"Aug 18, 2019",0.027211,0.028077,0.025774,0.026247,"1,345,787","18,183,347"
"Aug 17, 2019",0.024713,0.027471,0.024298,0.027317,"2,016,427","18,924,280"
"Aug 16, 2019",0.024001,0.025390,0.022834,0.024761,"1,898,392","17,153,892"
"Aug 15, 2019",0.023190,0.024795,0.022229,0.024298,"1,643,444","16,832,959"
"Aug 14, 2019",0.025518,0.025762,0.022510,0.023190,"1,636,939","16,065,637"
"Aug 13, 2019",0.025698,0.026293,0.025165,0.025707,"1,765,406","17,809,254"
"Aug 12, 2019",0.025731,0.026499,0.025004,0.025488,"1,510,895","17,657,560"
"Aug 11, 2019",0.025375,0.026636,0.025245,0.025662,"1,281,664","17,778,145"
"Aug 10, 2019",0.025783,0.027124,0.025196,0.025377,"1,420,543","17,580,307"
"Aug 09, 2019",0.027547,0.027558,0.025492,0.025783,"1,588,748","17,861,849"
"Aug 08, 2019",0.028500,0.028714,0.026309,0.027537,"1,638,588","19,077,222"
"Aug 07, 2019",0.027033,0.029261,0.026869,0.028500,"1,551,242","19,744,311"
"Aug 06, 2019",0.026375,0.027574,0.025653,0.027064,"1,328,735","18,749,603"
"Aug 05, 2019",0.026524,0.028017,0.024216,0.026291,"2,012,545","18,213,926"
"Aug 04, 2019",0.027159,0.027170,0.025704,0.026571,"1,264,399","18,407,730"
"Aug 03, 2019",0.025771,0.027230,0.025469,0.027174,"1,439,460","18,825,426"
"Aug 02, 2019",0.025682,0.026872,0.024587,0.025761,"1,368,923","17,846,598"
"Aug 01, 2019",0.025868,0.026421,0.024300,0.025619,"1,104,389","17,748,567"
"Jul 31, 2019",0.024883,0.026619,0.024628,0.025813,"1,497,878","17,882,462"
"Jul 30, 2019",0.025763,0.026905,0.024193,0.024779,"1,246,757","17,160,515"
"Jul 29, 2019",0.025879,0.027488,0.023369,0.025766,"2,055,010","17,844,009"
"Jul 28, 2019",0.026193,0.026569,0.024636,0.025943,"1,223,118","17,966,308"
"Jul 27, 2019",0.026346,0.027808,0.023375,0.026193,"2,262,932","18,139,505"
"Jul 26, 2019",0.021743,0.026394,0.021184,0.026346,"3,170,549","18,245,327"
"Jul 25, 2019",0.018861,0.022232,0.018781,0.021743,"1,724,420","15,057,763"
"Jul 24, 2019",0.019803,0.019803,0.018205,0.018860,"1,180,480","13,059,529"
"Jul 23, 2019",0.018707,0.020584,0.018671,0.019803,"1,338,363","13,712,217"
"Jul 22, 2019",0.019428,0.019544,0.018253,0.018714,"868,155","12,958,562"
"Jul 21, 2019",0.019484,0.020048,0.018919,0.019420,"876,744","13,447,175"
"Jul 20, 2019",0.019404,0.020021,0.019095,0.019484,"858,294","13,491,100"
"Jul 19, 2019",0.019853,0.019882,0.018732,0.019393,"973,046","13,428,601"
"Jul 18, 2019",0.020457,0.021088,0.018472,0.019853,"1,275,050","13,747,266"
"Jul 17, 2019",0.015607,0.020954,0.015572,0.020429,"2,964,735","14,145,519"
"Jul 16, 2019",0.018575,0.018951,0.015602,0.015669,"842,409","10,850,038"
"Jul 15, 2019",0.017804,0.018918,0.016534,0.018579,"841,907","12,864,872"
"Jul 14, 2019",0.019089,0.019236,0.017797,0.017872,"874,597","12,374,766"
"Jul 13, 2019",0.020771,0.020916,0.018539,0.019121,"849,913","13,238,211"
"Jul 12, 2019",0.018786,0.021626,0.018644,0.020749,"1,388,180","14,365,398"
"Jul 11, 2019",0.018914,0.019569,0.016833,0.018780,"1,040,229","13,002,013"
"Jul 10, 2019",0.020326,0.021821,0.018160,0.018901,"1,153,888","13,085,472"
"Jul 09, 2019",0.019583,0.021297,0.018550,0.020326,"961,273","14,065,093"
"Jul 08, 2019",0.017473,0.022213,0.017051,0.019540,"1,379,870","13,521,470"
"Jul 07, 2019",0.017039,0.017880,0.016740,0.017474,"847,380","12,091,484"
"Jul 06, 2019",0.017549,0.018561,0.016867,0.017174,"968,670","11,884,193"
"Jul 05, 2019",0.016936,0.018780,0.016746,0.017557,"1,002,924","12,149,427"
"Jul 04, 2019",0.020065,0.021175,0.016932,0.016934,"1,150,746","11,704,105"
"Jul 03, 2019",0.020549,0.021962,0.018925,0.020064,"1,429,115","13,867,563"
"Jul 02, 2019",0.018266,0.020575,0.014769,0.020575,"1,701,774","14,214,374"
"Jul 01, 2019",0.020170,0.021148,0.017624,0.018268,"1,180,342","12,620,694"
"Jun 30, 2019",0.021120,0.026392,0.020170,0.020170,"2,883,653","13,934,198"
