close,date,high,low,marketcap,open,volume
0.006294,"Oct 14, 2018",0.006557,0.006235,"236,033,511",0.006316,"2,995,470"
0.006310,"Oct 13, 2018",0.006461,0.006122,"228,648,492",0.006122,"3,406,030"
0.006094,"Oct 12, 2018",0.006208,0.005924,"223,579,468",0.005989,"4,324,470"
0.005998,"Oct 11, 2018",0.007075,0.005962,"262,109,662",0.007024,"7,667,740"
0.007053,"Oct 10, 2018",0.007330,0.006898,"273,383,419",0.007330,"5,910,640"
0.007349,"Oct 09, 2018",0.007615,0.007282,"283,610,243",0.007608,"3,649,240"
0.007582,"Oct 08, 2018",0.007668,0.007326,"279,447,469",0.007500,"5,475,820"
0.007484,"Oct 07, 2018",0.007519,0.007201,"271,525,667",0.007290,"4,106,140"
0.007268,"Oct 06, 2018",0.007765,0.007143,"284,131,977",0.007632,"5,557,140"
0.007647,"Oct 05, 2018",0.007847,0.007223,"281,308,458",0.007561,"10,957,800"
0.007559,"Oct 04, 2018",0.008151,0.007405,"285,442,608",0.007675,"22,454,500"
0.007543,"Oct 03, 2018",0.007855,0.006517,"251,878,548",0.006776,"20,739,400"
0.006802,"Oct 02, 2018",0.007136,0.006481,"240,783,795",0.006481,"10,920,500"
0.006474,"Oct 01, 2018",0.006662,0.006151,"228,547,029",0.006155,"8,131,070"
0.006151,"Sep 30, 2018",0.006355,0.006019,"226,598,022",0.006105,"3,324,220"
0.006082,"Sep 29, 2018",0.006231,0.006000,"229,214,570",0.006179,"3,328,400"
0.006180,"Sep 28, 2018",0.006442,0.006095,"230,837,590",0.006225,"4,281,330"
0.006231,"Sep 27, 2018",0.006334,0.005921,"223,765,768",0.006037,"3,910,570"
0.006027,"Sep 26, 2018",0.006320,0.005901,"228,089,093",0.006157,"6,383,410"
0.006141,"Sep 25, 2018",0.006440,0.005785,"238,449,607",0.006440,"7,396,960"
0.006471,"Sep 24, 2018",0.007493,0.006329,"262,732,353",0.007099,"16,219,600"
0.006887,"Sep 23, 2018",0.007361,0.005787,"214,444,471",0.005797,"20,455,000"
0.005801,"Sep 22, 2018",0.006086,0.005586,"220,451,672",0.005963,"3,353,870"
0.005980,"Sep 21, 2018",0.006025,0.005482,"205,285,925",0.005555,"6,291,570"
0.005554,"Sep 20, 2018",0.005572,0.005262,"196,647,998",0.005324,"2,923,650"
0.005319,"Sep 19, 2018",0.005378,0.005085,"194,718,045",0.005274,"2,320,950"
0.005278,"Sep 18, 2018",0.005382,0.005089,"189,112,852",0.005125,"2,283,310"
0.005132,"Sep 17, 2018",0.005623,0.005081,"202,633,561",0.005494,"3,440,430"
0.005493,"Sep 16, 2018",0.005522,0.005347,"202,365,816",0.005490,"2,589,820"
0.005484,"Sep 15, 2018",0.005535,0.005320,"197,540,705",0.005361,"2,070,600"
