close,date,high,low,marketcap,open,volume
0.820729,"Oct 14, 2018",0.859723,0.818996,"238,470,375",0.850152,"1,015,710"
0.849846,"Oct 13, 2018",0.887738,0.826462,"231,578,555",0.826547,"1,785,100"
0.827356,"Oct 12, 2018",0.838744,0.771342,"219,991,967",0.786466,"1,980,850"
0.789867,"Oct 11, 2018",0.866428,0.779343,"235,845,208",0.843815,"6,463,150"
0.843933,"Oct 10, 2018",0.875827,0.839360,"242,052,591",0.866444,"1,946,200"
0.869238,"Oct 09, 2018",0.881430,0.850968,"244,526,656",0.874976,"1,115,380"
0.872442,"Oct 08, 2018",0.892871,0.870467,"249,094,826",0.890185,"1,415,120"
0.888423,"Oct 07, 2018",0.945350,0.877053,"256,797,423",0.917791,"3,181,120"
0.919202,"Oct 06, 2018",0.950434,0.850537,"249,860,541",0.893372,"2,620,100"
0.891342,"Oct 05, 2018",0.908266,0.852025,"241,393,433",0.864227,"1,273,160"
0.864013,"Oct 04, 2018",0.904360,0.853239,"248,061,784",0.889981,"1,304,390"
0.888984,"Oct 03, 2018",0.900234,0.827613,"237,755,119",0.854168,"1,628,720"
0.853139,"Oct 02, 2018",0.883619,0.852809,"244,978,470",0.880406,"1,301,700"
0.882121,"Oct 01, 2018",0.926821,0.874028,"255,792,403",0.919901,"1,180,470"
0.920205,"Sep 30, 2018",0.967876,0.914490,"261,936,150",0.943035,"909,980"
0.942486,"Sep 29, 2018",0.969906,0.911845,"259,033,053",0.933207,"1,247,760"
0.934352,"Sep 28, 2018",0.979085,0.922450,"268,699,185",0.968275,"1,636,940"
0.969385,"Sep 27, 2018",1.02,0.966148,"278,463,374",1.00,"2,861,520"
1.01,"Sep 26, 2018",1.07,0.899787,"260,139,441",0.937775,"6,170,820"
0.937679,"Sep 25, 2018",0.993451,0.894982,"275,725,900",0.993451,"6,217,110"
0.993872,"Sep 24, 2018",1.12,0.852111,"253,130,929",0.910954,"10,966,400"
0.911468,"Sep 23, 2018",0.915296,0.866117,"250,499,712",0.899574,"3,182,010"
0.895229,"Sep 22, 2018",0.915702,0.829430,"243,111,810",0.872061,"5,033,380"
0.866769,"Sep 21, 2018",0.888931,0.811855,"234,571,609",0.840934,"4,797,460"
0.838994,"Sep 20, 2018",0.840078,0.796259,"224,480,776",0.802095,"3,342,090"
0.798921,"Sep 19, 2018",0.830150,0.756641,"232,630,702",0.830150,"3,365,240"
0.813001,"Sep 18, 2018",0.881178,0.699509,"198,421,197",0.707540,"10,801,200"
0.707027,"Sep 17, 2018",0.770515,0.704187,"213,366,371",0.760774,"2,610,530"
0.758454,"Sep 16, 2018",0.765010,0.712408,"205,628,488",0.732841,"4,385,330"
0.732852,"Sep 15, 2018",0.750350,0.711287,"201,427,789",0.717447,"1,818,770"
0.718951,"Sep 14, 2018",0.742150,0.699279,"206,838,877",0.737992,"1,998,960"
0.739562,"Sep 13, 2018",0.759731,0.700053,"195,713,441",0.700564,"2,610,000"
0.698507,"Sep 12, 2018",0.723853,0.664896,"201,540,291",0.722560,"2,372,010"
0.724296,"Sep 11, 2018",0.768986,0.708607,"212,489,390",0.762915,"2,169,710"
0.761692,"Sep 10, 2018",0.795394,0.755549,"214,760,122",0.773608,"4,206,770"
0.772482,"Sep 09, 2018",0.797597,0.749109,"214,752,052",0.774160,"4,544,200"
0.775053,"Sep 08, 2018",0.839013,0.758550,"228,956,114",0.827483,"2,755,390"
0.828732,"Sep 07, 2018",0.871499,0.815397,"235,360,682",0.858052,"7,001,090"
0.857963,"Sep 06, 2018",0.858878,0.777435,"230,524,005",0.841464,"11,006,000"
0.844708,"Sep 05, 2018",1.03,0.843615,"280,887,041",1.03,"12,446,200"
1.02,"Sep 04, 2018",1.05,0.984803,"270,140,912",0.985600,"35,497,200"
0.985027,"Sep 03, 2018",1.00,0.956099,"275,017,431",1.00,"6,336,620"
1.00,"Sep 02, 2018",1.03,0.967090,"271,418,362",0.989201,"10,062,300"
0.992308,"Sep 01, 2018",1.02,0.946196,"259,942,621",0.948029,"2,363,160"
0.949850,"Aug 31, 2018",0.958118,0.912978,"253,316,999",0.924382,"1,800,940"
0.925746,"Aug 30, 2018",0.975599,0.896604,"265,882,017",0.970003,"3,925,950"
0.968134,"Aug 29, 2018",1.01,0.944384,"276,635,116",1.01,"3,519,250"
1.00,"Aug 28, 2018",1.01,0.946093,"262,508,917",0.954057,"2,774,320"
0.952453,"Aug 27, 2018",0.954159,0.895814,"247,458,859",0.898876,"2,642,020"
0.896516,"Aug 26, 2018",0.927022,0.867972,"250,587,059",0.910270,"1,835,370"
0.911913,"Aug 25, 2018",0.914637,0.885783,"245,602,005",0.891857,"969,076"
0.892328,"Aug 24, 2018",0.895168,0.866107,"242,374,065",0.880226,"1,777,200"
0.879326,"Aug 23, 2018",0.880532,0.853408,"235,603,380",0.856746,"1,086,740"
0.858529,"Aug 22, 2018",0.915933,0.855125,"237,966,645",0.866251,"1,901,630"
0.865474,"Aug 21, 2018",0.894453,0.852395,"233,788,308",0.852395,"3,111,280"
0.854012,"Aug 20, 2018",0.938970,0.850153,"256,048,374",0.933792,"1,073,380"
0.934444,"Aug 19, 2018",0.946074,0.892446,"247,709,765",0.902789,"1,860,300"
0.900953,"Aug 18, 2018",1.03,0.883788,"272,410,927",0.990730,"2,780,790"
0.990042,"Aug 17, 2018",0.998532,0.867780,"238,691,099",0.867780,"3,795,660"
0.870437,"Aug 16, 2018",0.878472,0.831933,"236,011,036",0.859496,"2,795,080"
0.858396,"Aug 15, 2018",0.905549,0.848685,"231,783,950",0.848740,"2,897,850"
0.845324,"Aug 14, 2018",0.879605,0.794152,"239,971,433",0.879605,"7,792,080"
0.879869,"Aug 13, 2018",0.989839,0.870413,"262,363,668",0.962166,"7,390,590"
0.959291,"Aug 12, 2018",0.978356,0.949182,"260,562,916",0.959448,"2,191,330"
0.962179,"Aug 11, 2018",0.992624,0.932036,"269,246,254",0.992624,"4,695,780"
0.990857,"Aug 10, 2018",1.08,0.978506,"290,504,110",1.07,"4,636,430"
1.07,"Aug 09, 2018",1.09,1.03,"278,521,735",1.03,"3,343,670"
1.03,"Aug 08, 2018",1.12,1.02,"301,439,804",1.12,"3,981,900"
1.11,"Aug 07, 2018",1.23,1.11,"309,869,464",1.15,"3,264,020"
1.15,"Aug 06, 2018",1.19,1.13,"315,506,450",1.17,"3,067,200"
1.17,"Aug 05, 2018",1.17,1.14,"308,218,906",1.15,"3,090,170"
1.14,"Aug 04, 2018",1.24,1.13,"321,386,374",1.20,"5,821,000"
1.20,"Aug 03, 2018",1.23,1.11,"314,709,138",1.17,"13,899,500"
1.17,"Aug 02, 2018",1.88,1.16,"339,433,401",1.27,"5,974,520"
1.27,"Aug 01, 2018",1.31,1.25,"348,074,986",1.31,"9,269,610"
1.30,"Jul 31, 2018",1.49,1.27,"366,764,542",1.38,"68,206,800"
1.38,"Jul 30, 2018",1.45,1.34,"385,386,222",1.45,"8,212,160"
1.45,"Jul 29, 2018",1.47,1.42,"387,720,000",1.46,"4,760,110"
1.45,"Jul 28, 2018",1.48,1.42,"393,013,312",1.48,"7,764,840"
1.47,"Jul 27, 2018",1.48,1.41,"388,148,192",1.46,"39,544,300"
1.45,"Jul 26, 2018",1.73,1.42,"390,856,096",1.47,"4,553,860"
1.46,"Jul 25, 2018",1.51,1.39,"382,154,496",1.44,"6,235,860"
1.45,"Jul 24, 2018",1.45,1.30,"358,845,792",1.35,"4,269,020"
1.35,"Jul 23, 2018",1.50,1.35,"369,205,856",1.39,"4,481,550"
1.39,"Jul 22, 2018",1.46,1.37,"384,221,440",1.45,"2,103,410"
1.45,"Jul 21, 2018",1.48,1.34,"363,522,432",1.37,"2,316,220"
1.36,"Jul 20, 2018",1.56,1.35,"400,457,888",1.51,"4,228,550"
1.51,"Jul 19, 2018",1.57,1.49,"416,945,856",1.57,"3,196,160"
1.58,"Jul 18, 2018",1.69,1.53,"430,195,840",1.61,"8,385,100"
1.56,"Jul 17, 2018",1.58,1.39,"381,174,432",1.43,"5,845,170"
1.44,"Jul 16, 2018",1.44,1.31,"354,739,392",1.33,"2,264,330"
1.33,"Jul 15, 2018",1.34,1.29,"348,115,296",1.31,"1,129,470"
1.30,"Jul 14, 2018",1.35,1.29,"356,366,144",1.34,"1,394,150"
1.34,"Jul 13, 2018",1.37,1.29,"344,456,608",1.29,"2,472,400"
1.29,"Jul 12, 2018",1.32,1.25,"349,062,912",1.32,"2,137,180"
1.32,"Jul 11, 2018",1.35,1.26,"347,665,728",1.31,"3,332,510"
1.31,"Jul 10, 2018",1.48,1.31,"390,876,320",1.48,"2,299,750"
1.48,"Jul 09, 2018",1.57,1.48,"414,702,400",1.57,"2,285,480"
1.57,"Jul 08, 2018",1.64,1.56,"422,428,288",1.60,"2,659,300"
1.60,"Jul 07, 2018",1.61,1.49,"420,274,592",1.59,"3,356,840"
1.60,"Jul 06, 2018",1.67,1.44,"409,720,800",1.55,"5,273,050"
1.55,"Jul 05, 2018",2.04,1.49,"424,958,688",1.61,"3,236,730"
1.61,"Jul 04, 2018",2.00,1.60,"488,386,944",1.85,"4,660,140"
1.85,"Jul 03, 2018",1.91,1.57,"436,428,256",1.66,"10,897,700"
1.66,"Jul 02, 2018",1.87,1.58,"430,945,568",1.62,"9,989,900"
1.62,"Jul 01, 2018",1.88,1.52,"419,028,224",1.58,"27,043,100"
1.63,"Jun 30, 2018",1.67,1.26,"343,599,168",1.29,"10,236,400"
1.33,"Jun 29, 2018",1.33,1.15,"313,386,400",1.18,"4,249,710"
1.18,"Jun 28, 2018",1.28,1.18,"337,750,272",1.27,"1,359,010"
1.27,"Jun 27, 2018",1.30,1.25,"337,595,744",1.27,"918,217"
1.27,"Jun 26, 2018",1.39,1.27,"355,207,008",1.34,"1,283,810"
