close,date,high,low,marketcap,open,volume
1.34,"Oct 14, 2018",1.38,1.33,"134,500,565",1.36,"415,497"
1.36,"Oct 13, 2018",1.37,1.32,"130,985,793",1.32,"530,050"
1.33,"Oct 12, 2018",1.34,1.27,"128,789,065",1.30,"550,768"
1.30,"Oct 11, 2018",1.51,1.29,"149,450,081",1.51,"1,313,430"
1.51,"Oct 10, 2018",1.52,1.46,"148,579,214",1.50,"806,697"
1.50,"Oct 09, 2018",1.55,1.50,"152,888,271",1.54,"791,539"
1.53,"Oct 08, 2018",1.54,1.48,"148,628,584",1.50,"616,141"
1.50,"Oct 07, 2018",1.50,1.47,"147,940,391",1.49,"556,266"
1.49,"Oct 06, 2018",1.57,1.48,"154,234,933",1.56,"1,027,220"
1.55,"Oct 05, 2018",1.56,1.50,"150,530,666",1.52,"614,767"
1.52,"Oct 04, 2018",1.53,1.47,"146,447,477",1.48,"820,845"
1.48,"Oct 03, 2018",1.54,1.46,"152,825,104",1.54,"900,844"
1.54,"Oct 02, 2018",1.58,1.54,"155,980,627",1.57,"834,508"
1.58,"Oct 01, 2018",1.61,1.55,"156,758,790",1.58,"1,162,850"
1.59,"Sep 30, 2018",1.64,1.56,"161,116,051",1.63,"960,102"
1.62,"Sep 29, 2018",1.66,1.53,"155,403,125",1.57,"1,848,550"
1.57,"Sep 28, 2018",1.63,1.56,"158,046,302",1.60,"1,057,150"
1.60,"Sep 27, 2018",1.61,1.52,"153,810,242",1.55,"3,018,540"
1.55,"Sep 26, 2018",1.64,1.51,"154,294,303",1.56,"8,302,550"
1.56,"Sep 25, 2018",1.58,1.44,"156,355,931",1.58,"1,714,550"
1.59,"Sep 24, 2018",1.61,1.49,"156,570,684",1.58,"1,872,230"
1.58,"Sep 23, 2018",1.62,1.50,"149,351,006",1.51,"1,398,680"
1.51,"Sep 22, 2018",1.59,1.41,"156,320,743",1.58,"1,496,710"
1.58,"Sep 21, 2018",1.59,1.36,"136,813,490",1.38,"3,141,680"
1.38,"Sep 20, 2018",1.39,1.30,"130,496,629",1.32,"1,428,670"
1.32,"Sep 19, 2018",1.34,1.26,"131,267,993",1.33,"1,031,420"
1.32,"Sep 18, 2018",1.36,1.26,"125,752,658",1.27,"1,412,460"
1.27,"Sep 17, 2018",1.44,1.26,"138,046,798",1.39,"1,408,390"
1.40,"Sep 16, 2018",1.42,1.35,"140,488,981",1.42,"975,599"
1.42,"Sep 15, 2018",1.48,1.40,"141,536,333",1.43,"660,045"
1.43,"Sep 14, 2018",1.47,1.35,"137,331,692",1.39,"1,284,430"
1.39,"Sep 13, 2018",1.41,1.32,"131,595,105",1.33,"1,115,180"
1.33,"Sep 12, 2018",1.33,1.20,"131,509,199",1.33,"1,326,590"
1.33,"Sep 11, 2018",1.42,1.29,"139,108,494",1.41,"1,217,970"
1.40,"Sep 10, 2018",1.49,1.36,"136,974,439",1.38,"1,495,040"
1.38,"Sep 09, 2018",1.50,1.35,"137,683,838",1.39,"1,319,560"
1.39,"Sep 08, 2018",1.55,1.36,"149,644,282",1.51,"1,346,400"
1.50,"Sep 07, 2018",1.62,1.49,"158,887,054",1.60,"2,267,040"
1.61,"Sep 06, 2018",1.62,1.47,"154,727,088",1.56,"4,890,330"
1.57,"Sep 05, 2018",2.13,1.57,"195,793,069",1.98,"7,832,840"
1.97,"Sep 04, 2018",1.98,1.78,"176,522,967",1.78,"10,266,600"
1.80,"Sep 03, 2018",1.80,1.66,"169,937,411",1.72,"2,798,210"
1.71,"Sep 02, 2018",1.75,1.66,"169,019,046",1.71,"2,953,250"
1.71,"Sep 01, 2018",1.79,1.56,"155,443,582",1.57,"2,329,260"
1.57,"Aug 31, 2018",1.59,1.52,"151,567,414",1.53,"1,385,190"
1.53,"Aug 30, 2018",1.62,1.49,"158,768,723",1.60,"1,245,590"
1.60,"Aug 29, 2018",1.71,1.58,"168,647,748",1.70,"2,320,770"
1.70,"Aug 28, 2018",1.73,1.64,"166,532,813",1.68,"2,803,780"
1.69,"Aug 27, 2018",1.69,1.52,"152,853,783",1.54,"5,774,990"
1.54,"Aug 26, 2018",1.56,1.46,"151,410,787",1.53,"959,083"
1.53,"Aug 25, 2018",1.54,1.47,"151,041,152",1.53,"785,643"
1.53,"Aug 24, 2018",1.54,1.38,"137,897,267",1.39,"1,338,460"
1.39,"Aug 23, 2018",1.40,1.32,"130,876,653",1.32,"980,490"
1.32,"Aug 22, 2018",1.54,1.31,"142,601,392",1.44,"1,215,360"
1.44,"Aug 21, 2018",1.46,1.38,"137,855,646",1.39,"1,110,890"
1.39,"Aug 20, 2018",1.52,1.39,"148,640,112",1.50,"918,516"
1.50,"Aug 19, 2018",1.52,1.41,"141,470,965",1.43,"1,139,160"
1.43,"Aug 18, 2018",1.60,1.39,"156,980,072",1.59,"1,880,830"
1.56,"Aug 17, 2018",1.60,1.32,"131,737,003",1.33,"3,522,750"
1.33,"Aug 16, 2018",1.37,1.28,"127,640,487",1.29,"1,867,060"
1.29,"Aug 15, 2018",1.39,1.26,"125,164,111",1.26,"1,736,580"
1.26,"Aug 14, 2018",1.41,1.11,"139,476,224",1.41,"5,335,730"
1.41,"Aug 13, 2018",1.64,1.41,"158,141,511",1.60,"5,346,140"
1.60,"Aug 12, 2018",1.65,1.55,"155,562,745",1.57,"1,424,450"
1.58,"Aug 11, 2018",1.66,1.54,"160,967,481",1.63,"3,040,670"
1.63,"Aug 10, 2018",1.77,1.62,"174,639,058",1.76,"2,031,100"
1.77,"Aug 09, 2018",1.80,1.63,"162,752,180",1.64,"2,166,890"
1.64,"Aug 08, 2018",1.89,1.62,"186,467,033",1.88,"3,139,280"
1.89,"Aug 07, 2018",2.07,1.88,"194,937,069",1.97,"2,348,470"
1.97,"Aug 06, 2018",2.10,1.95,"202,360,793",2.04,"2,905,920"
2.05,"Aug 05, 2018",2.05,1.93,"197,682,524",2.00,"3,464,430"
1.99,"Aug 04, 2018",2.18,1.96,"206,668,699",2.09,"9,853,900"
2.09,"Aug 03, 2018",2.24,2.00,"217,367,317",2.20,"7,162,390"
2.20,"Aug 02, 2018",2.45,2.15,"240,982,979",2.44,"6,522,570"
2.43,"Aug 01, 2018",2.52,2.38,"248,916,870",2.52,"4,326,670"
2.52,"Jul 31, 2018",2.84,2.50,"280,489,978",2.83,"20,184,300"
2.84,"Jul 30, 2018",2.95,2.70,"291,752,847",2.95,"22,214,500"
2.95,"Jul 29, 2018",3.04,2.88,"293,310,496",2.96,"20,260,500"
2.95,"Jul 28, 2018",2.95,2.83,"280,036,384",2.83,"7,544,840"
2.86,"Jul 27, 2018",2.90,2.63,"270,313,856",2.73,"54,784,200"
2.73,"Jul 26, 2018",3.12,2.66,"287,383,936",2.90,"4,477,260"
2.91,"Jul 25, 2018",3.00,2.65,"265,367,408",2.68,"5,109,850"
2.72,"Jul 24, 2018",2.76,2.48,"270,669,408",2.74,"5,336,570"
2.73,"Jul 23, 2018",2.88,2.71,"271,408,000",2.74,"2,713,400"
2.75,"Jul 22, 2018",2.90,2.73,"271,587,488",2.74,"2,748,530"
2.75,"Jul 21, 2018",2.84,2.57,"257,920,064",2.61,"2,915,320"
2.61,"Jul 20, 2018",2.96,2.61,"292,182,848",2.95,"3,965,390"
2.95,"Jul 19, 2018",3.12,2.91,"302,221,376",3.05,"4,210,460"
3.06,"Jul 18, 2018",3.39,3.01,"303,623,328",3.07,"12,169,300"
3.07,"Jul 17, 2018",3.15,2.62,"260,891,504",2.64,"9,559,160"
2.65,"Jul 16, 2018",2.65,2.43,"241,513,552",2.44,"2,528,080"
2.44,"Jul 15, 2018",2.48,2.33,"232,063,168",2.35,"2,053,770"
2.35,"Jul 14, 2018",2.39,2.28,"227,128,320",2.30,"1,976,450"
2.30,"Jul 13, 2018",2.37,2.26,"228,301,680",2.31,"2,385,420"
2.31,"Jul 12, 2018",2.42,2.26,"238,586,448",2.41,"1,964,000"
2.42,"Jul 11, 2018",2.47,2.31,"229,834,048",2.32,"2,912,310"
2.32,"Jul 10, 2018",2.49,2.28,"246,637,888",2.49,"2,803,330"
2.50,"Jul 09, 2018",2.63,2.49,"258,803,632",2.62,"2,362,510"
2.62,"Jul 08, 2018",2.66,2.58,"263,131,184",2.66,"2,311,600"
2.66,"Jul 07, 2018",2.66,2.52,"256,982,624",2.60,"2,566,680"
2.60,"Jul 06, 2018",2.71,2.49,"257,345,296",2.60,"3,916,180"
2.60,"Jul 05, 2018",2.76,2.53,"267,408,160",2.70,"3,126,020"
2.70,"Jul 04, 2018",2.85,2.66,"271,291,232",2.74,"2,580,440"
2.74,"Jul 03, 2018",3.02,2.72,"281,093,536",2.84,"5,274,820"
2.84,"Jul 02, 2018",2.86,2.63,"276,297,312",2.79,"4,928,950"
2.81,"Jul 01, 2018",2.92,2.52,"260,464,160",2.63,"6,421,990"
2.64,"Jun 30, 2018",2.66,2.39,"236,425,424",2.39,"4,350,890"
