date,open,high,low,close,volume,marketcap
"Oct 12, 2019",0.097574,0.097849,0.091348,0.092200,"1,189,331","80,260,516"
"Oct 11, 2019",0.089126,0.101054,0.084828,0.097574,"1,001,456","84,938,673"
"Oct 10, 2019",0.092560,0.092647,0.086326,0.089120,"8,347,595","77,579,113"
"Oct 09, 2019",0.094083,0.095990,0.089320,0.092587,"1,994,893","80,597,049"
"Oct 08, 2019",0.091126,0.094950,0.089710,0.094087,"1,916,367","81,902,656"
"Oct 07, 2019",0.087875,0.091424,0.083929,0.091113,"1,561,322","79,314,247"
"Oct 06, 2019",0.091795,0.093674,0.085877,0.087891,"2,018,617","76,509,272"
"Oct 05, 2019",0.088572,0.091843,0.088195,0.091655,"943,087","79,785,634"
"Oct 04, 2019",0.087344,0.089112,0.084855,0.088572,"952,171","77,102,531"
"Oct 03, 2019",0.087848,0.089930,0.083812,0.087367,"2,076,587","76,052,988"
"Oct 02, 2019",0.083319,0.088871,0.080953,0.087868,"1,137,743","76,489,686"
"Oct 01, 2019",0.087029,0.088068,0.082694,0.083319,"2,331,013","72,529,301"
"Sep 30, 2019",0.089702,0.089890,0.083988,0.087043,"1,041,791","75,770,863"
"Sep 29, 2019",0.090073,0.090286,0.085406,0.089682,"629,138","78,068,356"
"Sep 28, 2019",0.088916,0.094282,0.088077,0.089789,"982,316","78,161,331"
"Sep 27, 2019",0.086272,0.089397,0.083305,0.088753,"1,418,896","77,259,848"
"Sep 26, 2019",0.086954,0.093344,0.078596,0.086312,"2,553,021","75,134,695"
"Sep 25, 2019",0.085877,0.092146,0.081112,0.087044,"1,304,253","75,771,794"
"Sep 24, 2019",0.116486,0.116651,0.083983,0.086250,"1,844,054","75,080,783"
"Sep 23, 2019",0.114091,0.123190,0.101951,0.116462,"755,798","101,380,649"
"Sep 22, 2019",0.107639,0.114837,0.103356,0.114085,"718,804","99,310,922"
"Sep 21, 2019",0.109731,0.110056,0.106914,0.107851,"308,977","93,884,829"
"Sep 20, 2019",0.115388,0.121172,0.108571,0.109986,"412,226","95,743,165"
"Sep 19, 2019",0.114447,0.117101,0.108450,0.115330,"1,301,116","100,395,108"
"Sep 18, 2019",0.112058,0.115756,0.110129,0.114431,"2,053,211","99,612,158"
"Sep 17, 2019",0.110459,0.113977,0.107735,0.113087,"1,319,321","98,442,199"
"Sep 16, 2019",0.122992,0.126491,0.110348,0.110472,"1,383,147","96,166,249"
"Sep 15, 2019",0.123526,0.130401,0.105706,0.122966,"365,945","107,042,283"
"Sep 14, 2019",0.113009,0.125282,0.112617,0.123526,"346,202","107,530,074"
"Sep 13, 2019",0.113144,0.115908,0.110038,0.113036,"788,698","98,397,764"
"Sep 12, 2019",0.114769,0.116015,0.109801,0.113219,"735,019","98,557,403"
"Sep 11, 2019",0.116775,0.119732,0.112007,0.114902,"735,482","100,022,524"
"Sep 10, 2019",0.117241,0.124558,0.115684,0.116775,"534,951","101,653,371"
"Sep 09, 2019",0.119429,0.122043,0.113636,0.117099,"738,951","101,935,238"
"Sep 08, 2019",0.120684,0.121145,0.118572,0.119387,"630,149","103,926,583"
"Sep 07, 2019",0.113285,0.120913,0.112886,0.120628,"652,205","105,006,885"
"Sep 06, 2019",0.118613,0.119372,0.111256,0.113069,"1,494,383","98,426,524"
"Sep 05, 2019",0.116913,0.119342,0.113801,0.118613,"1,730,630","103,253,350"
"Sep 04, 2019",0.116652,0.120300,0.113034,0.116961,"1,734,049","101,814,881"
"Sep 03, 2019",0.115807,0.117729,0.112162,0.116704,"1,274,954","101,590,720"
