close,date,high,low,marketcap,open,volume
0.568597,"Oct 14, 2018",0.590689,0.568491,"63,114,457",0.577190,"475,412"
0.577393,"Oct 13, 2018",0.589696,0.564882,"61,806,797",0.565231,"1,002,630"
0.565916,"Oct 12, 2018",0.593033,0.548606,"60,790,058",0.555933,"948,056"
0.556533,"Oct 11, 2018",0.640796,0.553850,"70,061,434",0.640721,"1,122,910"
0.641568,"Oct 10, 2018",0.649296,0.636866,"70,612,364",0.645759,"2,624,540"
0.646671,"Oct 09, 2018",0.657343,0.644171,"71,879,060",0.657343,"1,511,080"
0.655348,"Oct 08, 2018",0.665297,0.647303,"72,511,884",0.663130,"687,024"
0.662443,"Oct 07, 2018",0.671700,0.659519,"73,381,755",0.671085,"501,365"
0.669137,"Oct 06, 2018",0.683525,0.666446,"74,665,039",0.682821,"947,029"
0.681922,"Oct 05, 2018",0.682725,0.663406,"73,427,143",0.671501,"735,997"
0.670754,"Oct 04, 2018",0.682660,0.661690,"72,509,199",0.663106,"553,426"
0.662039,"Oct 03, 2018",0.667825,0.652991,"72,570,784",0.663669,"847,958"
0.665251,"Oct 02, 2018",0.688354,0.660910,"74,371,732",0.680139,"932,800"
0.681068,"Oct 01, 2018",0.689770,0.661664,"73,880,713",0.675648,"1,727,360"
0.675461,"Sep 30, 2018",0.694402,0.668175,"75,884,613",0.693974,"3,159,380"
0.693354,"Sep 29, 2018",0.704202,0.649103,"73,661,446",0.673643,"4,016,550"
0.673376,"Sep 28, 2018",0.693252,0.669712,"75,001,669",0.685900,"3,868,550"
0.681872,"Sep 27, 2018",0.694140,0.646898,"70,988,216",0.649196,"4,529,420"
0.649146,"Sep 26, 2018",0.659241,0.645155,"71,343,910",0.652449,"4,680,590"
0.650286,"Sep 25, 2018",0.683846,0.637750,"74,669,986",0.682866,"5,279,040"
0.681265,"Sep 24, 2018",0.729523,0.681265,"79,337,812",0.725820,"4,775,110"
0.724997,"Sep 23, 2018",0.726871,0.701075,"77,750,546",0.711299,"7,157,930"
0.709905,"Sep 22, 2018",0.736943,0.703338,"79,772,067",0.729793,"10,508,500"
0.728594,"Sep 21, 2018",0.746273,0.686146,"76,960,630",0.704072,"6,251,690"
0.702179,"Sep 20, 2018",0.731347,0.668099,"73,125,196",0.668984,"5,069,320"
0.669966,"Sep 19, 2018",0.679439,0.644595,"70,993,802",0.649485,"3,903,280"
0.648688,"Sep 18, 2018",0.686953,0.613484,"68,169,536",0.623647,"4,255,860"
0.625332,"Sep 17, 2018",0.672758,0.619449,"71,313,421",0.652409,"4,114,810"
0.648481,"Sep 16, 2018",0.656989,0.626656,"70,043,949",0.640795,"3,905,540"
0.639427,"Sep 15, 2018",0.648456,0.637339,"70,658,742",0.646420,"3,659,760"
0.644704,"Sep 14, 2018",0.649408,0.629636,"70,926,519",0.648869,"4,616,530"
0.651021,"Sep 13, 2018",0.660327,0.608354,"66,545,667",0.608791,"4,442,240"
0.606964,"Sep 12, 2018",0.654986,0.596359,"69,521,315",0.636014,"5,233,690"
0.631969,"Sep 11, 2018",0.669896,0.630712,"70,880,221",0.648446,"4,691,730"
0.649597,"Sep 10, 2018",0.674747,0.602020,"66,076,288",0.604497,"5,217,960"
0.603281,"Sep 09, 2018",0.618265,0.571984,"64,028,302",0.585761,"5,209,380"
0.585787,"Sep 08, 2018",0.627447,0.579154,"67,887,836",0.621070,"4,959,790"
0.621003,"Sep 07, 2018",0.644374,0.617059,"69,760,751",0.638204,"9,264,760"
0.640696,"Sep 06, 2018",0.640696,0.585840,"68,309,099",0.624924,"12,540,600"
0.626653,"Sep 05, 2018",0.746296,0.626653,"78,895,335",0.721772,"23,674,900"
0.722771,"Sep 04, 2018",0.750414,0.642694,"70,499,535",0.644963,"12,694,900"
0.644872,"Sep 03, 2018",0.658672,0.636615,"71,894,523",0.657725,"5,897,280"
0.657117,"Sep 02, 2018",0.669145,0.640717,"72,029,858",0.658963,"7,301,800"
0.658336,"Sep 01, 2018",0.680551,0.646090,"71,631,059",0.655315,"5,166,180"
0.656001,"Aug 31, 2018",0.659262,0.612845,"66,995,155",0.612903,"5,310,750"
0.612390,"Aug 30, 2018",0.613788,0.590428,"65,880,935",0.602710,"4,937,210"
0.602358,"Aug 29, 2018",0.626305,0.595880,"68,402,821",0.625781,"4,964,180"
0.626329,"Aug 28, 2018",0.633337,0.588107,"64,284,717",0.588107,"4,147,090"
0.587376,"Aug 27, 2018",0.587376,0.564094,"62,110,380",0.568215,"4,895,090"
0.568065,"Aug 26, 2018",0.579725,0.566569,"62,940,242",0.575807,"4,709,180"
0.575862,"Aug 25, 2018",0.589075,0.572127,"64,129,087",0.586683,"4,430,900"
0.587439,"Aug 24, 2018",0.587439,0.564520,"63,725,713",0.583270,"5,782,380"
0.583475,"Aug 23, 2018",0.585732,0.560393,"61,249,400",0.560605,"3,931,300"
0.561480,"Aug 22, 2018",0.614842,0.557758,"64,212,894",0.587730,"4,050,800"
0.588339,"Aug 21, 2018",0.592724,0.554123,"60,685,923",0.555448,"4,306,660"
0.555552,"Aug 20, 2018",0.603020,0.554420,"65,839,546",0.602618,"4,482,860"
0.601992,"Aug 19, 2018",0.609806,0.544825,"60,626,356",0.554903,"4,590,940"
0.555123,"Aug 18, 2018",0.645970,0.543040,"70,211,404",0.642633,"5,454,140"
0.643707,"Aug 17, 2018",0.650405,0.551986,"60,418,293",0.552998,"7,352,300"
