close,date,high,low,marketcap,open,volume
1.22,"Oct 14, 2018",1.25,1.20,"754,823,351",1.24,"1,394,990"
1.24,"Oct 13, 2018",1.26,1.23,"756,818,186",1.25,"1,020,920"
1.25,"Oct 12, 2018",1.25,1.21,"745,444,887",1.23,"1,716,960"
1.24,"Oct 11, 2018",1.37,1.23,"830,267,326",1.37,"2,117,670"
1.37,"Oct 10, 2018",1.43,1.33,"852,040,551",1.40,"1,812,420"
1.40,"Oct 09, 2018",1.42,1.35,"826,678,201",1.36,"1,850,760"
1.36,"Oct 08, 2018",1.38,1.31,"800,201,695",1.32,"1,774,140"
1.32,"Oct 07, 2018",1.34,1.30,"812,676,695",1.34,"781,157"
1.34,"Oct 06, 2018",1.37,1.32,"805,274,382",1.33,"1,461,850"
1.32,"Oct 05, 2018",1.33,1.30,"791,822,748",1.30,"1,098,350"
1.30,"Oct 04, 2018",1.36,1.30,"800,132,897",1.32,"2,028,680"
1.31,"Oct 03, 2018",1.35,1.29,"809,972,522",1.33,"2,053,580"
1.33,"Oct 02, 2018",1.36,1.33,"818,132,909",1.35,"1,976,820"
1.35,"Oct 01, 2018",1.45,1.34,"865,986,150",1.43,"2,089,710"
1.42,"Sep 30, 2018",1.48,1.41,"875,090,728",1.44,"2,073,140"
1.44,"Sep 29, 2018",1.46,1.39,"863,498,725",1.42,"1,367,510"
1.42,"Sep 28, 2018",1.49,1.41,"877,601,906",1.44,"2,089,150"
1.44,"Sep 27, 2018",1.48,1.39,"880,554,329",1.45,"2,512,880"
1.45,"Sep 26, 2018",1.52,1.45,"896,941,875",1.48,"1,523,520"
1.47,"Sep 25, 2018",1.57,1.45,"952,778,151",1.57,"1,799,400"
1.56,"Sep 24, 2018",1.67,1.53,"1,009,453,248",1.66,"2,342,190"
1.66,"Sep 23, 2018",1.71,1.63,"1,011,538,534",1.67,"1,986,980"
1.66,"Sep 22, 2018",1.69,1.61,"1,011,506,381",1.67,"2,203,730"
1.66,"Sep 21, 2018",1.79,1.63,"1,037,115,025",1.71,"5,152,330"
1.71,"Sep 20, 2018",1.71,1.50,"946,981,208",1.56,"4,128,740"
1.55,"Sep 19, 2018",1.58,1.47,"916,152,215",1.51,"3,600,640"
1.51,"Sep 18, 2018",1.55,1.42,"911,546,988",1.50,"3,049,400"
1.50,"Sep 17, 2018",1.70,1.40,"1,010,489,193",1.66,"7,424,940"
1.66,"Sep 16, 2018",1.67,1.54,"985,918,665",1.62,"2,633,080"
1.63,"Sep 15, 2018",1.75,1.53,"949,892,497",1.56,"4,984,260"
1.57,"Sep 14, 2018",1.67,1.29,"815,365,298",1.34,"5,128,230"
1.35,"Sep 13, 2018",1.35,1.26,"765,954,122",1.26,"1,907,530"
1.26,"Sep 12, 2018",1.32,1.19,"791,149,475",1.30,"2,205,410"
1.31,"Sep 11, 2018",1.42,1.26,"863,381,986",1.42,"3,084,310"
1.41,"Sep 10, 2018",1.53,1.19,"728,360,604",1.20,"3,231,710"
1.20,"Sep 09, 2018",1.25,1.14,"699,082,088",1.15,"1,977,490"
1.15,"Sep 08, 2018",1.25,1.15,"740,145,095",1.22,"2,234,460"
1.23,"Sep 07, 2018",1.27,1.22,"749,650,292",1.23,"1,926,860"
1.24,"Sep 06, 2018",1.30,1.21,"788,948,537",1.30,"2,263,090"
1.30,"Sep 05, 2018",1.46,1.30,"874,382,622",1.44,"3,304,880"
1.44,"Sep 04, 2018",1.45,1.41,"860,588,811",1.42,"2,008,920"
1.42,"Sep 03, 2018",1.42,1.38,"850,343,862",1.40,"2,418,800"
1.39,"Sep 02, 2018",1.43,1.38,"855,098,777",1.41,"1,620,730"
1.41,"Sep 01, 2018",1.42,1.33,"826,395,624",1.36,"1,904,880"
1.36,"Aug 31, 2018",1.37,1.32,"823,624,175",1.36,"1,726,140"
1.36,"Aug 30, 2018",1.38,1.33,"834,476,859",1.37,"1,868,490"
1.37,"Aug 29, 2018",1.40,1.36,"838,395,126",1.38,"1,768,070"
1.38,"Aug 28, 2018",1.40,1.33,"821,766,934",1.35,"2,058,670"
1.35,"Aug 27, 2018",1.35,1.31,"807,637,392",1.33,"1,737,520"
1.33,"Aug 26, 2018",1.37,1.30,"827,991,362",1.36,"1,624,750"
1.36,"Aug 25, 2018",1.36,1.31,"809,470,662",1.33,"1,258,870"
1.33,"Aug 24, 2018",1.34,1.29,"802,983,935",1.32,"2,008,470"
1.32,"Aug 23, 2018",1.32,1.26,"781,211,724",1.29,"1,976,690"
1.29,"Aug 22, 2018",1.42,1.26,"825,735,242",1.36,"2,324,990"
1.36,"Aug 21, 2018",1.44,1.28,"867,883,728",1.43,"4,813,760"
1.43,"Aug 20, 2018",1.69,1.36,"827,508,839",1.36,"6,067,680"
1.37,"Aug 19, 2018",1.40,1.32,"810,129,959",1.33,"1,689,570"
1.33,"Aug 18, 2018",1.41,1.30,"832,942,677",1.37,"2,132,750"
1.38,"Aug 17, 2018",1.38,1.30,"787,088,762",1.30,"2,135,200"
1.30,"Aug 16, 2018",1.33,1.25,"785,270,772",1.29,"2,142,820"
1.29,"Aug 15, 2018",1.39,1.26,"766,179,705",1.26,"2,734,990"
1.25,"Aug 14, 2018",1.30,1.18,"786,352,557",1.29,"3,409,060"
1.30,"Aug 13, 2018",1.47,1.22,"884,158,156",1.46,"3,065,130"
1.45,"Aug 12, 2018",1.59,1.45,"922,823,392",1.52,"2,727,130"
1.52,"Aug 11, 2018",1.57,1.40,"929,668,084",1.53,"2,517,240"
1.53,"Aug 10, 2018",1.67,1.47,"1,012,872,118",1.67,"2,720,600"
