close,date,high,low,marketcap,open,volume
0.090106,"Oct 14, 2018",0.092550,0.084607,"60,170,965",0.085349,"2,313,540"
0.086403,"Oct 13, 2018",0.089111,0.082995,"59,847,232",0.084889,"1,279,940"
0.085968,"Oct 12, 2018",0.086750,0.080379,"56,865,391",0.080660,"1,061,840"
0.080807,"Oct 11, 2018",0.098879,0.080807,"67,633,376",0.098879,"2,236,190"
0.099233,"Oct 10, 2018",0.100090,0.094560,"68,377,174",0.099966,"2,165,460"
0.100051,"Oct 09, 2018",0.100907,0.095024,"67,548,315",0.098754,"1,657,670"
0.098601,"Oct 08, 2018",0.101384,0.096332,"68,774,969",0.100548,"2,826,650"
0.100619,"Oct 07, 2018",0.100987,0.096957,"67,447,879",0.098608,"2,245,010"
0.099481,"Oct 06, 2018",0.100320,0.092124,"67,661,854",0.098920,"2,039,840"
0.098549,"Oct 05, 2018",0.102914,0.094566,"68,077,537",0.099528,"3,873,210"
0.099227,"Oct 04, 2018",0.099227,0.090265,"62,317,654",0.091107,"3,778,740"
0.091469,"Oct 03, 2018",0.097915,0.087366,"65,129,553",0.095218,"2,359,440"
0.095145,"Oct 02, 2018",0.098107,0.090512,"61,984,622",0.090620,"3,869,540"
0.090818,"Oct 01, 2018",0.096970,0.087665,"64,361,966",0.094096,"3,081,620"
0.093378,"Sep 30, 2018",0.096760,0.086067,"59,902,277",0.087576,"4,194,300"
0.087516,"Sep 29, 2018",0.097086,0.084629,"65,260,363",0.095409,"4,315,980"
0.093868,"Sep 28, 2018",0.102732,0.083633,"59,836,383",0.087480,"2,066,100"
0.087439,"Sep 27, 2018",0.102152,0.081257,"58,598,777",0.085670,"1,054,470"
0.085718,"Sep 26, 2018",0.090192,0.082029,"59,227,706",0.086590,"1,877,340"
0.085640,"Sep 25, 2018",0.088894,0.081921,"60,046,444",0.087787,"1,992,480"
0.087809,"Sep 24, 2018",0.095034,0.084936,"63,563,883",0.092929,"1,839,520"
0.092446,"Sep 23, 2018",0.096876,0.087199,"61,776,329",0.090316,"2,103,240"
0.090991,"Sep 22, 2018",0.093654,0.086410,"63,695,106",0.093121,"2,470,820"
0.092675,"Sep 21, 2018",0.093398,0.087091,"60,155,324",0.087946,"4,156,430"
0.088428,"Sep 20, 2018",0.090018,0.083672,"61,117,857",0.089353,"2,883,910"
0.090005,"Sep 19, 2018",0.090188,0.082812,"57,070,441",0.083436,"3,474,490"
0.083572,"Sep 18, 2018",0.086678,0.080196,"57,680,489",0.084328,"3,291,510"
0.084844,"Sep 17, 2018",0.089836,0.079962,"59,939,902",0.087631,"3,610,190"
0.087033,"Sep 16, 2018",0.091285,0.080665,"57,955,257",0.084730,"1,570,920"
0.084740,"Sep 15, 2018",0.092499,0.081616,"56,812,354",0.083059,"1,427,940"
0.087274,"Sep 14, 2018",0.089882,0.081133,"59,748,391",0.087351,"2,121,140"
0.087414,"Sep 13, 2018",0.089734,0.081326,"55,860,401",0.081667,"1,927,750"
0.081898,"Sep 12, 2018",0.083252,0.075378,"56,904,707",0.083194,"1,507,510"
0.083051,"Sep 11, 2018",0.088045,0.080749,"59,686,610",0.087261,"1,526,770"
0.086557,"Sep 10, 2018",0.087584,0.083927,"56,580,745",0.085212,"1,489,510"
0.085213,"Sep 09, 2018",0.088999,0.083184,"57,673,775",0.086858,"2,303,710"
0.087147,"Sep 08, 2018",0.095089,0.086109,"61,849,400",0.093146,"3,266,880"
0.092417,"Sep 07, 2018",0.097327,0.088305,"63,278,554",0.095299,"3,273,710"
0.095640,"Sep 06, 2018",0.096065,0.085740,"59,650,674",0.089835,"3,770,850"
0.091029,"Sep 05, 2018",0.112657,0.091029,"73,593,769",0.110834,"5,739,420"
0.111364,"Sep 04, 2018",0.116272,0.106228,"71,127,582",0.107119,"6,907,780"
0.107608,"Sep 03, 2018",0.111991,0.103050,"69,575,614",0.104782,"4,279,250"
0.104454,"Sep 02, 2018",0.108665,0.102411,"70,579,758",0.106294,"2,752,500"
0.106410,"Sep 01, 2018",0.107131,0.100536,"67,134,064",0.101105,"3,554,600"
