date,open,high,low,close,volume,marketcap
"Oct 12, 2019",1.01,1.01,0.998780,1.00,"167,934,851","189,573,694"
"Oct 11, 2019",1.00,1.02,0.990778,1.01,"258,749,910","190,984,732"
"Oct 10, 2019",1.00,1.01,0.996802,1.00,"221,935,353","183,272,512"
"Oct 09, 2019",1.00,1.01,0.992499,1.00,"354,707,740","187,033,027"
"Oct 08, 2019",1.01,1.01,0.994134,1.00,"198,043,598","189,233,080"
"Oct 07, 2019",1.01,1.01,0.995685,1.01,"274,103,321","191,693,599"
"Oct 06, 2019",0.998337,1.02,0.997124,1.01,"236,960,678","194,910,736"
"Oct 05, 2019",1.01,1.01,0.995043,0.998366,"189,629,379","191,402,093"
"Oct 04, 2019",1.00,1.01,0.999463,1.00,"142,471,123","193,508,142"
"Oct 03, 2019",1.00,1.01,0.997042,1.00,"172,392,848","192,830,170"
"Oct 02, 2019",1.00,1.01,0.999514,1.00,"167,410,699","192,942,576"
"Oct 01, 2019",1.00,1.01,0.996579,1.00,"219,260,108","195,024,393"
"Sep 30, 2019",1.00,1.01,0.996169,1.00,"364,907,523","190,757,453"
"Sep 29, 2019",1.00,1.02,0.999469,1.00,"260,289,630","191,113,966"
"Sep 28, 2019",1.01,1.01,0.994864,1.00,"256,118,983","190,981,122"
"Sep 27, 2019",1.00,1.01,0.999902,1.01,"324,775,735","191,350,461"
"Sep 26, 2019",1.01,1.02,0.995542,1.00,"323,945,012","188,880,809"
"Sep 25, 2019",1.00,1.01,0.992370,1.01,"360,117,903","189,543,565"
"Sep 24, 2019",1.00,1.05,0.994252,1.01,"863,989,799","187,627,272"
"Sep 23, 2019",1.00,1.01,1.00,1.00,"320,087,702","186,347,436"
"Sep 22, 2019",1.00,1.01,0.998792,1.00,"368,240,660","188,059,325"
"Sep 21, 2019",1.00,1.01,0.999976,1.00,"436,878,840","185,838,809"
"Sep 20, 2019",1.00,1.01,0.999499,1.00,"416,338,324","185,345,124"
"Sep 19, 2019",1.00,1.02,0.995054,1.00,"532,444,579","187,185,279"
"Sep 18, 2019",0.999339,1.01,0.996988,1.00,"496,717,349","191,727,453"
"Sep 17, 2019",0.998040,1.00,0.991899,0.998897,"519,476,393","192,985,338"
"Sep 16, 2019",0.999711,1.01,0.994447,0.997955,"544,814,853","193,828,858"
"Sep 15, 2019",0.996939,1.01,0.995067,1.00,"305,748,586","198,060,597"
"Sep 14, 2019",1.00,1.01,0.995150,0.996939,"442,366,116","197,294,999"
