date,open,high,low,close,volume,marketcap
"Oct 12, 2019",1.01,1.01,0.999284,1.00,"155,919,006","468,394,318"
"Oct 11, 2019",1.00,1.01,0.990913,1.01,"212,197,499","470,359,604"
"Oct 10, 2019",1.00,1.00,0.995636,1.00,"219,588,027","452,018,483"
"Oct 09, 2019",1.01,1.01,0.991701,1.00,"213,518,684","461,621,063"
"Oct 08, 2019",1.00,1.01,0.998372,1.01,"182,457,962","468,318,970"
"Oct 07, 2019",1.01,1.02,0.996638,1.01,"183,256,904","471,937,627"
"Oct 06, 2019",0.998916,1.02,0.996903,1.01,"154,064,852","480,030,266"
"Oct 05, 2019",1.01,1.01,0.996109,0.998863,"131,141,182","473,493,991"
"Oct 04, 2019",1.00,1.01,1.00,1.01,"154,530,799","476,792,469"
"Oct 03, 2019",1.00,1.01,0.997937,1.00,"217,085,171","474,684,574"
"Oct 02, 2019",1.00,1.01,0.998628,1.00,"170,359,263","456,240,793"
"Oct 01, 2019",1.00,1.01,0.995453,1.00,"139,974,502","426,469,952"
"Sep 30, 2019",1.00,1.01,0.996290,1.00,"176,210,397","427,374,808"
"Sep 29, 2019",1.00,1.02,0.999218,1.00,"114,528,745","429,610,243"
"Sep 28, 2019",1.01,1.01,0.995803,1.00,"118,395,271","429,395,143"
"Sep 27, 2019",1.01,1.01,0.999578,1.01,"157,011,691","427,060,556"
"Sep 26, 2019",1.00,1.02,0.997547,1.01,"198,067,687","419,803,976"
"Sep 25, 2019",1.00,1.01,0.997773,1.00,"216,810,339","417,470,014"
"Sep 24, 2019",1.00,1.06,0.991236,1.00,"289,013,278","389,211,511"
"Sep 23, 2019",1.00,1.02,0.999805,1.00,"141,559,451","389,889,240"
"Sep 22, 2019",1.00,1.01,0.998308,1.00,"122,958,976","392,999,541"
"Sep 21, 2019",1.00,1.01,0.999548,1.00,"159,348,829","393,751,351"
"Sep 20, 2019",1.00,1.01,0.998869,1.00,"192,695,287","393,703,322"
"Sep 19, 2019",1.00,1.03,0.990057,0.998835,"232,010,536","399,476,337"
"Sep 18, 2019",1.00,1.01,1.00,1.00,"166,194,614","404,626,236"
"Sep 17, 2019",1.00,1.01,0.998124,1.00,"171,423,477","414,202,818"
"Sep 16, 2019",1.00,1.01,0.995350,0.999926,"303,681,510","421,382,673"
"Sep 15, 2019",0.999346,1.01,0.998562,1.00,"108,479,017","427,289,964"
"Sep 14, 2019",0.999584,1.00,0.998116,0.999346,"146,591,060","426,122,932"
"Sep 13, 2019",0.999028,1.01,0.997497,0.998835,"159,607,257","426,372,460"
"Sep 12, 2019",1.00,1.01,0.997735,0.999025,"208,929,233","433,413,767"
"Sep 11, 2019",1.00,1.01,0.998584,1.00,"170,908,062","435,865,675"
"Sep 10, 2019",1.00,1.02,0.998622,1.00,"287,595,684","438,285,028"
"Sep 09, 2019",1.00,1.01,0.990455,1.00,"320,254,412","439,300,894"
"Sep 08, 2019",1.00,1.02,0.996857,1.00,"184,302,338","443,790,058"
"Sep 07, 2019",1.00,1.00,0.995327,1.00,"216,553,605","446,581,153"
"Sep 06, 2019",0.999252,1.02,0.995256,1.00,"235,777,567","446,334,724"
"Sep 05, 2019",1.00,1.00,0.995707,0.999252,"161,117,389","451,453,129"
"Sep 04, 2019",1.00,1.01,0.995907,1.00,"214,046,131","428,921,432"
"Sep 03, 2019",0.998343,1.01,0.994706,1.00,"312,426,040","442,431,639"
"Sep 02, 2019",1.00,1.00,0.990110,0.997990,"188,570,485","442,561,509"
"Sep 01, 2019",1.00,1.00,0.997470,1.00,"85,163,334","452,961,466"
"Aug 31, 2019",1.00,1.01,0.999304,1.00,"88,557,733","453,985,394"
"Aug 30, 2019",1.00,1.01,0.997924,1.00,"118,556,193","452,638,755"
"Aug 29, 2019",1.00,1.01,0.997436,1.00,"148,444,116","450,009,120"
"Aug 28, 2019",1.00,1.03,0.996451,0.999821,"167,046,464","424,907,803"
"Aug 27, 2019",1.00,1.01,0.997729,1.00,"134,282,531","424,924,389"
"Aug 26, 2019",0.999066,1.01,0.987236,1.00,"188,397,602","429,435,489"
"Aug 25, 2019",1.00,1.01,0.995392,0.999175,"155,556,320","435,835,635"
"Aug 24, 2019",1.00,1.01,0.994897,1.00,"148,820,460","438,031,691"
"Aug 23, 2019",1.00,1.01,0.990463,1.00,"166,459,701","438,606,575"
"Aug 22, 2019",0.999723,1.01,0.995880,1.00,"161,974,031","438,817,602"
"Aug 21, 2019",1.00,1.02,0.994326,0.999723,"140,393,308","438,098,196"
"Aug 20, 2019",1.00,1.01,0.997714,1.00,"95,290,236","416,674,294"
"Aug 19, 2019",1.00,1.01,0.994657,1.00,"110,441,849","417,987,447"
"Aug 18, 2019",1.00,1.00,0.994150,1.00,"84,496,697","420,617,418"
"Aug 17, 2019",1.00,1.01,0.994025,1.00,"87,160,072","419,396,123"
"Aug 16, 2019",1.00,1.01,0.986852,1.00,"125,713,021","420,406,893"
"Aug 15, 2019",1.00,1.01,0.989804,1.00,"139,392,936","418,842,373"
"Aug 14, 2019",1.00,1.01,0.996125,1.00,"155,009,810","419,239,163"
"Aug 13, 2019",1.00,1.01,0.998525,1.00,"106,639,934","421,479,640"
"Aug 12, 2019",0.998814,1.01,0.998022,1.00,"101,717,903","423,256,123"
