close,date,high,low,marketcap,open,volume
0.011360,"Oct 14, 2018",0.011707,0.011319,"635,274,292",0.011456,"7,932,190"
0.011481,"Oct 13, 2018",0.011674,0.011400,"640,066,444",0.011542,"6,564,870"
0.011562,"Oct 12, 2018",0.011730,0.011059,"618,511,780",0.011154,"9,936,260"
0.011229,"Oct 11, 2018",0.013302,0.011153,"734,496,751",0.013245,"16,074,400"
0.013281,"Oct 10, 2018",0.013639,0.013083,"752,308,818",0.013566,"11,145,500"
0.013595,"Oct 09, 2018",0.013758,0.013390,"758,673,185",0.013681,"8,453,330"
0.013666,"Oct 08, 2018",0.013851,0.012992,"726,134,707",0.013094,"10,593,600"
0.013076,"Oct 07, 2018",0.013111,0.012874,"721,799,418",0.013016,"4,508,570"
0.012996,"Oct 06, 2018",0.013229,0.012933,"727,658,116",0.013122,"4,673,320"
0.013110,"Oct 05, 2018",0.013213,0.012779,"711,705,727",0.012834,"7,337,180"
0.012826,"Oct 04, 2018",0.012953,0.012749,"708,057,643",0.012768,"10,516,100"
0.012764,"Oct 03, 2018",0.012982,0.012618,"717,946,040",0.012946,"12,731,200"
0.012994,"Oct 02, 2018",0.013353,0.012786,"710,076,701",0.012805,"17,676,800"
0.012804,"Oct 01, 2018",0.013100,0.012672,"714,691,552",0.012888,"12,615,600"
0.012891,"Sep 30, 2018",0.013119,0.012708,"724,932,434",0.013073,"14,573,700"
0.013052,"Sep 29, 2018",0.013098,0.012715,"723,626,042",0.013049,"14,815,500"
0.013047,"Sep 28, 2018",0.013594,0.012994,"725,693,080",0.013086,"15,868,800"
0.013078,"Sep 27, 2018",0.013197,0.012436,"694,894,874",0.012531,"17,120,600"
0.012554,"Sep 26, 2018",0.012939,0.012396,"709,143,247",0.012788,"16,953,400"
0.012803,"Sep 25, 2018",0.013123,0.012171,"727,731,093",0.013123,"19,622,300"
0.013123,"Sep 24, 2018",0.013990,0.012918,"771,497,310",0.013912,"18,296,700"
0.013945,"Sep 23, 2018",0.014086,0.013616,"761,935,317",0.013740,"11,897,700"
0.013666,"Sep 22, 2018",0.014583,0.013459,"797,899,232",0.014388,"14,838,600"
0.014389,"Sep 21, 2018",0.014614,0.013469,"759,831,972",0.013702,"36,111,400"
0.013630,"Sep 20, 2018",0.013687,0.012933,"721,355,828",0.013008,"18,295,500"
0.013005,"Sep 19, 2018",0.013254,0.012500,"720,400,941",0.012991,"17,267,900"
0.012956,"Sep 18, 2018",0.013238,0.012415,"706,042,871",0.012732,"16,694,600"
0.012725,"Sep 17, 2018",0.014324,0.012430,"785,169,259",0.014159,"20,636,200"
0.014170,"Sep 16, 2018",0.014335,0.013821,"791,162,599",0.014267,"10,220,600"
0.014275,"Sep 15, 2018",0.014609,0.013754,"774,049,512",0.013958,"14,368,600"
