close,date,high,low,marketcap,open,volume
0.013946,"Oct 14, 2018",0.014376,0.013938,"213,261,963",0.014056,"2,663,160"
0.014084,"Oct 13, 2018",0.014448,0.013999,"213,935,616",0.014101,"2,741,460"
0.014124,"Oct 12, 2018",0.014596,0.013677,"213,320,137",0.014060,"3,518,700"
0.014129,"Oct 11, 2018",0.016571,0.014048,"251,412,996",0.016571,"6,686,300"
0.016603,"Oct 10, 2018",0.016667,0.015340,"242,682,653",0.015995,"6,282,590"
0.016015,"Oct 09, 2018",0.016229,0.015630,"244,307,926",0.016102,"4,990,210"
0.016101,"Oct 08, 2018",0.016497,0.015506,"237,534,321",0.015656,"7,310,280"
0.015582,"Oct 07, 2018",0.015660,0.015067,"234,867,065",0.015480,"4,743,380"
0.015440,"Oct 06, 2018",0.015945,0.015376,"236,905,884",0.015615,"5,322,480"
0.015588,"Oct 05, 2018",0.015915,0.015206,"237,158,262",0.015631,"5,696,590"
0.015631,"Oct 04, 2018",0.015856,0.014791,"224,903,956",0.014823,"5,987,130"
0.014849,"Oct 03, 2018",0.015329,0.014536,"229,054,250",0.015097,"5,744,720"
0.015093,"Oct 02, 2018",0.016551,0.015093,"248,234,117",0.016361,"8,992,230"
0.016330,"Oct 01, 2018",0.017202,0.015135,"229,874,658",0.015151,"21,053,500"
0.015184,"Sep 30, 2018",0.015694,0.014452,"224,093,594",0.014770,"6,396,750"
0.014766,"Sep 29, 2018",0.014960,0.013862,"217,042,261",0.014305,"3,607,070"
0.014279,"Sep 28, 2018",0.015056,0.014108,"224,724,433",0.014812,"3,857,770"
0.014798,"Sep 27, 2018",0.015022,0.013737,"210,709,515",0.013888,"3,969,010"
0.013887,"Sep 26, 2018",0.014307,0.013482,"211,020,829",0.013909,"2,898,530"
0.013910,"Sep 25, 2018",0.014439,0.013257,"218,511,467",0.014402,"4,977,330"
0.014471,"Sep 24, 2018",0.015398,0.014218,"232,119,099",0.015299,"8,525,730"
0.015285,"Sep 23, 2018",0.015863,0.014877,"226,274,251",0.014914,"8,271,190"
0.014860,"Sep 22, 2018",0.016183,0.014511,"243,667,324",0.016060,"5,970,970"
0.015974,"Sep 21, 2018",0.016277,0.014293,"221,494,234",0.014599,"14,835,600"
0.014594,"Sep 20, 2018",0.014658,0.013545,"205,501,200",0.013545,"8,954,780"
0.013507,"Sep 19, 2018",0.013706,0.013017,"202,539,742",0.013350,"5,110,320"
0.013332,"Sep 18, 2018",0.013439,0.012522,"193,751,762",0.012770,"4,333,810"
0.012813,"Sep 17, 2018",0.013921,0.012449,"208,958,978",0.013773,"4,359,410"
0.013734,"Sep 16, 2018",0.013800,0.012979,"205,433,291",0.013540,"2,619,640"
0.013527,"Sep 15, 2018",0.013539,0.012993,"201,963,417",0.013312,"3,103,130"
0.013296,"Sep 14, 2018",0.013588,0.012769,"204,881,185",0.013504,"4,096,760"
0.013497,"Sep 13, 2018",0.013954,0.012773,"195,721,499",0.012900,"5,712,850"
0.012901,"Sep 12, 2018",0.012935,0.011290,"186,045,739",0.012262,"4,603,010"
0.012277,"Sep 11, 2018",0.013004,0.012112,"193,757,457",0.012771,"3,077,060"
0.012730,"Sep 10, 2018",0.013465,0.012688,"196,137,292",0.012927,"3,802,690"
0.012948,"Sep 09, 2018",0.013651,0.012545,"196,908,004",0.012978,"3,568,540"
0.012974,"Sep 08, 2018",0.014413,0.012795,"212,140,132",0.013982,"3,563,370"
0.013879,"Sep 07, 2018",0.015021,0.013828,"222,435,256",0.014661,"4,215,430"
0.014618,"Sep 06, 2018",0.014719,0.013381,"220,582,799",0.014539,"6,765,300"
0.014492,"Sep 05, 2018",0.018603,0.014492,"276,423,171",0.018219,"9,212,150"
0.018127,"Sep 04, 2018",0.019701,0.018044,"274,734,793",0.018108,"11,088,100"
