close,date,high,low,marketcap,open,volume
0.062801,"Oct 14, 2018",0.065311,0.062422,"60,103,351",0.064296,"139,936"
0.064204,"Oct 13, 2018",0.065200,0.062283,"59,783,056",0.063953,"361,559"
0.063892,"Oct 12, 2018",0.064703,0.062087,"59,150,280",0.063276,"226,292"
0.063000,"Oct 11, 2018",0.070055,0.062100,"65,441,466",0.070006,"302,656"
0.070219,"Oct 10, 2018",0.070303,0.067361,"64,487,942",0.068986,"304,733"
0.069087,"Oct 09, 2018",0.069496,0.066648,"62,919,055",0.067308,"348,214"
0.067472,"Oct 08, 2018",0.068436,0.065483,"62,032,957",0.066360,"245,906"
0.066201,"Oct 07, 2018",0.067265,0.065239,"62,216,409",0.066556,"122,493"
0.066324,"Oct 06, 2018",0.069188,0.066141,"64,670,913",0.069182,"178,656"
0.069005,"Oct 05, 2018",0.069233,0.067076,"63,737,093",0.068183,"138,909"
0.068010,"Oct 04, 2018",0.068776,0.066770,"62,936,188",0.067326,"147,843"
0.067275,"Oct 03, 2018",0.069092,0.065039,"64,560,459",0.069064,"332,148"
0.068803,"Oct 02, 2018",0.071461,0.066710,"62,885,457",0.067272,"517,478"
0.067489,"Oct 01, 2018",0.069006,0.066272,"63,420,789",0.067845,"214,540"
0.068069,"Sep 30, 2018",0.068568,0.065944,"64,097,108",0.068568,"229,945"
0.068678,"Sep 29, 2018",0.068983,0.066128,"63,109,659",0.067512,"291,093"
0.067562,"Sep 28, 2018",0.069341,0.066507,"64,106,274",0.068578,"279,049"
0.068595,"Sep 27, 2018",0.069026,0.064890,"62,447,590",0.066804,"358,664"
0.066680,"Sep 26, 2018",0.068959,0.066309,"63,569,598",0.068004,"135,420"
0.068135,"Sep 25, 2018",0.068762,0.064809,"64,041,337",0.068648,"334,554"
0.068713,"Sep 24, 2018",0.071833,0.067617,"66,716,813",0.071515,"222,410"
0.071424,"Sep 23, 2018",0.073255,0.068147,"64,125,642",0.068738,"546,994"
0.068730,"Sep 22, 2018",0.071310,0.066240,"63,990,118",0.068593,"257,532"
0.068531,"Sep 21, 2018",0.071543,0.066430,"64,615,371",0.069263,"643,983"
0.068823,"Sep 20, 2018",0.069659,0.063795,"60,045,514",0.064364,"467,769"
0.064361,"Sep 19, 2018",0.067973,0.058251,"54,451,532",0.058368,"625,805"
0.058355,"Sep 18, 2018",0.060573,0.056815,"54,202,459",0.058101,"243,609"
0.058143,"Sep 17, 2018",0.062887,0.056709,"57,154,793",0.061266,"333,648"
0.061157,"Sep 16, 2018",0.061838,0.058686,"56,254,120",0.060300,"232,832"
0.060134,"Sep 15, 2018",0.060520,0.056463,"53,877,554",0.057753,"192,863"
0.057874,"Sep 14, 2018",0.064727,0.056965,"59,511,738",0.063792,"367,261"
0.063906,"Sep 13, 2018",0.064714,0.055541,"53,319,148",0.057154,"585,857"
0.057289,"Sep 12, 2018",0.060420,0.056136,"56,190,278",0.060232,"343,429"
0.060362,"Sep 11, 2018",0.064610,0.059538,"59,419,572",0.063693,"404,386"
0.063594,"Sep 10, 2018",0.067346,0.063170,"60,575,078",0.064932,"380,955"
0.064835,"Sep 09, 2018",0.068656,0.063366,"61,545,244",0.065972,"290,419"
0.066059,"Sep 08, 2018",0.069785,0.064375,"64,259,616",0.068881,"307,954"
0.069225,"Sep 07, 2018",0.072831,0.067599,"64,777,759",0.069437,"473,776"
0.069675,"Sep 06, 2018",0.073020,0.063114,"63,283,618",0.067981,"1,026,280"
0.069685,"Sep 05, 2018",0.085240,0.069685,"77,760,176",0.083532,"538,646"
0.083516,"Sep 04, 2018",0.084841,0.082649,"77,981,732",0.083770,"521,956"
0.083849,"Sep 03, 2018",0.083849,0.078973,"77,127,427",0.082852,"326,622"
0.082869,"Sep 02, 2018",0.086810,0.081301,"76,593,158",0.082279,"583,456"
0.082188,"Sep 01, 2018",0.083656,0.077835,"72,456,318",0.077835,"515,872"
0.077658,"Aug 31, 2018",0.078522,0.073143,"69,404,983",0.074561,"545,357"
0.074544,"Aug 30, 2018",0.079263,0.072418,"73,511,668",0.078973,"291,660"
0.078963,"Aug 29, 2018",0.083117,0.078441,"75,909,869",0.081549,"314,009"
0.081641,"Aug 28, 2018",0.082617,0.076806,"73,631,588",0.079101,"528,515"
0.079115,"Aug 27, 2018",0.079151,0.071855,"67,738,361",0.072770,"582,857"
0.072011,"Aug 26, 2018",0.073352,0.069911,"67,307,396",0.072307,"291,273"
0.072173,"Aug 25, 2018",0.073756,0.069737,"68,459,822",0.073545,"374,707"
0.073606,"Aug 24, 2018",0.073805,0.069915,"66,950,245",0.071924,"226,257"
0.071851,"Aug 23, 2018",0.072685,0.067019,"62,505,321",0.067148,"544,224"
0.067142,"Aug 22, 2018",0.074510,0.065972,"66,904,984",0.071875,"499,206"
0.071968,"Aug 21, 2018",0.072439,0.069097,"64,325,860",0.069104,"428,788"
0.069223,"Aug 20, 2018",0.077647,0.069148,"68,974,136",0.074098,"454,494"
0.074122,"Aug 19, 2018",0.074976,0.070780,"66,805,905",0.071769,"404,868"
0.071701,"Aug 18, 2018",0.080014,0.069883,"72,341,973",0.077716,"513,767"
0.077580,"Aug 17, 2018",0.077580,0.067880,"64,066,102",0.068825,"638,084"
0.069702,"Aug 16, 2018",0.074306,0.068103,"68,943,440",0.074065,"990,264"
0.073321,"Aug 15, 2018",0.078396,0.069612,"65,664,833",0.070543,"675,275"
0.069824,"Aug 14, 2018",0.070061,0.062063,"64,948,047",0.069773,"828,456"
0.069923,"Aug 13, 2018",0.084537,0.069726,"77,979,159",0.083772,"706,065"
0.083725,"Aug 12, 2018",0.085908,0.081504,"78,624,372",0.084465,"346,628"
0.084780,"Aug 11, 2018",0.087811,0.081133,"81,492,141",0.087546,"751,678"
0.087447,"Aug 10, 2018",0.093823,0.084887,"86,409,794",0.092829,"519,541"
0.093240,"Aug 09, 2018",0.094010,0.084741,"78,881,176",0.084741,"1,001,000"
0.084510,"Aug 08, 2018",0.101093,0.084510,"93,324,152",0.100257,"985,269"
0.100350,"Aug 07, 2018",0.111930,0.097951,"102,047,939",0.109629,"638,907"
0.109465,"Aug 06, 2018",0.114114,0.104186,"100,344,858",0.107799,"856,647"
0.107305,"Aug 05, 2018",0.107620,0.099242,"93,343,856",0.100278,"700,981"
0.100031,"Aug 04, 2018",0.107676,0.096868,"98,078,034",0.105364,"606,786"
0.104788,"Aug 03, 2018",0.111661,0.094814,"98,431,794",0.105744,"1,041,290"
0.106079,"Aug 02, 2018",0.118603,0.106079,"108,978,179",0.117074,"1,063,740"
0.117031,"Aug 01, 2018",0.123482,0.113558,"114,360,184",0.122855,"585,922"
0.122719,"Jul 31, 2018",0.135586,0.119307,"126,210,838",0.135586,"1,283,930"
0.135021,"Jul 30, 2018",0.140490,0.131924,"127,368,451",0.136830,"1,656,460"
0.137571,"Jul 29, 2018",0.140122,0.133759,"129,263,672",0.138866,"1,114,540"
0.138633,"Jul 28, 2018",0.140261,0.134013,"130,153,560",0.139822,"1,096,700"
0.138752,"Jul 27, 2018",0.141573,0.129710,"124,204,488",0.133431,"1,618,570"
0.133809,"Jul 26, 2018",0.159502,0.130314,"126,168,584",0.135541,"6,152,990"
0.135647,"Jul 25, 2018",0.140724,0.130323,"124,001,560",0.133213,"2,819,500"
0.135429,"Jul 24, 2018",0.136216,0.126848,"122,346,512",0.131435,"1,595,210"
0.131970,"Jul 23, 2018",0.149335,0.126268,"122,093,312",0.131163,"2,868,720"
0.131126,"Jul 22, 2018",0.134953,0.130184,"123,220,576",0.132374,"889,724"
0.132398,"Jul 21, 2018",0.134626,0.125081,"118,292,640",0.127080,"951,739"
0.126930,"Jul 20, 2018",0.137499,0.125539,"127,991,192",0.137499,"1,179,280"
0.137324,"Jul 19, 2018",0.144659,0.135320,"134,656,080",0.144659,"1,904,240"
0.144747,"Jul 18, 2018",0.158376,0.141601,"145,526,576",0.156337,"2,809,080"
0.156533,"Jul 17, 2018",0.165999,0.133451,"128,272,312",0.137801,"8,783,370"
0.136873,"Jul 16, 2018",0.137368,0.119730,"111,562,592",0.119850,"4,275,610"
