close,date,high,low,marketcap,open,volume
2.72,"Oct 14, 2018",2.84,2.72,"112,931,658",2.81,"12,781,700"
2.81,"Oct 13, 2018",2.83,2.74,"110,094,822",2.74,"13,371,100"
2.75,"Oct 12, 2018",2.81,2.62,"105,630,737",2.63,"10,596,600"
2.64,"Oct 11, 2018",3.21,2.63,"128,470,710",3.20,"9,994,620"
3.21,"Oct 10, 2018",3.43,3.13,"137,892,960",3.43,"10,683,400"
3.43,"Oct 09, 2018",3.43,3.09,"125,757,543",3.13,"19,138,300"
3.13,"Oct 08, 2018",3.13,2.89,"116,802,095",2.91,"6,459,610"
2.90,"Oct 07, 2018",2.96,2.86,"118,166,829",2.94,"7,688,390"
2.94,"Oct 06, 2018",2.95,2.77,"115,864,740",2.89,"10,110,300"
2.88,"Oct 05, 2018",2.89,2.80,"112,412,607",2.80,"9,460,190"
2.80,"Oct 04, 2018",2.85,2.77,"111,930,128",2.79,"7,937,560"
2.79,"Oct 03, 2018",2.95,2.75,"118,422,176",2.95,"8,490,350"
2.95,"Oct 02, 2018",2.99,2.90,"117,568,109",2.93,"6,670,260"
2.94,"Oct 01, 2018",3.08,2.89,"119,350,104",2.97,"6,116,690"
2.98,"Sep 30, 2018",3.03,2.88,"116,641,942",2.91,"3,473,220"
2.91,"Sep 29, 2018",2.92,2.79,"115,018,301",2.87,"3,007,520"
2.87,"Sep 28, 2018",3.00,2.84,"117,164,390",2.92,"3,364,550"
2.91,"Sep 27, 2018",2.93,2.82,"113,901,124",2.84,"4,442,290"
2.84,"Sep 26, 2018",2.99,2.76,"113,268,474",2.82,"6,874,270"
2.81,"Sep 25, 2018",2.88,2.73,"115,472,765",2.88,"6,352,570"
2.87,"Sep 24, 2018",3.09,2.85,"124,047,580",3.09,"5,347,770"
3.09,"Sep 23, 2018",3.14,2.99,"120,958,536",3.01,"3,599,850"
3.01,"Sep 22, 2018",3.17,2.89,"126,617,439",3.15,"5,837,260"
3.14,"Sep 21, 2018",3.20,3.03,"123,773,081",3.08,"12,880,400"
3.09,"Sep 20, 2018",3.10,2.97,"119,885,185",2.99,"6,259,280"
2.99,"Sep 19, 2018",3.13,2.89,"125,084,944",3.12,"5,368,440"
3.11,"Sep 18, 2018",3.22,3.02,"122,765,742",3.06,"7,467,710"
3.07,"Sep 17, 2018",3.62,3.07,"132,990,710",3.31,"13,360,500"
3.31,"Sep 16, 2018",3.39,2.99,"127,071,980",3.17,"7,018,300"
3.17,"Sep 15, 2018",3.29,2.98,"120,789,138",3.01,"7,219,330"
3.02,"Sep 14, 2018",3.27,2.94,"128,597,144",3.20,"5,292,020"
3.21,"Sep 13, 2018",3.38,3.03,"121,545,369",3.03,"6,417,940"
3.03,"Sep 12, 2018",3.15,2.76,"125,021,822",3.11,"4,296,210"
3.11,"Sep 11, 2018",3.39,2.95,"134,153,110",3.34,"6,603,250"
3.33,"Sep 10, 2018",3.58,3.26,"139,627,166",3.48,"5,982,090"
3.47,"Sep 09, 2018",3.67,3.38,"142,255,256",3.54,"6,088,070"
3.55,"Sep 08, 2018",4.02,3.44,"158,325,907",3.94,"7,140,140"
3.91,"Sep 07, 2018",4.16,3.79,"161,760,266",4.03,"6,908,140"
4.03,"Sep 06, 2018",4.03,3.56,"156,982,622",3.91,"8,067,540"
3.96,"Sep 05, 2018",5.34,3.96,"200,383,518",4.99,"10,986,000"
5.00,"Sep 04, 2018",5.50,4.72,"191,362,795",4.77,"17,916,500"
4.75,"Sep 03, 2018",4.94,4.44,"182,619,003",4.55,"11,751,300"
4.55,"Sep 02, 2018",4.88,4.48,"195,707,615",4.88,"9,138,260"
4.88,"Sep 01, 2018",4.93,4.55,"190,919,692",4.76,"11,599,000"
4.77,"Aug 31, 2018",5.55,4.41,"187,336,081",4.67,"25,309,700"
4.64,"Aug 30, 2018",4.77,4.10,"165,371,499",4.12,"10,598,000"
4.10,"Aug 29, 2018",4.21,3.83,"165,827,122",4.13,"6,044,620"
4.08,"Aug 28, 2018",4.43,4.04,"162,303,828",4.04,"7,926,740"
4.05,"Aug 27, 2018",4.40,3.88,"172,419,771",4.30,"8,362,080"
4.23,"Aug 26, 2018",4.40,3.59,"154,079,670",3.84,"10,360,900"
3.83,"Aug 25, 2018",3.85,3.26,"133,318,577",3.32,"8,254,790"
3.30,"Aug 24, 2018",3.57,2.92,"141,051,633",3.51,"7,860,960"
3.56,"Aug 23, 2018",3.56,2.85,"114,450,601",2.85,"7,888,020"
2.84,"Aug 22, 2018",3.25,2.69,"115,885,270",2.89,"5,903,960"
2.89,"Aug 21, 2018",2.89,2.54,"102,041,087",2.54,"3,499,090"
2.55,"Aug 20, 2018",2.84,2.53,"111,418,189",2.78,"3,713,870"
2.78,"Aug 19, 2018",2.89,2.65,"108,238,048",2.70,"4,463,870"
2.70,"Aug 18, 2018",2.93,2.45,"115,369,388",2.87,"5,037,680"
2.90,"Aug 17, 2018",2.92,2.28,"91,644,576",2.28,"6,341,440"
2.28,"Aug 16, 2018",2.42,2.03,"83,263,968",2.07,"4,025,390"
2.08,"Aug 15, 2018",2.37,2.07,"86,438,597",2.15,"3,765,770"
2.15,"Aug 14, 2018",2.31,1.89,"92,884,407",2.31,"3,213,140"
2.33,"Aug 13, 2018",2.72,2.27,"106,807,571",2.66,"3,312,920"
2.66,"Aug 12, 2018",2.81,2.60,"105,979,958",2.64,"3,442,060"
2.66,"Aug 11, 2018",2.94,2.46,"108,762,783",2.71,"3,319,390"
2.71,"Aug 10, 2018",3.06,2.64,"121,880,664",3.04,"3,384,070"
3.04,"Aug 09, 2018",3.10,2.75,"112,974,948",2.81,"3,515,990"
2.83,"Aug 08, 2018",3.28,2.76,"131,793,202",3.28,"4,034,650"
3.30,"Aug 07, 2018",3.70,3.26,"141,891,918",3.53,"3,816,840"
3.54,"Aug 06, 2018",3.83,3.51,"149,750,049",3.73,"2,884,200"
3.73,"Aug 05, 2018",3.74,3.52,"146,080,375",3.64,"3,074,240"
3.64,"Aug 04, 2018",4.30,3.61,"163,775,978",4.08,"3,508,910"
4.04,"Aug 03, 2018",4.06,3.44,"162,392,609",4.05,"6,037,170"
4.06,"Aug 02, 2018",4.67,3.98,"185,932,058",4.63,"6,114,800"
4.63,"Aug 01, 2018",4.91,4.41,"195,640,828",4.87,"4,703,680"
4.88,"Jul 31, 2018",5.61,4.77,"225,362,613",5.61,"5,147,390"
5.62,"Jul 30, 2018",5.97,5.29,"233,112,772",5.81,"5,822,350"
5.81,"Jul 29, 2018",6.44,5.76,"243,059,264",6.05,"8,574,240"
6.05,"Jul 28, 2018",6.33,5.99,"247,184,080",6.16,"7,470,680"
6.14,"Jul 27, 2018",6.29,5.59,"226,782,448",5.65,"6,749,380"
5.67,"Jul 26, 2018",6.20,5.52,"239,300,992",5.96,"5,877,020"
5.96,"Jul 25, 2018",6.22,5.57,"230,193,488",5.73,"6,844,830"
5.79,"Jul 24, 2018",6.03,5.39,"234,616,560",5.84,"7,101,840"
5.83,"Jul 23, 2018",6.55,5.79,"252,732,400",6.30,"5,678,940"
6.31,"Jul 22, 2018",6.65,6.24,"260,341,312",6.49,"5,405,750"
6.48,"Jul 21, 2018",6.61,6.29,"256,143,440",6.38,"6,612,750"
6.35,"Jul 20, 2018",7.05,6.34,"280,017,536",6.98,"17,416,800"
6.97,"Jul 19, 2018",7.29,6.86,"284,813,152",7.09,"44,078,300"
7.07,"Jul 18, 2018",7.85,6.85,"306,890,016",7.64,"42,454,400"
7.69,"Jul 17, 2018",7.69,6.81,"285,043,168",7.10,"19,162,200"
7.13,"Jul 16, 2018",7.13,6.40,"257,874,048",6.42,"16,438,000"
6.41,"Jul 15, 2018",6.51,6.31,"256,446,944",6.39,"6,649,590"
6.38,"Jul 14, 2018",6.74,6.31,"268,378,160",6.69,"7,993,830"
6.70,"Jul 13, 2018",7.39,6.53,"265,724,624",6.62,"17,860,700"
6.63,"Jul 12, 2018",7.36,6.41,"287,135,872",7.15,"10,016,600"
7.13,"Jul 11, 2018",7.22,6.42,"200,198,016",6.43,"7,750,190"
6.42,"Jul 10, 2018",7.14,6.34,"219,202,768",7.04,"5,074,480"
7.15,"Jul 09, 2018",7.95,7.15,"224,552,384",7.21,"7,564,220"
7.23,"Jul 08, 2018",7.49,7.23,"228,635,056",7.34,"5,866,920"
7.32,"Jul 07, 2018",7.32,6.89,"221,135,568",7.10,"5,494,810"
7.11,"Jul 06, 2018",7.14,6.60,"215,514,048",6.92,"5,850,720"
6.89,"Jul 05, 2018",7.43,6.79,"216,426,576",6.95,"7,733,900"
6.95,"Jul 04, 2018",7.22,6.56,"207,842,960",6.67,"5,206,790"
6.68,"Jul 03, 2018",7.43,6.58,"226,109,280",7.26,"6,244,390"
7.27,"Jul 02, 2018",7.39,6.54,"204,758,128",6.57,"6,967,970"
6.57,"Jul 01, 2018",6.78,6.36,"204,681,824",6.57,"4,961,060"
6.57,"Jun 30, 2018",6.63,6.27,"195,875,200",6.29,"4,531,860"
6.26,"Jun 29, 2018",6.33,5.56,"174,205,776",5.59,"5,686,210"
5.60,"Jun 28, 2018",6.12,5.57,"185,995,008",5.97,"3,958,650"
5.98,"Jun 27, 2018",6.07,5.80,"188,522,288",6.05,"4,611,810"
6.06,"Jun 26, 2018",6.66,6.06,"207,525,072",6.66,"4,629,580"
6.71,"Jun 25, 2018",6.93,6.24,"204,487,456",6.57,"6,357,780"
6.58,"Jun 24, 2018",6.94,6.03,"215,651,776",6.92,"6,549,720"
6.93,"Jun 23, 2018",7.16,6.55,"217,122,592",6.97,"4,074,710"
6.96,"Jun 22, 2018",8.02,6.73,"249,850,576",8.02,"5,861,630"
8.02,"Jun 21, 2018",8.48,7.92,"262,839,024",8.44,"5,498,710"
8.45,"Jun 20, 2018",8.65,8.28,"268,569,120",8.62,"5,820,680"
8.62,"Jun 19, 2018",8.92,8.53,"270,812,928",8.70,"5,939,920"
8.71,"Jun 18, 2018",8.92,8.17,"262,211,600",8.42,"5,520,450"
8.42,"Jun 17, 2018",8.54,8.34,"260,159,456",8.35,"4,704,960"
8.36,"Jun 16, 2018",8.63,8.22,"261,316,080",8.39,"5,350,170"
8.40,"Jun 15, 2018",9.18,8.27,"284,990,944",9.15,"7,037,030"
9.15,"Jun 14, 2018",9.20,8.11,"252,607,184",8.11,"4,980,470"
8.12,"Jun 13, 2018",9.24,7.71,"278,115,360",8.93,"5,318,850"
8.90,"Jun 12, 2018",9.92,8.78,"308,938,720",9.92,"5,765,830"
9.93,"Jun 11, 2018",9.94,9.47,"306,140,352",9.83,"5,484,140"
9.80,"Jun 10, 2018",11.41,9.50,"355,413,568",11.41,"6,314,700"
11.40,"Jun 09, 2018",12.02,11.40,"372,320,352",11.95,"6,017,220"
11.97,"Jun 08, 2018",12.14,11.65,"374,574,240",12.03,"7,575,140"
11.98,"Jun 07, 2018",13.22,11.93,"402,070,336",12.91,"10,161,700"
12.90,"Jun 06, 2018",12.92,11.82,"377,556,128",12.12,"11,264,200"
12.13,"Jun 05, 2018",12.23,10.87,"340,660,352",10.94,"11,559,900"
10.91,"Jun 04, 2018",11.76,10.79,"365,288,960",11.73,"5,530,770"
11.72,"Jun 03, 2018",11.77,11.33,"353,715,520",11.36,"6,029,040"
11.36,"Jun 02, 2018",11.45,10.88,"348,776,640",11.20,"6,557,570"
11.20,"Jun 01, 2018",12.30,11.01,"349,192,704",11.21,"6,953,840"
11.18,"May 31, 2018",11.43,10.78,"337,856,064",10.85,"6,048,700"
10.85,"May 30, 2018",11.54,10.68,"350,570,720",11.26,"5,810,380"
11.25,"May 29, 2018",11.35,10.06,"313,366,880",10.06,"6,741,090"
10.09,"May 28, 2018",10.98,10.03,"342,010,080",10.98,"5,701,070"
10.98,"May 27, 2018",11.15,10.65,"336,530,272",10.81,"6,253,510"
10.79,"May 26, 2018",11.15,10.69,"335,987,552",10.79,"5,273,640"
10.79,"May 25, 2018",11.34,10.55,"344,090,880",11.05,"6,368,090"
11.04,"May 24, 2018",11.13,9.85,"315,253,888",10.12,"6,767,570"
10.17,"May 23, 2018",11.38,9.94,"345,079,936",11.08,"6,430,100"
11.08,"May 22, 2018",12.89,10.95,"396,875,808",12.74,"7,562,150"
12.69,"May 21, 2018",13.92,12.13,"388,043,904",12.46,"15,251,800"
12.42,"May 20, 2018",12.43,11.63,"364,457,952",11.70,"6,379,760"
11.71,"May 19, 2018",12.38,11.64,"374,902,272",12.04,"6,195,530"
12.03,"May 18, 2018",12.13,11.18,"354,601,568",11.39,"6,828,560"
11.42,"May 17, 2018",12.61,11.36,"379,889,856",12.20,"7,012,600"
12.16,"May 16, 2018",12.76,11.83,"397,442,304",12.76,"6,957,490"
12.76,"May 15, 2018",13.73,12.62,"411,793,152",13.22,"9,067,980"
13.25,"May 14, 2018",13.75,12.64,"414,055,456",13.29,"9,545,850"
13.30,"May 13, 2018",13.43,12.53,"404,377,504",12.98,"7,533,780"
12.98,"May 12, 2018",13.21,11.33,"371,652,032",11.93,"8,343,540"
11.96,"May 11, 2018",14.62,11.77,"440,127,712",14.13,"9,981,870"
14.14,"May 10, 2018",15.14,14.12,"470,682,880",15.11,"9,918,630"
15.20,"May 09, 2018",15.41,13.69,"448,131,808",14.39,"11,739,400"
14.38,"May 08, 2018",15.35,13.93,"462,461,664",14.85,"10,806,400"
14.78,"May 07, 2018",15.84,14.02,"493,242,048",15.84,"7,477,610"
15.86,"May 06, 2018",16.83,15.03,"522,549,600",16.78,"3,675,740"
16.77,"May 05, 2018",18.17,16.37,"541,216,512",17.38,"6,633,660"
17.38,"May 04, 2018",18.57,16.53,"521,886,080",16.76,"14,582,700"
16.70,"May 03, 2018",17.45,15.41,"484,722,304",15.56,"13,290,200"
15.47,"May 02, 2018",15.68,15.05,"479,344,928",15.39,"4,294,410"
15.41,"May 01, 2018",15.57,14.30,"481,982,752",15.48,"4,789,020"
15.47,"Apr 30, 2018",17.28,15.28,"515,020,832",16.54,"7,132,730"
16.56,"Apr 29, 2018",17.23,15.56,"508,248,928",16.32,"7,399,530"
16.34,"Apr 28, 2018",17.03,14.57,"454,855,584",14.60,"11,520,400"
14.68,"Apr 27, 2018",15.45,13.78,"436,895,136",14.03,"8,440,570"
14.08,"Apr 26, 2018",14.15,12.24,"390,079,104",12.52,"4,894,640"
12.40,"Apr 25, 2018",15.08,12.36,"454,482,112",14.59,"5,453,600"
14.62,"Apr 24, 2018",15.21,13.84,"437,084,032",14.03,"7,693,200"
14.04,"Apr 23, 2018",14.30,12.65,"399,905,760",12.84,"9,945,560"
12.80,"Apr 22, 2018",12.83,12.15,"383,230,208",12.31,"3,864,480"
12.28,"Apr 21, 2018",13.10,11.51,"407,955,264",13.10,"4,280,920"
13.11,"Apr 20, 2018",13.16,12.02,"389,438,400",12.50,"5,481,600"
12.48,"Apr 19, 2018",12.57,11.78,"369,872,480",11.88,"6,205,040"
11.89,"Apr 18, 2018",12.03,10.82,"337,120,064",10.82,"5,142,380"
10.81,"Apr 17, 2018",12.21,10.39,"262,748,960",10.55,"12,695,300"
10.52,"Apr 16, 2018",11.26,10.16,"275,065,056",11.05,"2,967,430"
11.06,"Apr 15, 2018",11.27,10.85,"270,342,016",10.86,"3,019,760"
10.89,"Apr 14, 2018",11.19,10.48,"268,048,112",10.77,"2,493,030"
10.77,"Apr 13, 2018",11.48,10.49,"272,634,112",10.95,"6,066,510"
10.90,"Apr 12, 2018",11.25,9.27,"252,060,976",10.12,"7,219,550"
10.17,"Apr 11, 2018",10.48,8.62,"215,050,768",8.64,"10,984,300"
8.63,"Apr 10, 2018",8.79,8.20,"210,214,560",8.44,"1,876,590"
8.43,"Apr 09, 2018",9.19,8.15,"217,406,624",8.73,"2,784,420"
8.70,"Apr 08, 2018",9.10,8.57,"213,308,256",8.57,"1,482,700"
8.56,"Apr 07, 2018",8.88,8.20,"205,647,824",8.26,"2,249,460"
8.24,"Apr 06, 2018",8.69,8.04,"215,434,672",8.65,"2,270,630"
8.69,"Apr 05, 2018",9.38,8.34,"232,672,528",9.34,"3,865,710"
9.40,"Apr 04, 2018",10.66,9.25,"265,086,176",10.65,"3,484,140"
10.65,"Apr 03, 2018",11.60,9.85,"250,153,184",10.05,"10,236,500"
10.03,"Apr 02, 2018",10.39,9.32,"236,010,112",9.48,"3,306,500"
9.44,"Apr 01, 2018",10.35,8.85,"252,507,424",10.14,"4,047,720"
10.20,"Mar 31, 2018",11.71,10.07,"257,782,752",10.35,"5,137,620"
10.31,"Mar 30, 2018",11.20,9.80,"267,067,440",10.73,"2,668,260"
10.83,"Mar 29, 2018",13.14,10.53,"325,049,600",13.06,"3,675,060"
13.03,"Mar 28, 2018",13.73,12.96,"334,515,200",13.44,"3,619,230"
13.47,"Mar 27, 2018",13.79,12.01,"325,245,600",13.06,"6,162,720"
13.07,"Mar 26, 2018",14.78,12.18,"346,969,600",13.94,"5,680,870"
13.97,"Mar 25, 2018",14.66,12.42,"310,021,824",12.45,"7,774,750"
12.63,"Mar 24, 2018",13.98,12.58,"340,205,856",13.66,"3,960,270"
13.45,"Mar 23, 2018",13.48,11.73,"318,519,200",12.79,"4,882,000"
12.80,"Mar 22, 2018",14.25,12.36,"347,894,336",13.97,"3,331,940"
13.97,"Mar 21, 2018",14.94,13.36,"351,357,504",14.11,"4,889,040"
14.05,"Mar 20, 2018",14.20,12.44,"317,256,800",12.74,"5,938,950"
12.63,"Mar 19, 2018",12.95,11.63,"304,267,648",12.22,"5,410,120"
12.13,"Mar 18, 2018",12.43,10.08,"288,920,800",11.60,"5,408,010"
11.65,"Mar 17, 2018",13.30,11.39,"330,696,576",13.28,"5,274,790"
13.23,"Mar 16, 2018",13.86,12.26,"318,737,664",12.80,"5,058,330"
12.90,"Mar 15, 2018",13.65,11.87,"332,811,456",13.37,"5,762,170"
13.39,"Mar 14, 2018",15.93,12.96,"384,316,640",15.44,"7,111,590"
15.44,"Mar 13, 2018",16.58,15.18,"384,324,768",15.44,"7,763,470"
15.50,"Mar 12, 2018",17.24,15.08,"420,021,728",16.87,"8,972,400"
16.90,"Mar 11, 2018",17.25,14.53,"374,418,048",15.04,"11,506,800"
15.04,"Mar 10, 2018",16.87,14.96,"405,576,416",16.29,"7,542,830"
16.29,"Mar 09, 2018",16.33,13.48,"389,665,888",15.65,"10,970,900"
15.77,"Mar 08, 2018",19.03,15.77,"462,697,664",18.58,"11,567,900"
18.65,"Mar 07, 2018",25.13,16.80,"625,657,792",25.13,"49,911,600"
24.97,"Mar 06, 2018",28.59,19.74,"505,296,704",20.29,"89,312,496"
20.50,"Mar 05, 2018",21.31,18.58,"465,518,208",18.70,"14,493,100"
18.71,"Mar 04, 2018",19.42,18.58,"479,303,360",19.25,"13,728,600"
19.27,"Mar 03, 2018",20.28,19.02,"495,215,520",19.89,"16,624,800"
19.79,"Mar 02, 2018",20.65,17.94,"464,965,920",18.67,"20,874,500"
18.76,"Mar 01, 2018",19.97,17.36,"463,192,512",18.60,"23,994,500"
18.67,"Feb 28, 2018",22.55,17.63,"554,200,064",22.26,"21,485,200"
22.30,"Feb 27, 2018",22.94,21.30,"542,910,464",21.81,"6,375,800"
21.85,"Feb 26, 2018",22.58,20.86,"550,744,640",22.12,"9,737,710"
22.00,"Feb 25, 2018",22.49,21.07,"534,157,696",21.45,"8,519,400"
21.51,"Feb 24, 2018",23.36,20.49,"527,223,040",21.18,"5,162,820"
21.28,"Feb 23, 2018",21.70,19.42,"505,104,544",20.29,"4,823,950"
20.28,"Feb 22, 2018",23.42,19.55,"524,146,944",21.05,"9,813,410"
21.07,"Feb 21, 2018",23.17,19.85,"576,787,328",23.17,"6,966,240"
23.19,"Feb 20, 2018",25.68,22.17,"632,155,328",25.39,"13,582,000"
25.45,"Feb 19, 2018",26.37,23.91,"597,603,904",24.00,"7,885,530"
24.09,"Feb 18, 2018",27.16,23.75,"665,144,064",26.71,"7,406,650"
26.86,"Feb 17, 2018",28.06,26.47,"671,804,864",26.98,"9,897,960"
26.98,"Feb 16, 2018",27.95,25.42,"691,462,464",27.77,"12,009,500"
27.91,"Feb 15, 2018",28.59,23.22,"591,979,328",23.78,"17,722,800"
23.75,"Feb 14, 2018",24.46,21.24,"531,076,224",21.33,"9,998,060"
21.38,"Feb 13, 2018",22.49,20.74,"557,479,040",22.39,"5,591,530"
22.38,"Feb 12, 2018",22.73,20.15,"508,673,856",20.43,"7,053,040"
20.33,"Feb 11, 2018",22.26,19.17,"554,221,568",22.26,"6,364,060"
22.27,"Feb 10, 2018",28.23,20.94,"614,422,336",24.68,"14,413,000"
24.91,"Feb 09, 2018",24.93,21.49,"564,502,976",22.67,"1,181,550"
22.62,"Feb 08, 2018",23.52,20.15,"501,754,272",20.15,"16,211,700"
20.15,"Feb 07, 2018",25.49,20.13,"565,297,856",22.70,"15,012,200"
22.83,"Feb 06, 2018",23.35,13.59,"440,937,344",17.71,"21,608,300"
17.52,"Feb 05, 2018",24.40,15.27,"581,358,080",23.35,"16,172,000"
23.53,"Feb 04, 2018",28.97,21.70,"702,645,440",28.22,"16,479,100"
28.36,"Feb 03, 2018",30.46,22.19,"619,960,000",24.90,"21,908,800"
24.79,"Feb 02, 2018",27.59,16.77,"684,013,504",27.47,"22,530,900"
27.60,"Feb 01, 2018",32.72,24.42,"803,410,240",32.27,"20,079,600"
32.24,"Jan 31, 2018",33.41,30.79,"805,452,864",32.35,"15,983,900"
32.30,"Jan 30, 2018",38.58,30.20,"941,803,136",37.83,"40,530,500"
37.89,"Jan 29, 2018",40.73,35.25,"992,277,056",39.85,"62,793,700"
39.83,"Jan 28, 2018",45.96,34.52,"1,048,295,616",42.10,"119,525,000"
41.73,"Jan 27, 2018",43.74,36.95,"954,899,968",38.35,"95,696,000"
38.02,"Jan 26, 2018",38.42,30.72,"822,842,112",33.05,"62,688,700"
33.16,"Jan 25, 2018",36.86,31.99,"917,787,392",36.86,"43,290,700"
36.55,"Jan 24, 2018",38.46,29.38,"747,519,296",30.02,"115,482,000"
29.92,"Jan 23, 2018",33.02,26.43,"717,369,984",28.81,"80,665,696"
28.86,"Jan 22, 2018",29.92,22.49,"705,027,520",28.32,"57,289,000"
27.92,"Jan 21, 2018",30.96,24.89,"669,580,992",26.89,"65,992,800"
27.32,"Jan 20, 2018",27.89,22.29,"563,801,984",22.64,"49,287,800"
22.30,"Jan 19, 2018",23.87,20.54,"538,311,232",21.62,"41,197,800"
21.87,"Jan 18, 2018",24.94,19.08,"477,766,336",19.19,"55,600,600"
19.51,"Jan 17, 2018",21.43,14.12,"479,966,688",19.28,"46,581,400"
19.22,"Jan 16, 2018",24.60,15.13,"586,534,272",23.56,"59,669,700"
23.46,"Jan 15, 2018",31.01,23.02,"638,395,264",25.64,"50,917,800"
26.40,"Jan 14, 2018",30.90,24.60,"720,718,976",28.95,"90,227,296"
28.92,"Jan 13, 2018",43.34,22.60,"586,287,744",23.55,"325,576,000"
23.46,"Jan 12, 2018",24.07,14.66,"379,439,072",15.24,"85,084,304"
15.14,"Jan 11, 2018",18.13,13.48,"427,033,280",17.15,"26,736,100"
