close,date,high,low,marketcap,open,volume
1.89,"Oct 14, 2018",1.94,1.88,"189,096,868",1.89,"4,084,220"
1.89,"Oct 13, 2018",1.91,1.88,"187,825,131",1.88,"3,346,790"
1.88,"Oct 12, 2018",1.92,1.86,"187,008,381",1.87,"5,017,790"
1.87,"Oct 11, 2018",2.12,1.85,"211,772,966",2.12,"8,808,830"
2.12,"Oct 10, 2018",2.14,2.08,"212,602,639",2.13,"7,758,380"
2.13,"Oct 09, 2018",2.22,2.12,"215,820,932",2.16,"12,126,800"
2.14,"Oct 08, 2018",2.25,2.09,"212,639,546",2.13,"6,329,040"
2.12,"Oct 07, 2018",2.13,2.09,"213,148,117",2.13,"4,451,390"
2.12,"Oct 06, 2018",2.22,2.11,"220,422,792",2.20,"7,078,420"
2.20,"Oct 05, 2018",2.21,2.11,"214,593,077",2.15,"7,130,810"
2.14,"Oct 04, 2018",2.17,2.13,"213,934,064",2.14,"4,940,890"
2.14,"Oct 03, 2018",2.16,2.06,"212,595,010",2.13,"7,051,150"
2.12,"Oct 02, 2018",2.17,2.12,"214,862,180",2.15,"4,353,180"
2.15,"Oct 01, 2018",2.21,2.13,"219,539,452",2.20,"6,515,430"
2.20,"Sep 30, 2018",2.22,2.19,"221,107,364",2.21,"4,126,900"
2.22,"Sep 29, 2018",2.22,2.14,"221,243,405",2.21,"4,177,000"
2.21,"Sep 28, 2018",2.31,2.18,"230,193,615",2.30,"7,152,760"
2.31,"Sep 27, 2018",2.37,2.22,"236,531,901",2.37,"10,826,800"
2.35,"Sep 26, 2018",2.49,2.12,"216,381,764",2.16,"17,278,800"
2.17,"Sep 25, 2018",2.22,2.06,"222,311,378",2.22,"6,502,840"
2.22,"Sep 24, 2018",2.29,2.17,"228,355,813",2.28,"7,921,500"
2.28,"Sep 23, 2018",2.47,2.13,"213,453,412",2.13,"18,005,700"
2.14,"Sep 22, 2018",2.26,2.10,"224,458,647",2.24,"6,440,330"
2.24,"Sep 21, 2018",2.30,2.19,"223,206,830",2.23,"14,374,600"
2.24,"Sep 20, 2018",2.38,2.19,"227,642,608",2.28,"17,634,800"
2.27,"Sep 19, 2018",2.41,2.15,"216,058,946",2.16,"14,680,600"
2.15,"Sep 18, 2018",2.20,2.09,"210,085,058",2.10,"2,627,130"
2.10,"Sep 17, 2018",2.27,2.08,"224,972,606",2.25,"2,306,610"
2.25,"Sep 16, 2018",2.31,2.20,"231,041,551",2.31,"2,088,120"
2.30,"Sep 15, 2018",2.34,2.26,"229,276,466",2.29,"2,972,100"
