date,open,high,low,close,volume,marketcap
"Oct 12, 2019",0.002009,0.002057,0.001934,0.002002,"799,936","33,914,166"
"Oct 11, 2019",0.002084,0.002155,0.001983,0.002009,"903,623","34,014,994"
"Oct 10, 2019",0.002108,0.002145,0.002018,0.002084,"1,003,436","35,276,224"
"Oct 09, 2019",0.002060,0.002128,0.001977,0.002108,"1,403,131","35,637,336"
"Oct 08, 2019",0.002043,0.002124,0.001968,0.002060,"1,271,462","34,816,081"
"Oct 07, 2019",0.001938,0.002086,0.001877,0.002049,"880,276","34,619,573"
"Oct 06, 2019",0.002059,0.002067,0.001930,0.001942,"793,726","32,827,620"
"Oct 05, 2019",0.002255,0.002297,0.002025,0.002063,"1,467,718","34,858,121"
"Oct 04, 2019",0.001974,0.002295,0.001912,0.002255,"1,375,598","38,101,338"
"Oct 03, 2019",0.001937,0.001980,0.001876,0.001975,"1,009,849","33,370,219"
"Oct 02, 2019",0.001775,0.001943,0.001765,0.001941,"918,237","32,795,300"
"Oct 01, 2019",0.001707,0.001898,0.001707,0.001775,"892,063","29,992,187"
"Sep 30, 2019",0.001672,0.001719,0.001534,0.001710,"1,114,784","28,903,735"
"Sep 29, 2019",0.001739,0.001764,0.001614,0.001671,"806,580","28,227,215"
"Sep 28, 2019",0.001830,0.001934,0.001700,0.001740,"1,149,722","29,368,782"
"Sep 27, 2019",0.001880,0.001896,0.001737,0.001827,"1,300,090","30,840,533"
"Sep 26, 2019",0.001778,0.002088,0.001677,0.001881,"1,790,006","31,754,439"
"Sep 25, 2019",0.001689,0.001861,0.001526,0.001778,"2,090,261","30,012,034"
"Sep 24, 2019",0.002157,0.002165,0.001487,0.001679,"1,252,627","28,339,872"
"Sep 23, 2019",0.002480,0.002501,0.002153,0.002159,"1,549,836","36,330,560"
"Sep 22, 2019",0.002442,0.002507,0.002407,0.002475,"886,908","41,645,647"
"Sep 21, 2019",0.002478,0.002504,0.002403,0.002447,"806,117","41,159,494"
"Sep 20, 2019",0.002548,0.002560,0.002465,0.002480,"930,118","41,720,303"
"Sep 19, 2019",0.002475,0.002552,0.002365,0.002543,"1,349,998","42,772,641"
"Sep 18, 2019",0.002447,0.002507,0.002426,0.002478,"1,376,564","42,804,539"
"Sep 17, 2019",0.002483,0.002500,0.002419,0.002442,"1,190,764","41,756,851"
"Sep 16, 2019",0.002483,0.002527,0.002419,0.002485,"1,242,248","42,138,363"
"Sep 15, 2019",0.002504,0.002520,0.002412,0.002490,"1,309,569","42,214,771"
"Sep 14, 2019",0.002500,0.002544,0.002409,0.002498,"1,130,154","42,447,821"
"Sep 13, 2019",0.002563,0.002577,0.002456,0.002500,"1,048,593","42,476,761"
"Sep 12, 2019",0.002382,0.002566,0.002304,0.002563,"1,266,854","43,531,834"
"Sep 11, 2019",0.002436,0.002505,0.002270,0.002392,"1,383,889","40,635,317"
"Sep 10, 2019",0.002371,0.002505,0.002244,0.002436,"1,547,530","41,369,395"
"Sep 09, 2019",0.002503,0.002671,0.002357,0.002375,"2,109,748","40,331,907"
"Sep 08, 2019",0.002671,0.002747,0.002290,0.002503,"2,562,604","42,639,293"
"Sep 07, 2019",0.002428,0.002865,0.002420,0.002680,"3,689,784","45,651,110"
"Sep 06, 2019",0.001957,0.002720,0.001911,0.002427,"4,536,042","41,374,175"
"Sep 05, 2019",0.001604,0.002027,0.001597,0.001957,"1,685,535","33,360,041"
"Sep 04, 2019",0.001739,0.001750,0.001574,0.001609,"1,202,786","27,427,282"
"Sep 03, 2019",0.001532,0.001800,0.001462,0.001739,"1,622,286","29,637,561"
"Sep 02, 2019",0.001307,0.001640,0.001293,0.001544,"1,032,465","26,312,442"
"Sep 01, 2019",0.001297,0.001331,0.001273,0.001308,"541,585","22,317,941"
"Aug 31, 2019",0.001316,0.001356,0.001274,0.001294,"688,784","22,069,532"
"Aug 30, 2019",0.001262,0.001346,0.001221,0.001314,"677,610","22,423,363"
"Aug 29, 2019",0.001352,0.001363,0.001195,0.001260,"1,212,101","21,502,685"
"Aug 28, 2019",0.001588,0.001588,0.001350,0.001350,"802,744","23,031,683"
"Aug 27, 2019",0.001465,0.001673,0.001440,0.001587,"1,268,083","27,075,966"
"Aug 26, 2019",0.001380,0.001827,0.001286,0.001469,"1,588,702","25,057,296"
"Aug 25, 2019",0.001453,0.001557,0.001352,0.001375,"989,417","23,411,410"
"Aug 24, 2019",0.001796,0.001808,0.001387,0.001453,"1,323,211","24,762,046"
"Aug 23, 2019",0.001806,0.001836,0.001752,0.001796,"1,110,395","30,610,441"
"Aug 22, 2019",0.001940,0.001963,0.001734,0.001806,"944,255","30,828,761"
"Aug 21, 2019",0.001927,0.001938,0.001747,0.001926,"1,263,479","32,869,625"
"Aug 20, 2019",0.002074,0.002075,0.001822,0.001930,"571,060","32,929,600"
"Aug 19, 2019",0.002292,0.002313,0.001937,0.002074,"972,566","35,388,615"
"Aug 18, 2019",0.002276,0.002330,0.002191,0.002282,"237,550","38,950,644"
"Aug 17, 2019",0.002361,0.002419,0.002205,0.002265,"462,313","38,655,854"
"Aug 16, 2019",0.002519,0.002929,0.002219,0.002358,"1,052,597","40,977,905"
"Aug 15, 2019",0.002287,0.002530,0.002120,0.002514,"550,453","43,686,924"
