close,date,high,low,marketcap,open,volume
0.403286,"Oct 14, 2018",0.424992,0.401460,"16,741,923,546",0.418573,"289,195,000"
0.418878,"Oct 13, 2018",0.425624,0.414515,"16,650,777,937",0.416294,"373,875,000"
0.419115,"Oct 12, 2018",0.439544,0.378914,"15,171,606,884",0.379313,"820,154,000"
0.383130,"Oct 11, 2018",0.461497,0.381614,"18,458,793,401",0.461497,"791,202,000"
0.462387,"Oct 10, 2018",0.479151,0.459042,"19,135,108,955",0.479151,"412,207,000"
0.479857,"Oct 09, 2018",0.491133,0.471116,"19,592,477,417",0.490604,"416,867,000"
0.489751,"Oct 08, 2018",0.496593,0.479386,"19,329,458,625",0.484018,"540,832,000"
0.482039,"Oct 07, 2018",0.490268,0.469887,"19,579,049,942",0.490268,"548,645,000"
0.488082,"Oct 06, 2018",0.520882,0.470532,"20,740,595,570",0.519354,"672,167,000"
0.519026,"Oct 05, 2018",0.530432,0.510320,"21,067,120,535",0.527530,"589,636,000"
0.526606,"Oct 04, 2018",0.547161,0.526250,"21,121,535,015",0.528892,"621,615,000"
0.528162,"Oct 03, 2018",0.536097,0.512269,"20,655,379,543",0.517220,"789,229,000"
0.520837,"Oct 02, 2018",0.577145,0.518287,"23,048,516,946",0.577145,"743,705,000"
0.576461,"Oct 01, 2018",0.602337,0.537349,"23,265,129,410",0.583511,"1,412,800,000"
0.581572,"Sep 30, 2018",0.618702,0.564195,"22,648,482,209",0.568045,"1,329,720,000"
0.571228,"Sep 29, 2018",0.587431,0.529954,"21,506,830,064",0.539412,"1,034,370,000"
0.539112,"Sep 28, 2018",0.548805,0.522197,"21,651,113,979",0.543030,"718,255,000"
0.541381,"Sep 27, 2018",0.550922,0.513967,"20,592,429,897",0.516478,"824,083,000"
0.516308,"Sep 26, 2018",0.566711,0.491498,"20,744,361,360",0.520288,"1,821,610,000"
0.526941,"Sep 25, 2018",0.546061,0.441519,"19,441,931,263",0.487622,"1,639,680,000"
0.494712,"Sep 24, 2018",0.580377,0.489646,"22,715,618,493",0.570614,"1,034,380,000"
0.570689,"Sep 23, 2018",0.595025,0.559651,"22,898,988,896",0.575220,"1,043,970,000"
0.570798,"Sep 22, 2018",0.609112,0.495737,"22,510,774,201",0.565468,"2,411,430,000"
