date,open,high,low,close,volume,marketcap
"Oct 12, 2019",0.299160,0.303414,0.297357,0.299355,"146,939,315","138,687,851"
"Oct 11, 2019",0.302855,0.307607,0.298419,0.299108,"160,767,930","138,573,325"
"Oct 10, 2019",0.306487,0.307434,0.297879,0.302813,"154,384,349","140,289,842"
"Oct 09, 2019",0.298382,0.307118,0.297467,0.306565,"157,863,018","142,028,174"
"Oct 08, 2019",0.300422,0.303835,0.297396,0.298382,"151,972,531","138,236,968"
"Oct 07, 2019",0.296111,0.301804,0.292911,0.300513,"192,419,296","139,224,380"
"Oct 06, 2019",0.295812,0.297933,0.293830,0.296361,"169,156,855","137,300,553"
"Oct 05, 2019",0.298817,0.300306,0.293696,0.295306,"163,005,539","136,812,112"
"Oct 04, 2019",0.298548,0.300567,0.294701,0.298817,"162,179,795","138,438,501"
"Oct 03, 2019",0.299739,0.301581,0.295709,0.298590,"159,652,776","138,333,595"
"Oct 02, 2019",0.299756,0.301905,0.295911,0.299993,"154,181,515","138,983,258"
"Oct 01, 2019",0.298889,0.307509,0.297873,0.299756,"174,338,394","138,873,408"
"Sep 30, 2019",0.295597,0.301021,0.291939,0.298842,"185,262,441","138,450,361"
"Sep 29, 2019",0.299437,0.300252,0.291820,0.295597,"95,942,807","136,946,860"
"Sep 28, 2019",0.299016,0.302724,0.295099,0.299350,"80,410,929","138,685,672"
"Sep 27, 2019",0.293936,0.300437,0.292363,0.299230,"87,420,081","138,629,741"
"Sep 26, 2019",0.301445,0.316589,0.290011,0.294297,"81,030,790","136,344,524"
"Sep 25, 2019",0.313578,0.319742,0.292174,0.302200,"89,062,453","140,006,077"
"Sep 24, 2019",0.341206,0.342970,0.290365,0.314006,"122,931,503","145,475,451"
"Sep 23, 2019",0.352757,0.354136,0.340736,0.340865,"97,023,447","157,918,878"
"Sep 22, 2019",0.356336,0.357590,0.348133,0.352576,"108,681,870","163,344,488"
"Sep 21, 2019",0.354026,0.359305,0.350260,0.356172,"88,614,545","165,010,668"
"Sep 20, 2019",0.357542,0.360138,0.351340,0.353974,"80,743,077","163,992,018"
"Sep 19, 2019",0.360526,0.360925,0.346396,0.358846,"95,745,595","166,249,336"
"Sep 18, 2019",0.358029,0.373589,0.351902,0.360582,"84,164,857","167,053,816"
"Sep 17, 2019",0.361017,0.361686,0.348368,0.357742,"88,424,851","165,737,643"
"Sep 16, 2019",0.347866,0.372969,0.338893,0.360845,"126,710,229","167,175,473"
"Sep 15, 2019",0.351470,0.355545,0.343878,0.347848,"86,425,671","161,154,033"
"Sep 14, 2019",0.346801,0.356016,0.339782,0.351425,"92,412,954","162,811,135"
"Sep 13, 2019",0.361326,0.366881,0.346573,0.346573,"74,283,810","160,563,387"
"Sep 12, 2019",0.345275,0.364216,0.344250,0.361258,"81,707,045","167,366,735"
"Sep 11, 2019",0.339573,0.348421,0.336967,0.345125,"73,166,027","159,892,565"
"Sep 10, 2019",0.343296,0.345367,0.337752,0.339573,"80,594,257","157,320,426"
"Sep 09, 2019",0.339615,0.347725,0.335921,0.343275,"87,064,894","159,035,274"
"Sep 08, 2019",0.337220,0.342838,0.335264,0.339615,"76,052,649","157,340,059"
"Sep 07, 2019",0.333773,0.340868,0.328782,0.337059,"90,666,551","156,155,722"
"Sep 06, 2019",0.334297,0.341720,0.326643,0.333718,"79,313,324","154,607,865"
"Sep 05, 2019",0.335577,0.338744,0.331365,0.334297,"78,269,712","154,875,985"
"Sep 04, 2019",0.337138,0.338957,0.332554,0.335577,"62,499,856","155,469,163"
"Sep 03, 2019",0.331778,0.343736,0.330289,0.336288,"82,997,284","155,798,242"
"Sep 02, 2019",0.330533,0.333891,0.323239,0.331749,"83,259,090","153,695,594"
"Sep 01, 2019",0.328688,0.331171,0.321113,0.330623,"73,518,208","153,173,926"
"Aug 31, 2019",0.330617,0.331280,0.323393,0.328758,"15,661,178","152,310,103"
"Aug 30, 2019",0.319423,0.337811,0.318977,0.330668,"71,744,279","153,194,856"
"Aug 29, 2019",0.339023,0.341242,0.313455,0.319423,"69,677,572","147,985,307"
"Aug 28, 2019",0.364825,0.374221,0.338538,0.339083,"96,403,396","55,337,991"
"Aug 27, 2019",0.348755,0.381333,0.345450,0.367270,"64,690,183","59,938,041"
"Aug 26, 2019",0.339504,0.364947,0.338258,0.348752,"72,959,213","56,915,981"
"Aug 25, 2019",0.345272,0.346107,0.338436,0.340101,"70,410,403","55,504,148"
"Aug 24, 2019",0.347742,0.349740,0.340781,0.345272,"60,643,878","56,348,044"
"Aug 23, 2019",0.351412,0.352565,0.342116,0.346735,"77,671,844","56,586,750"
"Aug 22, 2019",0.338266,0.354404,0.336224,0.351412,"83,793,855","57,349,971"
"Aug 21, 2019",0.352524,0.355402,0.335692,0.338324,"86,363,735","55,214,144"
"Aug 20, 2019",0.354736,0.357768,0.350061,0.352690,"74,811,936","57,558,514"
"Aug 19, 2019",0.356212,0.358874,0.348806,0.354736,"75,967,195","57,892,467"
"Aug 18, 2019",0.345566,0.360627,0.338534,0.356157,"81,537,387","58,124,434"
"Aug 17, 2019",0.353628,0.358306,0.342937,0.345556,"59,531,588","56,394,330"
"Aug 16, 2019",0.362993,0.364199,0.346554,0.355534,"71,079,330","58,022,659"
"Aug 15, 2019",0.358934,0.366439,0.335428,0.362720,"77,621,065","59,195,508"
"Aug 14, 2019",0.407789,0.408356,0.354050,0.358934,"64,844,982","58,577,584"
"Aug 13, 2019",0.423198,0.439871,0.397769,0.407645,"69,422,041","66,527,172"
"Aug 12, 2019",0.391161,0.437210,0.383367,0.423000,"70,794,316","69,033,125"
"Aug 11, 2019",0.370819,0.397468,0.369564,0.391373,"63,760,272","63,871,684"
"Aug 10, 2019",0.397305,0.400701,0.362822,0.371055,"67,698,123","60,555,763"
"Aug 09, 2019",0.379544,0.409712,0.371055,0.397305,"71,353,655","64,839,658"
"Aug 08, 2019",0.362760,0.383832,0.361017,0.379252,"66,861,244",-
"Aug 07, 2019",0.348677,0.371232,0.346243,0.362760,"57,666,338","198,139,057"
"Aug 06, 2019",0.361098,0.362283,0.345647,0.348697,"58,134,126",-
"Aug 05, 2019",0.353997,0.364116,0.351693,0.360702,"52,544,521",-
"Aug 04, 2019",0.352412,0.357052,0.348536,0.354000,"60,385,519",-
"Aug 03, 2019",0.356585,0.359608,0.348220,0.352386,"71,190,050",-
"Aug 02, 2019",0.347560,0.362101,0.346991,0.354770,"72,672,661",-
"Aug 01, 2019",0.345977,0.355524,0.343907,0.347605,"70,613,917",-
"Jul 31, 2019",0.346424,0.347801,0.342906,0.346196,"70,537,793",-
"Jul 30, 2019",0.345332,0.347029,0.340130,0.346670,"70,742,846",-
"Jul 29, 2019",0.345663,0.348603,0.340161,0.345193,"60,124,240",-
"Jul 28, 2019",0.342692,0.347578,0.337352,0.346067,"55,746,157",-
"Jul 27, 2019",0.346202,0.356599,0.338613,0.342692,"59,362,393",-
"Jul 26, 2019",0.347708,0.350123,0.339270,0.346202,"57,092,997",-
"Jul 25, 2019",0.347826,0.354654,0.345371,0.347721,"52,426,632",-
"Jul 24, 2019",0.343605,0.349961,0.336839,0.347567,"74,130,180",-
"Jul 23, 2019",0.359843,0.362466,0.337244,0.343605,"68,396,481",-
"Jul 22, 2019",0.351936,0.374113,0.346682,0.359820,"77,481,516",-
"Jul 21, 2019",0.355076,0.358927,0.341423,0.351756,"52,415,891",-
"Jul 20, 2019",0.345268,0.361233,0.339519,0.355076,"37,299,561",-
"Jul 19, 2019",0.343433,0.350176,0.336742,0.345349,"39,137,174",-
"Jul 18, 2019",0.338242,0.345023,0.320599,0.343433,"13,659,351",-
"Jul 17, 2019",0.315552,0.340646,0.302434,0.339170,"65,517,779",-
"Jul 16, 2019",0.325448,0.348465,0.312169,0.314335,"48,285,009",-
"Jul 15, 2019",0.314625,0.336771,0.299344,0.325670,"55,710,740",-
"Jul 14, 2019",0.340503,0.341667,0.312933,0.314161,"69,675,517",-
"Jul 13, 2019",0.342695,0.346181,0.330180,0.340699,"68,127,135",-
"Jul 12, 2019",0.328780,0.347799,0.328780,0.342621,"53,526,526",-
"Jul 11, 2019",0.347847,0.348984,0.325297,0.329023,"28,982,729",-
"Jul 10, 2019",0.357139,0.366784,0.339751,0.347928,"51,794,859",-
"Jul 09, 2019",0.361262,0.368669,0.356775,0.357350,"59,284,062",-
"Jul 08, 2019",0.356204,0.362103,0.350483,0.360977,"66,268,397",-
"Jul 07, 2019",0.356297,0.360048,0.348420,0.356251,"65,437,004",-
"Jul 06, 2019",0.351717,0.370533,0.347010,0.356197,"63,012,059",-
"Jul 05, 2019",0.348149,0.356981,0.341491,0.351733,"67,380,097",-
"Jul 04, 2019",0.361418,0.379442,0.344795,0.348169,"64,874,415",-
"Jul 03, 2019",0.361170,0.368000,0.347497,0.361299,"49,253,121",-
"Jul 02, 2019",0.356457,0.367364,0.329635,0.360938,"30,229,462",-
"Jul 01, 2019",0.372727,0.382636,0.344594,0.356632,"40,069,478",-
"Jun 30, 2019",0.402820,0.417912,0.368416,0.372727,"43,763,697",-
"Jun 29, 2019",0.376721,0.408966,0.369074,0.406400,"40,031,072",-
"Jun 28, 2019",0.385265,0.388773,0.354052,0.375974,"8,092,369",-
"Jun 27, 2019",0.326719,0.439125,0.324928,0.385224,"28,633,302",-
"Jun 26, 2019",0.332477,0.346142,0.322715,0.326719,"52,702,753",-
"Jun 25, 2019",0.339038,0.339374,0.328909,0.332477,"47,846,984",-
"Jun 24, 2019",0.334926,0.341324,0.331762,0.339020,"37,697,782",-
"Jun 23, 2019",0.336166,0.350340,0.333123,0.334926,"34,385,225",-
"Jun 22, 2019",0.336123,0.343935,0.333703,0.335641,"55,124,703",-
"Jun 21, 2019",0.331720,0.339870,0.331259,0.336260,"50,025,766",-
"Jun 20, 2019",0.334975,0.336423,0.330116,0.331803,"63,610,434",-
"Jun 19, 2019",0.333357,0.335605,0.330008,0.334418,"48,179,979",-
"Jun 18, 2019",0.342047,0.343212,0.331461,0.333691,"47,679,790",-
"Jun 17, 2019",0.339275,0.346909,0.336966,0.341907,"56,920,113",-
"Jun 16, 2019",0.338537,0.344341,0.336116,0.339275,"62,002,672",-
"Jun 15, 2019",0.338620,0.341453,0.335732,0.338537,"67,786,643",-
"Jun 14, 2019",0.335694,0.341063,0.331010,0.338953,"67,817,399",-
"Jun 13, 2019",0.341497,0.345180,0.333053,0.336110,"63,952,887",-
"Jun 12, 2019",0.336737,0.349510,0.335655,0.343489,"69,542,192",-
"Jun 11, 2019",0.339082,0.353019,0.328531,0.336939,"69,147,383",-
"Jun 10, 2019",0.316755,0.343394,0.312914,0.339087,"77,224,324",-
"Jun 09, 2019",0.323606,0.326498,0.313306,0.316617,"65,497,596",-
"Jun 08, 2019",0.327109,0.327770,0.317960,0.323720,"62,668,112",-
"Jun 07, 2019",0.322745,0.331227,0.320552,0.327127,"63,597,697",-
"Jun 06, 2019",0.324889,0.341341,0.314868,0.323364,"64,915,402",-
"Jun 05, 2019",0.312740,0.331070,0.312740,0.325155,"57,338,634",-
"Jun 04, 2019",0.318898,0.332013,0.303793,0.312740,"49,142,747",-
"Jun 03, 2019",0.333770,0.336645,0.317630,0.318641,"58,101,872",-
"Jun 02, 2019",0.331218,0.338323,0.330261,0.333770,"43,355,278",-
"Jun 01, 2019",0.342857,0.343298,0.330070,0.331218,"45,098,550",-
"May 31, 2019",0.328965,0.344656,0.318795,0.342730,"39,451,670",-
"May 30, 2019",0.343029,0.351703,0.324383,0.328965,"53,062,955",-
"May 29, 2019",0.346945,0.355806,0.332411,0.343029,"60,104,596",-
"May 28, 2019",0.362790,0.366414,0.340746,0.346945,"58,889,653",-
"May 27, 2019",0.346070,0.375856,0.339345,0.363076,"87,259,987",-
"May 26, 2019",0.336794,0.348389,0.324198,0.345911,"79,348,669",-
"May 25, 2019",0.337293,0.358548,0.329830,0.336542,"67,496,199",-
"May 24, 2019",0.306505,0.368625,0.305665,0.337293,"96,678,868",-
"May 23, 2019",0.306057,0.308996,0.299127,0.306470,"56,307,944",-
"May 22, 2019",0.311980,0.316937,0.301736,0.306057,"68,637,121",-
"May 21, 2019",0.305598,0.316319,0.301387,0.311980,"53,189,247",-
"May 20, 2019",0.317508,0.318915,0.297890,0.305565,"57,694,999",-
"May 19, 2019",0.298190,0.323404,0.297410,0.317508,"79,321,233",-
"May 18, 2019",0.299110,0.305705,0.295542,0.299323,"48,117,856",-
"May 17, 2019",0.340127,0.346721,0.292224,0.299110,"41,717,822",-
"May 16, 2019",0.333970,0.355029,0.324874,0.342604,"71,021",-
"May 15, 2019",0.308052,0.339254,0.306514,0.337506,"70,742",-
"May 14, 2019",0.301332,0.310150,0.288441,0.309362,"63,747",-
"May 13, 2019",0.291418,0.304358,0.289594,0.301737,"41,683,070",-
"May 12, 2019",0.302651,0.305050,0.290433,0.291418,"46,237,279",-
"May 11, 2019",0.289952,0.315044,0.288998,0.303504,"65,417,326",-
"May 10, 2019",0.293071,0.296217,0.284963,0.289672,"91,824,539",-
"May 09, 2019",0.302864,0.304690,0.291660,0.293011,"99,650,313",-
"May 08, 2019",0.302887,0.303947,0.298912,0.303032,"95,844,799",-
"May 07, 2019",0.307226,0.311188,0.303480,0.303530,"93,044,533",-
"May 06, 2019",0.306773,0.311440,0.300049,0.307299,"103,685,068",-
