SMI-Family
ISIN;CH0009980894;;;;;;CH0000222130;;;;CH0004147150;CH0004147192;CH0004147242
SYMBOL;SMI ;;;;;;SMIC;;;;SSPRC;SSPRA;SSPRM
NAME;SMI®;;;;;;SMIC;;;;SMI® Current;SMI® Daily;SMI® Monthly
;Price-Index;;;;;;Total-Return;;;;Spread %;aver. Sp. %;aver. Sp. %
YTDPerf.%;-7.200;-7.700;-7.020;-7.460;-7.660;-7.680;-3.990;-4.500;-3.800;-4.260;-50.000;-33.340;-100.000;
Date;Open;Close;High;Low;Bid;Ask;  Open  ; Close  ; High   ;  Low   ;Close;Close;Close
12.10.2018;8702.13;8660.38;8738.78;8660.25;8659.71;8662.47;17804.48;17719.06;17879.48;17718.81;00.03;00.04;00.00;
11.10.2018;8760.52;8639.19;8796.87;8628.65;8637.87;8640.76;17923.95;17675.72;17998.32;17654.15;00.03;00.04;00.00;
10.10.2018;8956.79;8892.88;8992.07;8888.46;8892.07;8895.34;18325.52;18194.77;18397.71;18185.72;00.04;00.03;00.00;
09.10.2018;8956.80;8964.11;8970.35;8888.97;8962.11;8965.32;18325.55;18340.49;18353.26;18186.76;00.04;00.04;00.00;
08.10.2018;9012.67;8964.14;9014.65;8938.48;8962.91;8965.63;18439.85;18340.55;18443.90;18288.06;00.03;00.03;00.00;
05.10.2018;9086.18;9042.08;9100.09;9035.24;9040.38;9043.31;18590.25;18500.03;18618.72;18486.03;00.03;00.03;00.00;
04.10.2018;9150.98;9097.52;9154.59;9076.99;9095.36;9098.62;18722.83;18613.45;18730.21;18571.45;00.04;00.03;00.00;
03.10.2018;9126.31;9175.21;9194.99;9123.48;9174.25;9177.07;18672.35;18772.41;18812.88;18666.57;00.03;00.03;00.00;
02.10.2018;9076.57;9087.32;9090.46;9050.50;9086.04;9089.19;18570.60;18592.58;18599.00;18517.24;00.03;00.03;00.00;
01.10.2018;9094.28;9127.05;9155.65;9084.22;9125.19;9128.17;18606.81;18673.88;18732.38;18586.24;00.03;00.03;00.00;
28.09.2018;9083.39;9087.99;9112.57;9030.32;9086.09;9088.58;18584.55;18593.96;18644.25;18475.95;00.03;00.03;00.03;
27.09.2018;9040.81;9112.22;9123.38;8998.06;9111.11;9114.03;18497.43;18643.54;18666.37;18409.95;00.03;00.03;00.00;
26.09.2018;9005.79;9080.14;9083.08;8990.95;9078.21;9080.93;18425.77;18577.90;18583.91;18395.41;00.03;00.03;00.00;
25.09.2018;8959.22;9021.61;9031.26;8954.96;9020.17;9022.88;18330.49;18458.14;18477.89;18321.79;00.03;00.03;00.00;
24.09.2018;8986.91;8946.22;8993.78;8933.20;8945.06;8948.00;18387.15;18303.89;18401.20;18277.25;00.03;00.03;00.00;
21.09.2018;9049.60;8995.38;9059.29;8994.30;8994.65;8997.32;18515.40;18404.48;18535.23;18402.27;00.03;00.03;00.00;
20.09.2018;8951.66;9000.81;9006.74;8946.60;8999.72;9002.45;18315.02;18415.59;18427.71;18304.67;00.03;00.03;00.00;
19.09.2018;8927.70;8939.85;8961.03;8905.35;8937.86;8941.11;18266.00;18290.87;18334.19;18220.27;00.04;00.03;00.00;
18.09.2018;8922.97;8915.87;8956.64;8874.45;8913.91;8916.63;18237.11;18222.61;18305.92;18137.94;00.03;00.03;00.00;
17.09.2018;8937.52;8936.71;8960.07;8899.84;8934.94;8937.53;18266.85;18265.20;18312.93;18189.84;00.03;00.03;00.00;
14.09.2018;8982.81;8970.00;8987.19;8942.56;8967.76;8970.99;18359.43;18333.24;18368.37;18277.15;00.04;00.03;00.00;
13.09.2018;8955.69;8960.08;8997.46;8948.69;8958.29;8960.81;18303.99;18312.95;18389.37;18289.67;00.03;00.03;00.00;
12.09.2018;8930.88;8960.13;8983.52;8930.88;8958.90;8961.73;18253.29;18313.05;18360.87;18253.29;00.03;00.03;00.00;
11.09.2018;8942.25;8914.94;8962.65;8888.87;8912.31;8915.11;18276.52;18220.69;18318.21;18167.43;00.03;00.03;00.00;
10.09.2018;8873.72;8930.24;8950.97;8859.28;8928.83;8931.45;18136.45;18251.97;18294.35;18106.95;00.03;00.03;00.00;
07.09.2018;8806.46;8843.11;8849.34;8796.35;8840.53;8843.98;17998.99;18073.90;18086.64;17978.33;00.04;00.03;00.00;
06.09.2018;8837.57;8818.72;8893.35;8816.16;8817.14;8820.10;18062.58;18024.05;18176.57;18018.80;00.03;00.03;00.00;
05.09.2018;8919.58;8868.86;8933.30;8868.86;8867.80;8871.23;18230.19;18126.52;18258.23;18126.52;00.04;00.03;00.00;
04.09.2018;9034.50;8951.89;9047.66;8905.86;8949.37;8952.50;18465.07;18296.23;18491.97;18202.14;00.04;00.03;00.00;
