Date,Open,Close,High,Low
11.10.2019,9913.37,10017.39,10027.87,9906.83
10.10.2019,9832.06,9903.02,9914.56,9796.69
09.10.2019,9792.7,9830.05,9880.68,9777.92
08.10.2019,9904.13,9800.24,9922.37,9779.45
07.10.2019,9849.08,9914.06,9931.13,9829.2
04.10.2019,9793.38,9827.72,9842.2,9749.48
03.10.2019,9762.49,9760.44,9796.5,9682.36
02.10.2019,9930.3,9757.28,9931.6,9753.09
01.10.2019,10101.53,9952.5,10124.22,9928.66
30.09.2019,10028.45,10078.32,10087.85,10012.9
27.09.2019,10055.55,10037.81,10071.46,10020.44
26.09.2019,9907.21,10010.71,10032.69,9906.34
25.09.2019,9926.2,9914.82,9934.98,9837.2
24.09.2019,10019.02,9991.31,10044.86,9977.78
23.09.2019,10046.4,9997.39,10046.84,9957.82
20.09.2019,10114.18,10056.83,10114.18,10056.1
19.09.2019,10022.33,10064.46,10070.64,9993.93
18.09.2019,9982.47,10018.84,10037.97,9982.24
17.09.2019,9960.9,10013.82,10025.02,9944.6
16.09.2019,9965.14,9969.19,10012.66,9964.11
13.09.2019,10130.45,10047.34,10131.13,10033.33
12.09.2019,10105.17,10094.09,10140.93,10057.12
11.09.2019,10064.34,10098.59,10098.93,10041.99
10.09.2019,10024.85,10020.48,10031.5,9956.11
09.09.2019,10093.64,10059.37,10109.29,10050.68
06.09.2019,9993.98,10073.82,10076.47,9983.46
05.09.2019,9942.91,9983.07,10016.27,9897.96
04.09.2019,9934.87,9894.6,9980.14,9893.98
03.09.2019,9886.22,9852.7,9900.88,9829.28
02.09.2019,9903.94,9924.54,9957.15,9894.94
30.08.2019,9868.77,9895.65,9941.33,9861.38
29.08.2019,9736.22,9838.48,9848.71,9728.79
28.08.2019,9761.21,9758.19,9772.71,9670.27
27.08.2019,9707.1,9786.08,9798.18,9685.69
26.08.2019,9724.0,9715.83,9768.35,9658.0
23.08.2019,9842.48,9744.98,9882.25,9735.29
22.08.2019,9827.61,9805.5,9869.79,9774.33
21.08.2019,9782.42,9848.11,9883.08,9782.33
20.08.2019,9817.35,9770.39,9861.87,9768.35
19.08.2019,9783.33,9825.59,9856.33,9771.64
16.08.2019,9637.25,9728.39,9744.46,9630.97
