Date;  Open  ; Close  ; High   ;  Low   
12.10.2018;17804.48;17719.06;17879.48;17718.81
11.10.2018;17923.95;17675.72;17998.32;17654.15
10.10.2018;18325.52;18194.77;18397.71;18185.72
09.10.2018;18325.55;18340.49;18353.26;18186.76
08.10.2018;18439.85;18340.55;18443.9;18288.06
05.10.2018;18590.25;18500.03;18618.72;18486.03
04.10.2018;18722.83;18613.45;18730.21;18571.45
03.10.2018;18672.35;18772.41;18812.88;18666.57
02.10.2018;18570.6;18592.58;18599;18517.24
01.10.2018;18606.81;18673.88;18732.38;18586.24
28.09.2018;18584.55;18593.96;18644.25;18475.95
27.09.2018;18497.43;18643.54;18666.37;18409.95
26.09.2018;18425.77;18577.9;18583.91;18395.41
25.09.2018;18330.49;18458.14;18477.89;18321.79
24.09.2018;18387.15;18303.89;18401.2;18277.25
21.09.2018;18515.4;18404.48;18535.23;18402.27
20.09.2018;18315.02;18415.59;18427.71;18304.67
19.09.2018;18266;18290.87;18334.19;18220.27
18.09.2018;18237.11;18222.61;18305.92;18137.94
17.09.2018;18266.85;18265.2;18312.93;18189.84
14.09.2018;18359.43;18333.24;18368.37;18277.15
13.09.2018;18303.99;18312.95;18389.37;18289.67
12.09.2018;18253.29;18313.05;18360.87;18253.29
11.09.2018;18276.52;18220.69;18318.21;18167.43
10.09.2018;18136.45;18251.97;18294.35;18106.95
07.09.2018;17998.99;18073.9;18086.64;17978.33
06.09.2018;18062.58;18024.05;18176.57;18018.8
05.09.2018;18230.19;18126.52;18258.23;18126.52
04.09.2018;18465.07;18296.23;18491.97;18202.14
03.09.2018;18335.68;18401.65;18401.65;18317.73
31.08.2018;18419.24;18340.52;18419.24;18322.43
30.08.2018;18505.7;18480.52;18528.48;18406.31
29.08.2018;18573.2;18565.9;18575.2;18483.25
28.08.2018;18629.08;18566.77;18630.09;18512.29
27.08.2018;18602.33;18596.27;18615.7;18486.69
24.08.2018;18499.29;18502.67;18549.65;18434.15
23.08.2018;18496.26;18496.17;18546.54;18464.66
22.08.2018;18505.81;18493.06;18552;18455.33
21.08.2018;18461.83;18563.91;18601.81;18446.57
20.08.2018;18458.47;18516.21;18542.58;18416.89
17.08.2018;18437.88;18402.54;18454.1;18315.19
16.08.2018;18340.49;18389.9;18398.92;18292.64
15.08.2018;18407.62;18243.78;18468.33;18194.11
14.08.2018;18523.53;18415.38;18538.47;18326.31
13.08.2018;18382.19;18405.47;18451.59;18314.38
10.08.2018;18591.33;18458.58;18630.89;18429.53
09.08.2018;18712.62;18692.31;18733.68;18656.22
08.08.2018;18755.1;18754.57;18787.12;18680.09
07.08.2018;18725.58;18805.82;18830.31;18704.94
06.08.2018;18734.33;18699.81;18798.89;18651.54
03.08.2018;18729.51;18717.47;18750.71;18654.45
02.08.2018;18656.44;18712.52;18732.3;18631.93
31.07.2018;18730.34;18750.86;18803.15;18702.64
30.07.2018;18702.08;18728.47;18794.72;18688.44
27.07.2018;18716.3;18748.55;18772.29;18685.17
26.07.2018;18631.91;18679.6;18711.73;18595.17
25.07.2018;18391.81;18434.33;18441.81;18368.42
24.07.2018;18293.07;18405.95;18448.05;18286.97
23.07.2018;18286.88;18312.37;18341.5;18232.54
20.07.2018;18290.45;18376.86;18377.56;18227.56
19.07.2018;18227.27;18259.59;18351.45;18220.15
18.07.2018;18142.39;18268.07;18278.54;18135.05
17.07.2018;18044.15;18036.2;18067.53;17949.45
16.07.2018;18084.33;18083.81;18133.31;18019.61
13.07.2018;18049.85;18110.57;18123.03;18036.08
12.07.2018;17807.73;18022.96;18028.31;17755.55
11.07.2018;17779.58;17746.51;17807.48;17676.58
10.07.2018;17921.41;17922.25;17976.1;17881.6
09.07.2018;17833.11;17903.87;17917.47;17810.67
06.07.2018;17775.15;17776.12;17789.31;17679.2
05.07.2018;17709.24;17728.33;17830.39;17686.25
04.07.2018;17590.39;17706.85;17714.18;17583.5
03.07.2018;17498.41;17629.1;17670.35;17459.5
02.07.2018;17432.94;17433.11;17498.62;17388.16
29.06.2018;17498.91;17596.02;17610.03;17460.49
28.06.2018;17306.08;17294.37;17400.54;17190.57
27.06.2018;17301.77;17381.83;17477.14;17112.85
26.06.2018;17347.23;17327.63;17357.8;17247.74
25.06.2018;17475.5;17288.33;17523.26;17277.38
22.06.2018;17315.35;17610.87;17610.87;17308.39
21.06.2018;17519.29;17290.74;17574.68;17279.99
20.06.2018;17380.32;17490.17;17553.26;17374.27
19.06.2018;17284.53;17297.84;17315.15;17217.39
18.06.2018;17596.81;17412.63;17621.61;17348.85
15.06.2018;17750.43;17664.08;17775.41;17642.76
14.06.2018;17566.23;17762.67;17770.41;17504.11
13.06.2018;17687.91;17647.76;17695.44;17614.54
12.06.2018;17672.82;17660.41;17698;17587.05
11.06.2018;17511.24;17625.13;17627.34;17510.63
08.06.2018;17344.36;17397.28;17472.87;17283.75
07.06.2018;17527.05;17471.4;17603.35;17401.31
06.06.2018;17438.07;17464.59;17510.75;17311.62
05.06.2018;17593.66;17450.92;17642.15;17450.92
04.06.2018;17708.12;17647.35;17715.65;17588.71
01.06.2018;17491.87;17614.92;17669.68;17433.55
31.05.2018;17639.61;17284.65;17662.09;17279.19
30.05.2018;17637.9;17533.45;17688.56;17533.45
29.05.2018;17829.47;17653.05;17853.78;17604.07
28.05.2018;17951.14;17935.6;18022.02;17907.97
25.05.2018;17959.74;17897.68;18052.74;17897.68
24.05.2018;17972.67;17921.92;18065.12;17846.28
23.05.2018;18190.44;17970.94;18192.21;17912.89
22.05.2018;18343.91;18259.34;18345.88;18235.31
18.05.2018;18269.95;18268.3;18354.96;18221.92
17.05.2018;18309.91;18366.11;18366.11;18262.29
16.05.2018;18365.98;18336.58;18395.67;18290.41
15.05.2018;18363.03;18378.15;18423.25;18316.21
14.05.2018;18411.47;18391.78;18442.84;18348.89
11.05.2018;18354.11;18376.7;18394.36;18318.27
09.05.2018;18299.03;18338.91;18338.91;18220.7
08.05.2018;18247.67;18258.89;18311.51;18195.26
07.05.2018;18154.21;18323.83;18325.69;18153.32
04.05.2018;18039.13;18122.83;18126.96;18001.32
03.05.2018;18047.77;17985.27;18152.14;17981.19
02.05.2018;18063.54;18095.09;18103.74;18018.2
30.04.2018;17979.81;18074.71;18103.87;17974.21
27.04.2018;17976.9;17986.76;17999.95;17914.15
26.04.2018;17764.96;17970.5;17974.19;17747.06
25.04.2018;17855.52;17770.29;17881.91;17668.02
24.04.2018;17891.95;17875.81;17957.91;17817.29
23.04.2018;17815.33;17865.36;17866.86;17721.95
20.04.2018;17904.28;17867.73;17937.36;17822.42
19.04.2018;17999.89;17919.22;17999.89;17852.21
18.04.2018;17915.66;17912.02;18052.44;17862.65
17.04.2018;17701.09;17888;17912.37;17700.04
16.04.2018;17770.93;17698.38;17788.62;17623.46
13.04.2018;17695.64;17698.56;17742.25;17631.62
12.04.2018;17588.29;17689.75;17713.53;17513.24
11.04.2018;17628.71;17556.04;17638.42;17530.94
10.04.2018;17602.46;17651.06;17653.63;17545.76
09.04.2018;17528.47;17512.99;17632.31;17458.37
06.04.2018;17505.8;17480.65;17592.63;17469.8
05.04.2018;17426.3;17555.02;17555.02;17352.84
04.04.2018;17323.49;17175.69;17326.94;17110.89
03.04.2018;17407.98;17303.84;17424.52;17267.09
29.03.2018;17576.06;17524.46;17602.75;17471.92
28.03.2018;17174.34;17554.83;17554.83;17086.11
27.03.2018;17284.37;17318.85;17363.54;17228.57
26.03.2018;17249.15;17059.96;17378.17;17043.68
23.03.2018;17229.03;17171.09;17311.88;17131.15
22.03.2018;17496.82;17308.94;17529.54;17285.03
21.03.2018;17735.57;17601.16;17759.23;17558.29
20.03.2018;17706.59;17721.09;17721.45;17571.68
19.03.2018;17754.26;17649.06;17791.92;17622.3
16.03.2018;17765.79;17791.66;17838;17747.73
15.03.2018;17735.19;17784.56;17820.67;17646.2
14.03.2018;17668.27;17652.66;17791.42;17626.26
13.03.2018;17836.47;17675.72;17900.54;17645.94
12.03.2018;17839.41;17854.5;17878.7;17778.46
09.03.2018;17685.71;17777.09;17800.94;17674.69
08.03.2018;17493.63;17706.57;17710.12;17492.8
07.03.2018;17393.87;17484.48;17515.09;17335.13
06.03.2018;17602.84;17446.75;17634.44;17446.75
05.03.2018;17058.06;17418.93;17418.93;17054.39
02.03.2018;17247.86;17063.24;17265.63;17032.52
01.03.2018;17558.86;17387.3;17581.09;17352.85
28.02.2018;17718.73;17612.73;17752.39;17612.73
27.02.2018;17908.38;17783.09;17911.2;17734.04
26.02.2018;17754.19;17849.52;17849.52;17724.66
23.02.2018;17696.5;17695.42;17709.02;17595.3
22.02.2018;17662.52;17733.46;17733.46;17598.59
21.02.2018;17709.86;17776.1;17787.43;17602.86
