Rang,Artist,Titel,Eintritt,Wochen,Peak,Punkte,Link
1,DJ Ötzi & Nik P.,Ein Stern (... der deinen Namen trägt),18.02.2007,118,2,8109,/song/DJ-Oetzi-&-Nik-P./Ein-Stern-(...-der-deinen-Namen-traegt)-283118
2,Ed Sheeran,Shape Of You,15.01.2017,93,1,7196,/song/Ed-Sheeran/Shape-Of-You-1622943
3,Luis Fonsi feat. Daddy Yankee,Despacito,22.01.2017,90,1,6854,/song/Luis-Fonsi-feat.-Daddy-Yankee/Despacito-1625640
4,DJ Antoine feat. The Beat Shakers,"""Ma chérie""",06.06.2010,99,2,6745,/song/DJ-Antoine-feat.-The-Beat-Shakers/Ma-cherie-711060
5,Adele,Rolling In The Deep,30.01.2011,93,1,6588,/song/Adele/Rolling-In-The-Deep-767937
6,John Legend,All Of Me,02.02.2014,97,1,6547,/song/John-Legend/All-Of-Me-1183051
7,Amy Macdonald,This Is The Life,23.03.2008,94,2,6125,/song/Amy-Macdonald/This-Is-The-Life-349688
8,The Black Eyed Peas,I Gotta Feeling,19.07.2009,87,1,6085,/song/The-Black-Eyed-Peas/I-Gotta-Feeling-584715
9,Shakira feat. Freshlyground,Waka Waka (This Time For Africa),23.05.2010,86,1,6004,/song/Shakira-feat.-Freshlyground/Waka-Waka-(This-Time-For-Africa)-700659
10,Guru Josh Project,Infinity 2008,28.09.2008,85,2,6001,/song/Guru-Josh-Project/Infinity-2008-484499
11,Klangkarussell,Sonnentanz,26.08.2012,87,3,5893,/song/Klangkarussell/Sonnentanz-1055937
12,Helene Fischer,Atemlos durch die Nacht,20.10.2013,80,2,5842,/song/Helene-Fischer/Atemlos-durch-die-Nacht-1199079
13,Gossip,Heavy Cross,21.06.2009,80,2,5774,/song/Gossip/Heavy-Cross-577299
14,Pharrell Williams,Happy,08.12.2013,80,1,5663,/song/Pharrell-Williams/Happy-1150412
15,Adele,Someone Like You,05.06.2011,95,1,5627,/song/Adele/Someone-Like-You-792468
16,Lady Gaga,Poker Face,11.01.2009,72,1,5562,/song/Lady-Gaga/Poker-Face-500112
17,Timbaland Presents OneRepublic,Apologize,04.11.2007,89,1,5536,/song/Timbaland-Presents-OneRepublic/Apologize-303692
18,Alan Walker,Faded,17.01.2016,86,1,5495,/song/Alan-Walker/Faded-1505014
19,Passenger,Let Her Go,03.03.2013,88,1,5365,/song/Passenger/Let-Her-Go-995382
20,Baschi,Bring en hei,28.05.2006,100,1,5356,/song/Baschi/Bring-en-hei-193080
21,David Guetta feat. Akon,Sexy Bitch,09.08.2009,77,2,5286,/song/David-Guetta-feat.-Akon/Sexy-Bitch-600196
22,Amy Winehouse,Rehab,18.03.2007,88,11,5213,/song/Amy-Winehouse/Rehab-253041
23,Major Lazer & DJ Snake feat. MØ,Lean On,29.03.2015,65,1,5158,/song/Major-Lazer-&-DJ-Snake-feat.-MOe/Lean-On-1397528
24,Lilly Wood & The Prick and Robin Schulz,Prayer In C (Robin Schulz Remix),15.06.2014,68,1,5156,/song/Lilly-Wood-&-The-Prick-and-Robin-Schulz/Prayer-In-C-(Robin-Schulz-Remix)-1291808
25,Ed Sheeran,Perfect,12.03.2017,57,1,5114,/song/Ed-Sheeran/Perfect-1637377
26,James Blunt,You're Beautiful,21.08.2005,97,2,5057,/song/James-Blunt/You're-Beautiful-115872
27,Mika,Relax (Take It Easy),04.03.2007,75,2,4969,/song/Mika/Relax-(Take-It-Easy)-267008
28,77 Bombay Street,Up In The Sky,24.04.2011,82,7,4955,/song/77-Bombay-Street/Up-In-The-Sky-804259
29,Avicii,Wake Me Up!,30.06.2013,68,1,4894,/song/Avicii/Wake-Me-Up!-1150611
30,Hozier,Take Me To Church,28.09.2014,68,1,4858,/song/Hozier/Take-Me-To-Church-1200169
31,Enrique Iglesias feat. Descemer Bueno / Gente De Zona,Bailando,11.05.2014,73,4,4836,/song/Enrique-Iglesias-feat.-Descemer-Bueno-_-Gente-De-Zona/Bailando-1263049
32,Ed Sheeran,Thinking Out Loud,02.11.2014,72,3,4835,/song/Ed-Sheeran/Thinking-Out-Loud-1293051
33,Ed Sheeran,I See Fire,29.12.2013,67,2,4754,/song/Ed-Sheeran/I-See-Fire-1212462
34,Stromae,Alors on danse,21.02.2010,69,1,4709,/song/Stromae/Alors-on-danse-604548
35,Juanes,La camisa negra,07.08.2005,70,1,4702,/song/Juanes/La-camisa-negra-59916
36,Sia,Chandelier,25.05.2014,63,2,4683,/song/Sia/Chandelier-1264547
37,Unheilig,Geboren um zu leben,28.02.2010,84,13,4678,/song/Unheilig/Geboren-um-zu-leben-665166
38,Scorpions,Wind Of Change,17.02.1991,52,1,4672,/song/Scorpions/Wind-Of-Change-2226
39,Ed Sheeran,Photograph,07.06.2015,80,4,4671,/song/Ed-Sheeran/Photograph-1303542
40,Wham!,Last Christmas,13.01.1985,78,4,4669,/song/Wham!/Last-Christmas-1203
41,Nicky Jam & Enrique Iglesias,El perdón,05.04.2015,64,1,4646,/song/Nicky-Jam-&-Enrique-Iglesias/El-perdon-1390595
42,Duffy,Mercy,02.03.2008,65,1,4641,/song/Duffy/Mercy-412430
43,David Guetta feat. Sia,Titanium,21.08.2011,76,9,4616,/song/David-Guetta-feat.-Sia/Titanium-880643
44,Jay-Z + Alicia Keys,Empire State Of Mind,27.09.2009,69,4,4585,/song/Jay-Z-and-Alicia-Keys/Empire-State-Of-Mind-618347
45,Alizée,Moi... Lolita,06.08.2000,73,11,4574,/song/Alizee/Moi...-Lolita-4377
46,Sia,Cheap Thrills,27.12.2015,62,2,4569,/song/Sia/Cheap-Thrills-1505888
47,Bligg,Rosalie,26.10.2008,67,5,4539,/song/Bligg/Rosalie-515997
48,Coldplay,Viva la vida,20.07.2008,76,5,4534,/song/Coldplay/Viva-la-vida-464829
49,Aventura,Obsesión,14.12.2003,65,1,4528,/song/Aventura/Obsesion-5910
50,K-Maro,Femme Like U (Donne-moi ton corps),04.07.2004,59,1,4521,/song/K-Maro/Femme-Like-U-(Donne-moi-ton-corps)-6187
51,Rag'n'Bone Man,Human,14.08.2016,71,1,4513,/song/Rag'n'Bone-Man/Human-1572490
52,"Bob Sinclar presents Goleo VI feat. Gary ""Nesta"" Pine",Love Generation,11.12.2005,78,2,4500,/song/Bob-Sinclar-presents-Goleo-VI-feat.-Gary-Nesta-Pine/Love-Generation-142202
53,Mark Ronson feat. Bruno Mars,Uptown Funk!,23.11.2014,65,2,4498,/song/Mark-Ronson-feat.-Bruno-Mars/Uptown-Funk!-1355997
54,Madonna,Hung Up,20.11.2005,99,1,4462,/song/Madonna/Hung-Up-141765
55,Sam Smith,Stay With Me,18.05.2014,62,6,4448,/song/Sam-Smith/Stay-With-Me-1268761
56,Jason Mraz,I'm Yours,25.05.2008,70,6,4443,/song/Jason-Mraz/I'm-Yours-438612
57,James Arthur,Impossible,06.01.2013,63,2,4433,/song/James-Arthur/Impossible-1093567
58,Lady Gaga feat. Colby O'Donis,Just Dance,10.08.2008,56,8,4404,/song/Lady-Gaga-feat.-Colby-O'Donis/Just-Dance-481954
59,David Guetta feat. Kelly Rowland,When Love Takes Over,10.05.2009,55,1,4389,/song/David-Guetta-feat.-Kelly-Rowland/When-Love-Takes-Over-576092
60,Coldplay,Hymn For The Weekend,13.12.2015,71,7,4339,/song/Coldplay/Hymn-For-The-Weekend-1501295
61,Omi,Cheerleader (Felix Jaehn Remix),08.02.2015,54,1,4307,/song/Omi/Cheerleader-(Felix-Jaehn-Remix)-1347101
62,Nelly Furtado,Say It Right,25.02.2007,65,1,4291,/song/Nelly-Furtado/Say-It-Right-215750
63,Tiziano Ferro,Xdono,30.09.2001,61,4,4290,/song/Tiziano-Ferro/Xdono-4883
64,Israel IZ Kamakawiwo'ole,Over The Rainbow,19.09.2010,68,3,4268,/song/Israel-IZ-Kamakawiwo'ole/Over-The-Rainbow-307004
65,Lucenzo feat. Don Omar,Danza kuduro,29.05.2011,59,1,4248,/song/Lucenzo-feat.-Don-Omar/Danza-kuduro-747644
66,Tom Odell,Another Love,17.02.2013,85,23,4239,/song/Tom-Odell/Another-Love-1084143
67,Stromae,Papaoutai,23.06.2013,58,4,4218,/song/Stromae/Papaoutai-1142159
68,Rihanna feat. Jay-Z,Umbrella,03.06.2007,73,1,4192,/song/Rihanna-feat.-Jay-Z/Umbrella-304531
69,Carly Rae Jepsen,Call Me Maybe,25.03.2012,60,1,4186,/song/Carly-Rae-Jepsen/Call-Me-Maybe-933091
70,Leona Lewis,Bleeding Love,23.12.2007,65,1,4173,/song/Leona-Lewis/Bleeding-Love-364693
71,Imagine Dragons,Believer,12.02.2017,67,6,4166,/song/Imagine-Dragons/Believer-1630609
72,Milky Chance,Stolen Dance,27.10.2013,60,1,4158,/song/Milky-Chance/Stolen-Dance-1165713
73,Snow Patrol,Chasing Cars,26.11.2006,106,4,4158,/song/Snow-Patrol/Chasing-Cars-207283
74,Adele,Set Fire To The Rain,13.02.2011,57,4,4152,/song/Adele/Set-Fire-To-The-Rain-792463
75,Lost Frequencies,Are You With Me,08.02.2015,56,1,4150,/song/Lost-Frequencies/Are-You-With-Me-1328482
76,DJ BoBo,Somebody Dance With Me,10.01.1993,48,1,4131,/song/DJ-BoBo/Somebody-Dance-With-Me-2561
77,Lykke Li,I Follow Rivers,01.04.2012,61,2,4121,/song/Lykke-Li/I-Follow-Rivers-789346
78,Leona Lewis,Run,14.12.2008,72,2,4113,/song/Leona-Lewis/Run-425610
79,DJ Antoine vs. Timati feat. Kalenna,Welcome To St. Tropez,17.04.2011,53,2,4088,/song/DJ-Antoine-vs.-Timati-feat.-Kalenna/Welcome-To-St.-Tropez-818044
80,David Guetta feat. Chris Willis,Love Is Gone,13.05.2007,75,11,4055,/song/David-Guetta-feat.-Chris-Willis/Love-Is-Gone-308807
81,Daft Punk feat. Pharrell Williams,Get Lucky,05.05.2013,56,1,4044,/song/Daft-Punk-feat.-Pharrell-Williams/Get-Lucky-1132834
82,Kygo feat. Parson James,Stole The Show,05.04.2015,56,3,4028,/song/Kygo-feat.-Parson-James/Stole-The-Show-1405008
83,Amy Macdonald,Mr Rock & Roll,17.02.2008,65,3,4017,/song/Amy-Macdonald/Mr-Rock-&-Roll-349686
