Rang,Artist,Titel,Eintritt,Wochen,Peak,Punkte,Link,Songtext
1,DJ Ötzi & Nik P.,Ein Stern (... der deinen Namen trägt),18.02.2007,118,2,8109,/song/DJ-Oetzi-&-Nik-P./Ein-Stern-(...-der-deinen-Namen-traegt)-283118,"Einen Stern, der deinen Namen trägt
Hoch am Himmelszelt
Den schenk ich Dir heut' Nacht
Einen Stern, der deinen Namen trägt
Alle Zeiten überlebt
Und über unsere Liebe wacht

Seit Jahren schon leb ich mit Dir
Und ich danke Gott dafür
dass er mir Dich gegeben hat
Als Erinnerung an unser Leben
Möchte ich Dir heut' etwas geben
Ein Geschenk für alle Ewigkeit

Einen Stern, der deinen Namen trägt
Hoch am Himmelszelt
Den schenk ich Dir heut' Nacht
Einen Stern, der deinen Namen trägt
Alle Zeiten überlebt
Und über unsere Liebe wacht

Irgendwann ist es vorbei
Und im Himmel wird Platz für uns zwei
Doch Dein Stern bleibt oben für immer und ewig stehn
Und auch noch in 1000 Jahren
Wird er deinen Namen tragen
Und immer noch der schönste von allen sein

Einen Stern, der deinen Namen trägt
Hoch am Himmelszelt
Den schenk ich Dir heut' Nacht
Einen Stern, der deinen Namen trägt
Alle Zeiten überlebt
Und über unsere Liebe wacht

Fünf, Vier, Drei, Zwo, Eins, Zero

Einen Stern, der deinen Namen trägt
Hoch am Himmelszelt
Den schenk ich Dir heut' Nacht (Einen Stern)
Einen Stern, der deinen Namen trägt
Alle Zeiten überlebt
Und über unsere Liebe wacht
(Einen Stern, einen Stern)"
2,Ed Sheeran,Shape Of You,15.01.2017,93,1,7196,/song/Ed-Sheeran/Shape-Of-You-1622943,"The club isn't the best place to find a lover
So the bar is where I go
Me and my friends at the table doing shots
Drinking fast and then we talk slow

Come over and start up a conversation with just me
And trust me, I'll give it a chance
Now take my hand, stop, put Van The Man on the jukebox
And then we start to dance

Say: Boy, let's not talk too much
Grab on my waist and put that body on me
Come on now, follow my lead
Come, come on now, follow my lead

I'm in love
I'm in love
I'm in love
I'm in love shape of dance
I'm in love
dance
I'm in love
I'm in love in the shape of...

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
And last night you were in my room
And now my bedsheets smell like you
Every day discovering something brand new
I'm in love with your body
I'm in love with your body
Every day discovering something brand new

I'm in love with the shape of you
I'm in love
I'm in love
I'm in love
I'm in love shape of dance
I'm in love
dance
I'm in love
I' m in love in the shape of...

One week in we let the story begin
We're going out on our first date
You and me are thrifty, so go all you can eat
Fill up your bag and I fill up a plate

We talk for hours and hours about the sweet and the sour
And how your family is doing okay
Leave and get in a taxi, then kiss in the backseat
Tell the driver make the radio play

Say: Boy, let's not talk too much
Grab on my waist and put that body on me
Come on now, follow my lead
Come, come on now, follow my lead

I'm in love
I'm in love
I'm in lo-lo-love
I'm in love shape of
dance
I'm in love
dance
I'm in love with the shape of you
I'm in lo-lo-love
dance
I'm in love with the shape of you

I'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
Dance
And last night you were in my room
And now my bedsheets smell like you
Every day discovering something brand new
Dance
I'm in love
I'm in love

Dance

Dance
I'm in love in the shape of..."
3,Luis Fonsi feat. Daddy Yankee,Despacito,22.01.2017,90,1,6854,/song/Luis-Fonsi-feat.-Daddy-Yankee/Despacito-1625640,"Ay
Fonsi, DY
Oh, oh no, oh no (ey)
Hey, yeah, diri-diri-diriridi, Daddy, go!

Sí, sabes que ya llevo un rato mirándote
Tengo que bailar contigo hoy (DY)
Vi que tu mirada ya estaba llamándome
Muéstrame el camino, que yo voy (oh)

Tú, tú eres el imán y yo soy el metal
Me voy acercando y voy armando el plan
Sólo con pensarlo se acelera el pulso (oh, yeah)

Ya, ya me estás gustando más de lo normal
Todos mis sentidos van pidiendo más
Esto hay que tomarlo sin ningún apuro

Despacito
Quiero respirar tu cuello despacito
Deja que te diga cosas al oído
Para que te acuerdes si no estás conmigo

Despacito
Quiero desnudarte a besos despacito
Firmar las paredes de tu laberinto
Y hacer de tu cuerpo todo un manuscrito (sube, sube, sube)
Sube, sube (oh)

Quiero ver bailar tu pelo, quiero ser tu ritmo
Que le enseñes a mi boca tus lugares favoritos
(Favoritos, favoritos, baby)
Déjame sobrepasar tus zonas de peligro
Hasta provocar tus gritos y que olvides tu apellido

Si te pido un beso, ven, dámelo
Yo sé que estás pensándolo
Llevo tiempo intentándolo
Mami, esto es dando y dándolo

Sabes que tu corazón conmigo te hace ""bam-bam""
Sabes que esa beba está buscando de mi ""bam-bam""

Ven, prueba de mi boca para ver cómo te sabe
Quiero, quiero, quiero ver cuánto amor a ti te cabe
Yo no tengo prisa, yo me quiero dar el viaje
Empezamos lento, después salvaje

Pasito a pasito, suave, suavecito
Nos vamos pegando poquito a poquito
Cuando tú me besas con esa destreza
Veo que eres malicia con delicadeza

Pasito a pasito, suave, suavecito
Nos vamos pegando poquito a poquito
Y es que esa belleza es un rompecabezas
Pero pa' montarlo, aquí tengo la pieza, oye

Despacito
Quiero respirar tu cuello despacito
Deja que te diga cosas al oído
Para que te acuerdes si no estás conmigo

Despacito
Quiero desnudarte a besos despacito
Firmar las paredes de tu laberinto
Y hacer de tu cuerpo todo un manuscrito (sube, sube, sube)
Sube, sube (oh)

Quiero ver bailar tu pelo, quiero ser tu ritmo
Que le enseñes a mi boca tus lugares favoritos
(Favoritos, favoritos, baby)
Déjame sobrepasar tus zonas de peligro
Hasta provocar tus gritos y que olvides tu apellido

Despacito
Vamo' a hacerlo en una playa en Puerto Rico
Hasta que las olas griten: ""¡Ay, Bendito!""
Para que mi sello se quede contigo (báilalo)

Pasito a pasito, suave, suavecito
Nos vamos pegando poquito a poquito
Que le enseñes a mi boca tus lugares favoritos
(Favoritos, favoritos, baby)

Pasito a pasito, suave, suavecito
Nos vamos pegando poquito a poquito
Hasta provocar tus gritos y que olvides tu apellido
Despacito"
4,DJ Antoine feat. The Beat Shakers,"""Ma chérie""",06.06.2010,99,2,6745,/song/DJ-Antoine-feat.-The-Beat-Shakers/Ma-cherie-711060,"When I look into your eyes
I see rainbows in the skies.
Baby when you're close to me
I know you are ma cherie.

We are gonna dance into the sea
All I want is you - you're ma cherie
Never seen a girl that 's so jolie
All I want is you - you're ma cherie

Ma cherie,

Take my hand and come with me.

We don 't need to run or hide
I'll be there to hold you tight
You and me, we are on fire
Ma cherie, you're my desire

We are gonna dance into the sea
All I want is you - you're ma cherie
Never seen a girl that 's so jolie
All I want is you - you're ma cherie

I will take you higher x4

You 're my love, you 're ma cherie."
5,Adele,Rolling In The Deep,30.01.2011,93,1,6588,/song/Adele/Rolling-In-The-Deep-767937,"There's a fire starting in my heart
Reaching a fever pitch and it's bring me out the dark
Finally, I can see you crystal clear
Go ahead and sell me out and I'll lay your ship bare

See how I'll leave with every piece of you
Don't underestimate the things that I will do
There's a fire starting in my heart
Reaching a fever pitch and it's bring me out the dark

The scars of your love remind me of us
They keep me thinking that we almost had it all
The scars of your love, they leave me breathless
I can't help feeling

We could have had it all
(You're gonna wish you never had met me)
Rolling in the deep
(Tears are gonna fall, rolling in the deep)
You had my heart inside of your hands
(You're gonna wish you never had met me)
And you played it to the beat
(Tears are gonna fall, rolling in the deep)

Baby, I have no story to be told
But I've heard one on you and I'm gonna make your head burn
Think of me in the depths of your despair
Make a home down there as mine sure won't be shared

The scars of your love remind me of us
(You're gonna wish you never had met me)
They keep me thinking that we almost had it all
(Tears are gonna fall, rolling in the deep)
The scars of your love, they leave me breathless
(You're gonna wish you never had met me)
I can't help feeling
(Tears are gonna fall, rolling in the deep)

We could have had it all
(You're gonna wish you never had met me)
Rolling in the deep
(Tears are gonna fall, rolling in the deep)
You had my heart inside of your hands
(You're gonna wish you never had met me)
And you played it to the beat
(Tears are gonna fall, rolling in the deep)

Could have had it all
Rolling in the deep
You had my heart inside of your hands
But you played it with a beating

Throw your soul through every open door
Count your blessings to find what you look for
Turn my sorrow into treasured gold
You'll pay me back in kind and reap just what you've sown

(You're gonna wish you never had met me)
We could have had it all
(Tears are gonna fall, rolling in the deep)
We could have had it all
(You're gonna wish you never had met me)
It all, it all, it all
(Tears are gonna fall, rolling in the deep)

We could have had it all
(You're gonna wish you never had met me)
Rolling in the deep
(Tears are gonna fall, rolling in the deep)
You had my heart inside of your hands
(You're gonna wish you never had met me)
And you played it to the beat
(Tears are gonna fall, rolling in the deep)
We could have had it all
(You're gonna wish you never had met me)
Rolling in the deep
(Tears are gonna fall, rolling in the deep)
You had my heart inside of your hands
(You're gonna wish you never had met me)
But you played it
You played it
You played it
You played it to the beat."
6,John Legend,All Of Me,02.02.2014,97,1,6547,/song/John-Legend/All-Of-Me-1183051,"What would I do without your smart mouth?
Drawing me in, and you kicking me out
You've got my head spinning, no kidding, I can't pin you down
What's going on in that beautiful mind
I'm on your magical mystery ride
And I'm so dizzy, don't know what hit me, but I'll be alright

My head's under water
But I'm breathing fine
You're crazy and I'm out of my mind

'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginning
Even when I lose I'm winning
'Cause I give you all of me
And you give me all of you, oh oh

How many times do I have to tell you
Even when you're crying you're beautiful too
The world is beating you down, I'm around through every mood
You're my downfall, you're my muse
My worst distraction, my rhythm and blues
I can't stop singing, it's ringing, in my head for you

My head's under water
But I'm breathing fine
You're crazy and I'm out of my mind

'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginning
Even when I lose I'm winning
'Cause I give you all of me
And you give me all of you, oh oh

Give me all of you
Cards on the table, we're both showing hearts
Risking it all, though it's hard

'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginning
Even when I lose I'm winning
'Cause I give you all of me
And you give me all of you

I give you all of me
And you give me all of you, oh oh"
7,Amy Macdonald,This Is The Life,23.03.2008,94,2,6125,/song/Amy-Macdonald/This-Is-The-Life-349688,"Oh the wind whistles down
The cold dark street tonight
And the people they were dancing to the music vibe
And the boys chase the girls with the curls in their hair

While the shy tormented youth sit way over there
And the songs they get louder

Each one better than before

And you're singing the songs
Thinking this is the life
And you wake up in the morning and your head feels twice the size
Where you gonna go? Where you gonna go?
Where you gonna sleep tonight?

And you're singing the songs
Thinking this is the life

And you wake up in the morning and your head feels twice the size
Where you gonna go? Where you gonna go?
Where you gonna sleep tonight?
Where you gonna sleep tonight?
So you're heading down the road in your taxi for four
And you're waiting outside Jimmy's front door
But nobody's in and nobody's home 'til four
So you're sitting there with nothing to do
Talking about Robert Riger and his motley crew
And where you're gonna go and where you're gonna sleep tonight
And you're singing the songs
Thinking this is the life
And you wake up in the morning and your head feels twice the size
Where you gonna go? Where you gonna go?
Where you gonna sleep tonight?
And you're singing the songs
Thinking this is the life
And you wake up in the morning and your head feels twice the size
Where you gonna go? Where you gonna go?
Where you gonna sleep tonight?
Where you gonna sleep tonight?
And you're singing the songs
Thinking this is the life
And you wake up in the morning and your head feels twice the size
Where you gonna go? Where you gonna go?
Where you gonna sleep tonight?
And you're singing the songs
Thinking this is the life
And you wake up in the morning and your head feels twice the size
Where you gonna go? Where you gonna go?
Where you gonna sleep tonight?
And you're singing the songs
Thinking this is the life
And you wake up in the morning and your head feels twice the size
Where you gonna go? Where you gonna go?
Where you gonna sleep tonight?
And you're singing the songs
Thinking this is the life
And you wake up in the morning and your head feels twice the size
Where you gonna go? Where you gonna go?
Where you gonna sleep tonight?
Where you gonna sleep tonight?"
8,The Black Eyed Peas,I Gotta Feeling,19.07.2009,87,1,6085,/song/The-Black-Eyed-Peas/I-Gotta-Feeling-584715,"I gotta feeling
That tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night

A feeling
That tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night

A feeling (Ooo-hoo)
That tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night

A feeling (Ooo-hoo)
That tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night
A feel...

Tonight's the night
Let's live it up
I got my money
Let's spend it up

Go out and smash it
Like, oh my God!
Jump off that sofa
Let's get - get off

I know that we'll have a ball
If we get down and go out
And just lose it all

I feel stressed and
I wanna let it go
Let's go way out spaced out
And losing all control

Fill up my cup
Mazel tov
Look at her dancin'
Just take it... off

Let's paint the town
We'll shut it down
Let's burn the roof
And then we'll do it again

Let's do it, let's do it, let's do it
Let's do it, and do it, and do it
Let's live it up

And do it, and do it, and do it, do it, do it
Let's do it, let's do it, let's do it

'Cause I gotta feeling (Ooo-hoo)
That tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night

A feeling (Ooo-hoo)
That tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night
A feel...

Tonight's the night (Hey!)
Let's live it up (Let's live it up!)
I got my money (I'm paid!)
Let's spend it up (Let's spend it up!)

Go out and smash it (Smash it!)
Like, oh my God! (Like, oh my God!)
Jump off that sofa (Come on!)
Let's get - get off

Fill up my cup (Draaank!)
Mazel tov (L'Chaim!)
Look at her dancing (Move it! Move it!)
Just take it... off

Let's paint the town (Paint the town!)
We'll shut it down (Shut it down!)
Let's burn the roof
And then we'll do it again

Let's do it, let's do it, let's do it (Let's do it!)
Let's do it, and do it (Do it!), and do it
Let's live it up

And do it (Do it!), and do it (And do it!),
and do it (Hey!), do it (Hey!), do it (And do it!)
Let's do it (And do it), let's do it (And do it),
let's do it (Hey!), do it (Hey!), do it (Hey!), do it

Here we come, here we go
We gotta rock (Rock, rock, rock, rock)

Easy come, easy go
Now we on top (Top, top, top, top)

Feel the shot, body rock
Rock it, don't stop (Stop, stop, stop, stop)

Round and round, up and down
Around the clock (Clock, clock, clock, clock)

Monday, Tuesday, Wednesday, and Thursday (Do it!)
Friday, Saturday, Saturday to Sunday (Do it!)

Get-get-get-get-get with us
You know what we say (say)
Party every day
P-p-p-party every day

And I'm feeling (Ooo-hoo)
That tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night

A feeling (Ooo-hoo)
That tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night

Ooo-hoo!"
9,Shakira feat. Freshlyground,Waka Waka (This Time For Africa),23.05.2010,86,1,6004,/song/Shakira-feat.-Freshlyground/Waka-Waka-(This-Time-For-Africa)-700659,"You're a good soldier
Choosing your battles
Pick yourself up
Dust yourself off
And get back in the saddle

You're on the front line
Everyone's watching
You know it's serious
We are getting closer
This isn't over

The pressure is on
You feel it
But you got it all,
Believe it

When you fall
Get up oh, oh
If you fall
Get up eh, eh

Tsamina mina
Zangalewa
Cuz this is Africa

Tzamina mina eh eh
Waka waka eh eh
Tsamina mina Zangalewa
This time for Africa

Listen to your God
This is our motto
Your time to shine
Don't wait in line
Y vamos por todo

People are raising
Their expectations
Go on and feed them
This is your moment
No hesitations

Today's your day,
I feel it
You paved the way,
Believe it

If you get down
Get up oh, oh
When you get down
Get up eh, eh

Tsamina mina
Zangalewa
This time for Africa

Tzamina mina eh eh
Waka waka eh eh
Tsamina mina Zangalewa
Anawa aa

Tzamina mina eh eh
Waka waka eh eh
Tsamina mina Zangalewa
This time for Africa

Abuya lamajoni piki piki mama, one a to z !
Athi susa lamajoni piki piki mama from east to west.
Sathi waka waka ma EH EH !
Waka waka ma EH EH !
Zonk' izizwe mazibuye...
Cos this is Africa

Tzamina mina eh eh
Waka waka eh eh
Tsamina mina Zangalewa
Anawa aa

Tzamina mina eh eh
Waka waka eh eh
Tsamina mina Zangalewa
This time for Africa

Jungo oh, eh eh
Jungo oh, eh eh
Tsamina mina Zangalewa
Anawa aa

Jungo oh, eh eh
Jungo oh, eh eh
Tsamina mina Zangalewa
Anawa aa

This time for Africa
This time for Africa
We are all Africa
We are all Africa"
10,Guru Josh Project,Infinity 2008,28.09.2008,85,2,6001,/song/Guru-Josh-Project/Infinity-2008-484499,"Here's my key
Philosophy
A freak like me
Just needs infinity

Relax
Take your time

And take your time
To trust in me
And you will find
Infinity, infinity

And take your time
To trust in me
And you will find
Infinity, infinity

The time goes by
So naturally
While you'll receive
Infinity

Here's my key
Philosophy
A freak like me
Just needs infinity

Relax
Take your time

And take your time
To trust in me
And you will find
Infinity, infinity
Infinity, infinity
Infinity, infinity

Infinity
And take your time
To trust in me
And you will find
The time goes by
So naturally
While you'll receive
Infinity
Infinity"
