Einheit,Zivilstand,Anzahl,Typ
Schweiz,Ledig,3650651,Land
Schweiz,Verheiratet,3583008,Land
Schweiz,Verwitwet,407408,Land
Schweiz,Geschieden,685622,Land
Zürich,Ledig,666873,Kanton
Zürich,Verheiratet,610396,Kanton
Zürich,Verwitwet,63173,Kanton
Zürich,Geschieden,125889,Kanton
Bezirk Affoltern,Ledig,21785,Bezirk
Bezirk Affoltern,Verheiratet,23865,Bezirk
Bezirk Affoltern,Verwitwet,1875,Bezirk
Bezirk Affoltern,Geschieden,4076,Bezirk
Aeugst am Albis,Ledig,852,Gemeinde
Aeugst am Albis,Verheiratet,908,Gemeinde
Aeugst am Albis,Verwitwet,74,Gemeinde
Aeugst am Albis,Geschieden,147,Gemeinde
Affoltern am Albis,Ledig,5000,Gemeinde
Affoltern am Albis,Verheiratet,5159,Gemeinde
Affoltern am Albis,Verwitwet,545,Gemeinde
Affoltern am Albis,Geschieden,1004,Gemeinde
Bonstetten,Ledig,2336,Gemeinde
Bonstetten,Verheiratet,2452,Gemeinde
Bonstetten,Verwitwet,154,Gemeinde
Bonstetten,Geschieden,383,Gemeinde
Hausen am Albis,Ledig,1433,Gemeinde
Hausen am Albis,Verheiratet,1596,Gemeinde
Hausen am Albis,Verwitwet,131,Gemeinde
Hausen am Albis,Geschieden,317,Gemeinde
Hedingen,Ledig,1559,Gemeinde
Hedingen,Verheiratet,1690,Gemeinde
Hedingen,Verwitwet,117,Gemeinde
Hedingen,Geschieden,294,Gemeinde
Kappel am Albis,Ledig,454,Gemeinde
Kappel am Albis,Verheiratet,460,Gemeinde
Kappel am Albis,Verwitwet,38,Gemeinde
Kappel am Albis,Geschieden,81,Gemeinde
Knonau,Ledig,897,Gemeinde
Knonau,Verheiratet,970,Gemeinde
Knonau,Verwitwet,69,Gemeinde
Knonau,Geschieden,161,Gemeinde
Maschwanden,Ledig,292,Gemeinde
Maschwanden,Verheiratet,279,Gemeinde
Maschwanden,Verwitwet,26,Gemeinde
Maschwanden,Geschieden,44,Gemeinde
Mettmenstetten,Ledig,2016,Gemeinde
Mettmenstetten,Verheiratet,2168,Gemeinde
Mettmenstetten,Verwitwet,130,Gemeinde
Mettmenstetten,Geschieden,355,Gemeinde
Obfelden,Ledig,2091,Gemeinde
Obfelden,Verheiratet,2401,Gemeinde
Obfelden,Verwitwet,185,Gemeinde
Obfelden,Geschieden,332,Gemeinde
Ottenbach,Ledig,1031,Gemeinde
Ottenbach,Verheiratet,1209,Gemeinde
Ottenbach,Verwitwet,87,Gemeinde
Ottenbach,Geschieden,242,Gemeinde
Rifferswil,Ledig,461,Gemeinde
Rifferswil,Verheiratet,486,Gemeinde
Rifferswil,Verwitwet,33,Gemeinde
Rifferswil,Geschieden,77,Gemeinde
Stallikon,Ledig,1410,Gemeinde
Stallikon,Verheiratet,1678,Gemeinde
Stallikon,Verwitwet,92,Gemeinde
Stallikon,Geschieden,275,Gemeinde
Wettswil am Albis,Ledig,1953,Gemeinde
Wettswil am Albis,Verheiratet,2409,Gemeinde
Wettswil am Albis,Verwitwet,194,Gemeinde
Wettswil am Albis,Geschieden,364,Gemeinde
Bezirk Andelfingen,Ledig,12775,Bezirk
Bezirk Andelfingen,Verheiratet,14472,Bezirk
Bezirk Andelfingen,Verwitwet,1320,Bezirk
Bezirk Andelfingen,Geschieden,2318,Bezirk
Adlikon,Ledig,271,Gemeinde
Adlikon,Verheiratet,317,Gemeinde
Adlikon,Verwitwet,30,Gemeinde
Adlikon,Geschieden,44,Gemeinde
Benken (ZH),Ledig,359,Gemeinde
Benken (ZH),Verheiratet,378,Gemeinde
Benken (ZH),Verwitwet,36,Gemeinde
Benken (ZH),Geschieden,87,Gemeinde
Berg am Irchel,Ledig,213,Gemeinde
Berg am Irchel,Verheiratet,291,Gemeinde
Berg am Irchel,Verwitwet,21,Gemeinde
Berg am Irchel,Geschieden,48,Gemeinde
Buch am Irchel,Ledig,435,Gemeinde
Buch am Irchel,Verheiratet,437,Gemeinde
Buch am Irchel,Verwitwet,25,Gemeinde
Buch am Irchel,Geschieden,69,Gemeinde
Dachsen,Ledig,810,Gemeinde
Dachsen,Verheiratet,967,Gemeinde
Dachsen,Verwitwet,74,Gemeinde
Dachsen,Geschieden,137,Gemeinde
Dorf,Ledig,243,Gemeinde
Dorf,Verheiratet,337,Gemeinde
Dorf,Verwitwet,15,Gemeinde
Dorf,Geschieden,29,Gemeinde
Feuerthalen,Ledig,1497,Gemeinde
Feuerthalen,Verheiratet,1597,Gemeinde
Feuerthalen,Verwitwet,187,Gemeinde
Feuerthalen,Geschieden,286,Gemeinde
Flaach,Ledig,567,Gemeinde
Flaach,Verheiratet,635,Gemeinde
Flaach,Verwitwet,74,Gemeinde
Flaach,Geschieden,82,Gemeinde
Flurlingen,Ledig,626,Gemeinde
Flurlingen,Verheiratet,638,Gemeinde
Flurlingen,Verwitwet,71,Gemeinde
Flurlingen,Geschieden,103,Gemeinde
Andelfingen,Ledig,937,Gemeinde
Andelfingen,Verheiratet,995,Gemeinde
Andelfingen,Verwitwet,88,Gemeinde
Andelfingen,Geschieden,150,Gemeinde
Henggart,Ledig,934,Gemeinde
Henggart,Verheiratet,1088,Gemeinde
Henggart,Verwitwet,76,Gemeinde
Henggart,Geschieden,150,Gemeinde
Humlikon,Ledig,208,Gemeinde
Humlikon,Verheiratet,257,Gemeinde
Humlikon,Verwitwet,18,Gemeinde
Humlikon,Geschieden,21,Gemeinde
Kleinandelfingen,Ledig,846,Gemeinde
Kleinandelfingen,Verheiratet,985,Gemeinde
Kleinandelfingen,Verwitwet,79,Gemeinde
Kleinandelfingen,Geschieden,172,Gemeinde
Laufen-Uhwiesen,Ledig,622,Gemeinde
Laufen-Uhwiesen,Verheiratet,809,Gemeinde
Laufen-Uhwiesen,Verwitwet,85,Gemeinde
Laufen-Uhwiesen,Geschieden,117,Gemeinde
Marthalen,Ledig,814,Gemeinde
Marthalen,Verheiratet,904,Gemeinde
Marthalen,Verwitwet,74,Gemeinde
Marthalen,Geschieden,164,Gemeinde
Oberstammheim,Ledig,482,Gemeinde
Oberstammheim,Verheiratet,545,Gemeinde
Oberstammheim,Verwitwet,59,Gemeinde
Oberstammheim,Geschieden,88,Gemeinde
Ossingen,Ledig,589,Gemeinde
Ossingen,Verheiratet,656,Gemeinde
Ossingen,Verwitwet,58,Gemeinde
Ossingen,Geschieden,123,Gemeinde
Rheinau,Ledig,515,Gemeinde
Rheinau,Verheiratet,611,Gemeinde
Rheinau,Verwitwet,69,Gemeinde
Rheinau,Geschieden,126,Gemeinde
Thalheim an der Thur,Ledig,407,Gemeinde
Thalheim an der Thur,Verheiratet,396,Gemeinde
Thalheim an der Thur,Verwitwet,23,Gemeinde
Thalheim an der Thur,Geschieden,78,Gemeinde
Trüllikon,Ledig,393,Gemeinde
Trüllikon,Verheiratet,496,Gemeinde
Trüllikon,Verwitwet,50,Gemeinde
Trüllikon,Geschieden,76,Gemeinde
Truttikon,Ledig,194,Gemeinde
Truttikon,Verheiratet,226,Gemeinde
Truttikon,Verwitwet,21,Gemeinde
Truttikon,Geschieden,32,Gemeinde
Unterstammheim,Ledig,411,Gemeinde
Unterstammheim,Verheiratet,408,Gemeinde
Unterstammheim,Verwitwet,38,Gemeinde
Unterstammheim,Geschieden,69,Gemeinde
Volken,Ledig,148,Gemeinde
Volken,Verheiratet,164,Gemeinde
Volken,Verwitwet,13,Gemeinde
Volken,Geschieden,14,Gemeinde
Waltalingen,Ledig,254,Gemeinde
Waltalingen,Verheiratet,335,Gemeinde
Waltalingen,Verwitwet,36,Gemeinde
Waltalingen,Geschieden,53,Gemeinde
Bezirk Bülach,Ledig,61969,Bezirk
Bezirk Bülach,Verheiratet,64381,Bezirk
Bezirk Bülach,Verwitwet,5705,Bezirk
Bezirk Bülach,Geschieden,12276,Bezirk
Bachenbülach,Ledig,1648,Gemeinde
Bachenbülach,Verheiratet,1867,Gemeinde
Bachenbülach,Verwitwet,176,Gemeinde
Bachenbülach,Geschieden,342,Gemeinde
Bassersdorf,Ledig,4963,Gemeinde
Bassersdorf,Verheiratet,5277,Gemeinde
Bassersdorf,Verwitwet,389,Gemeinde
Bassersdorf,Geschieden,951,Gemeinde
Bülach,Ledig,8504,Gemeinde
Bülach,Verheiratet,8456,Gemeinde
Bülach,Verwitwet,804,Gemeinde
Bülach,Geschieden,1628,Gemeinde
Dietlikon,Ledig,3178,Gemeinde
Dietlikon,Verheiratet,3450,Gemeinde
Dietlikon,Verwitwet,350,Gemeinde
Dietlikon,Geschieden,647,Gemeinde
Eglisau,Ledig,2078,Gemeinde
Eglisau,Verheiratet,2436,Gemeinde
Eglisau,Verwitwet,178,Gemeinde
Eglisau,Geschieden,332,Gemeinde
Embrach,Ledig,3849,Gemeinde
Embrach,Verheiratet,4166,Gemeinde
Embrach,Verwitwet,349,Gemeinde
Embrach,Geschieden,775,Gemeinde
Freienstein-Teufen,Ledig,907,Gemeinde
Freienstein-Teufen,Verheiratet,1142,Gemeinde
Freienstein-Teufen,Verwitwet,72,Gemeinde
Freienstein-Teufen,Geschieden,183,Gemeinde
Glattfelden,Ledig,2153,Gemeinde
Glattfelden,Verheiratet,2224,Gemeinde
Glattfelden,Verwitwet,178,Gemeinde
Glattfelden,Geschieden,400,Gemeinde
Hochfelden,Ledig,822,Gemeinde
Hochfelden,Verheiratet,978,Gemeinde
Hochfelden,Verwitwet,65,Gemeinde
Hochfelden,Geschieden,129,Gemeinde
Höri,Ledig,1066,Gemeinde
Höri,Verheiratet,1259,Gemeinde
Höri,Verwitwet,114,Gemeinde
Höri,Geschieden,206,Gemeinde
Hüntwangen,Ledig,385,Gemeinde
Hüntwangen,Verheiratet,509,Gemeinde
Hüntwangen,Verwitwet,36,Gemeinde
Hüntwangen,Geschieden,84,Gemeinde
Kloten,Ledig,7935,Gemeinde
Kloten,Verheiratet,7743,Gemeinde
Kloten,Verwitwet,825,Gemeinde
