,Gemeinde,Sachschaden,Personenschaden,Getötete,Schwerverletzte,Leichtverletzte,Anzahl Verletzte
0,Aarberg,26,12,0,2,15,17
1,Aarwangen,10,15,0,2,14,16
2,Adelboden,8,11,1,3,9,12
3,Aefligen,0,0,0,0,0,0
4,Aegerten,3,3,0,0,4,4
5,Aeschi bei Spiez,9,6,0,2,5,7
6,Affoltern im Emmental,3,4,0,0,4,4
7,Alchenstorf,1,1,0,0,2,2
8,Allmendingen,5,3,0,2,1,3
9,Amsoldingen,2,0,0,0,0,0
10,Arch,1,2,0,0,2,2
11,Arni (BE),2,1,0,0,1,1
12,Attiswil,2,1,0,0,1,1
13,Auswil,1,0,0,0,0,0
14,Bannwil,1,1,0,1,0,1
15,Bargen (BE),2,4,0,0,4,4
16,Bäriswil,1,3,0,0,5,5
17,Bätterkinden,4,6,0,0,7,7
18,Beatenberg,4,4,0,0,5,5
19,Bellmund,1,0,0,0,0,0
20,Belp,25,30,0,5,27,32
21,Belprahon,1,0,0,0,0,0
22,Berken,0,1,0,1,0,1
23,Bern,353,345,5,69,333,402
24,Bettenhausen,2,1,0,0,1,1
25,Biel/Bienne,196,201,1,23,193,216
26,Biglen,1,1,0,1,0,1
27,Bleienbach,5,2,0,0,2,2
28,Blumenstein,0,4,0,2,3,5
29,Bolligen,13,7,0,2,5,7
30,Boltigen,14,12,0,5,16,21
31,Bönigen,4,2,0,3,3,6
32,Bowil,2,5,1,2,4,6
33,Bremgarten bei Bern,3,1,0,0,1,1
34,Brenzikofen,1,0,0,0,0,0
35,Brienz (BE),7,6,0,2,6,8
36,Brienzwiler,3,8,1,5,4,9
37,Brügg,16,14,0,1,15,16
38,Brüttelen,0,4,0,3,3,6
39,Buchholterberg,1,2,0,0,8,8
40,Büetigen,2,0,0,0,0,0
41,Bühl,1,1,0,0,1,1
42,Büren an der Aare,4,8,0,1,7,8
43,Burgdorf,48,48,2,7,45,52
44,Burgistein,4,1,0,1,0,1
45,Busswil bei Melchnau,0,0,0,0,0,0
46,Champoz,0,0,0,0,0,0
47,Clavaleyres,0,0,0,0,0,0
48,Corcelles (BE),3,0,0,0,0,0
49,Corgémont,2,5,0,1,4,5
50,Cormoret,3,6,0,1,8,9
51,Cortébert,2,0,0,0,0,0
52,Court,0,3,0,0,3,3
53,Courtelary,4,3,0,3,1,4
54,Crémines,2,3,0,1,2,3
55,Därligen,9,5,0,0,9,9
56,Därstetten,2,0,0,0,0,0
57,Deisswil bei Münchenbuchsee,1,0,0,0,0,0
58,Diemerswil,0,0,0,0,0,0
59,Diemtigen,4,4,0,2,6,8
60,Diessbach bei Büren,2,5,0,1,4,5
61,Dotzigen,6,3,0,1,4,5
62,Dürrenroth,2,1,0,0,1,1
63,Eggiwil,4,4,0,2,7,9
64,Epsach,1,1,0,1,0,1
65,Eriswil,0,2,0,1,1,2
66,Eriz,0,2,0,1,1,2
67,Erlach,1,0,0,0,0,0
68,Erlenbach im Simmental,9,9,0,1,10,11
69,Ersigen,5,1,0,0,2,2
70,Eschert,0,0,0,0,0,0
71,Evilard,3,3,0,1,2,3
72,Fahrni,0,1,0,1,0,1
73,Farnern,0,0,0,0,0,0
74,Ferenbalm,3,4,0,1,3,4
75,Finsterhennen,1,1,0,0,1,1
76,Forst-Längenbühl,0,0,0,0,0,0
77,Fraubrunnen,4,8,0,1,8,9
78,Frauenkappelen,1,1,0,0,1,1
79,Freimettigen,0,0,0,0,0,0
80,Frutigen,17,12,1,5,7,12
81,Gals,4,0,0,0,0,0
82,Gampelen,4,4,0,1,3,4
83,Gerzensee,1,2,0,0,2,2
84,Golaten,0,1,0,0,1,1
