,Addresse,Lat,Lng,Name,Rating
0,"In Gassen 6, 8001 Zürich, Switzerland",47.3707055,8.5407788,Bindella,4.3
1,"Augustinergasse 25, 8001 Zürich, Switzerland",47.3722176,8.5387974,Cantinetta Antinori,4.3
2,"Dufourstrasse 1, 8008 Zürich, Switzerland",47.364525,8.547442799999999,Conti,4.3
3,"Nansenstrasse 9, 8050 Zürich, Switzerland",47.4107103,8.544783899999999,Mamma Mia,3.9
4,"Zeughausstrasse 61, 8004 Zürich, Switzerland",47.3763708,8.5292777,Italia,4.3
5,"Luisenstrasse 40, 8005 Zürich, Switzerland",47.384228,8.530403,Cucina,4.2
6,"Ohmstrasse 11, 8050 Zürich, Switzerland",47.41018520000001,8.545874999999999,Concerto,4.2
7,"Stampfenbachstrasse 8, 8001 Zürich, Switzerland",47.377759,8.543813,Commihalle,4.1
8,"Niederdorfstrasse 33, 8001 Zürich, Switzerland",47.3746714,8.5437078,Tre Cucine,3.8
9,"Waaggasse 5/7, 8001 Zürich, Switzerland",47.3701028,8.5398895,Santa Lucia,4.1
10,"Am Münsterhof, Waaggasse 7, 8001 Zürich, Switzerland",47.3701154,8.5402376,Orsini,4.6
11,"Badenerstrasse 526, 8048 Zürich, Switzerland",47.382678,8.50113,Da Cono,3.9
12,"Mainaustrasse 23, 8008 Zürich, Switzerland",47.3606913,8.5499228,Amalfi,4.3
13,"Waffenplatzstrasse 15, 8002 Zürich, Switzerland",47.361196,8.526721499999999,Don Leone,4.3
14,"Spitalgasse 5, 8001 Zürich, Switzerland",47.3736493,8.5442957,Cicchetteria Da Rosa,4.5
15,"Forchstrasse 2, 8008 Zürich, Switzerland",47.364373,8.554728899999999,Sorrento,4.1
16,"Albisstrasse 25, 8038 Zürich, Switzerland",47.34400249999999,8.5318761,Casa Nostrana,4.7
17,"Mühlebachstrasse 2, 8008 Zürich, Switzerland",47.3659318,8.5489566,Commercio,4.2
18,"Limmatquai 82, 8001 Zürich, Switzerland",47.3735174,8.543035,Bianchi,4.4
19,"Niederdorfstrasse 7, 8001 Zürich, Switzerland",47.3730085,8.5435806,Pulcino,3.9
20,"Niederdorfstrasse 15, 8001 Zürich, Switzerland",47.37350319999999,8.543577599999999,Vallocaia,4.0
21,"Bellerivestrasse 2, 8008 Zürich, Switzerland",47.360935,8.54799,Frascati,3.8
22,"Badenerstrasse 275, 8003 Zürich, Switzerland",47.3761366,8.5146914,Taverne da Angelo,4.4
23,"Stauffacherstrasse 31, 8004 Zürich, Switzerland",47.3735098,8.528681,"Pizzeria Ristorante Molino, Stauffacher",4.1
24,"Niederdorfstrasse 80, 8001 Zürich, Switzerland",47.3760283,8.5441542,La Pasta,4.4
25,"Zentralstrasse 161, 8003 Zürich, Switzerland",47.375878,8.514154999999999,Il Salotto,4.7
26,"Gertrudstrasse 37, 8003 Zürich, Switzerland",47.37339559999999,8.5153012,Da Michelangelo,4.5
27,"Hohlstrasse 449, 8048 Zürich, Switzerland",47.3869398,8.5014775,Da Angela,4.6
28,"Kanzleistrasse 103, 8004 Zürich, Switzerland",47.376152,8.522207,La Baracca,4.4
29,"Kasernenstrasse 77A, 8004 Zürich, Switzerland",47.3760875,8.5338356,Cucina,4.2
30,"Freiestrasse 213, 8032 Zürich, Switzerland",47.360868,8.566563,Antiquario da Marco,4.7
31,"Seestrasse 82, 8002 Zürich, Switzerland",47.3596841,8.5318615,Da Guido,3.9
32,"Forchstrasse 168, 8032 Zürich, Switzerland",47.36020389999999,8.56573,Marcellino,4.8
33,"Seegartenstrasse 14, 8008 Zürich, Switzerland",47.3613908,8.5493898,Latino,4.1
34,"Rudolfstrasse 6, 8008 Zürich, Switzerland",47.357036,8.5575,Gandria,4.9
35,"Hardstrasse 324, 8005 Zürich, Switzerland",47.390332,8.522853,il Gallo,3.9
36,"Seefeldstrasse 124, 8008 Zürich, Switzerland",47.3580483,8.5539008,Ristorante Totò,3.9
37,"Langstrasse 35, 8004 Zürich, Switzerland",47.3758428,8.525040299999999,Celia,4.5
38,"Langstrasse 215, 8005 Zürich, Switzerland",47.383264,8.530178,Cinque,4.2
39,"Nordstrasse 182, 8037 Zürich, Switzerland",47.392419,8.531426,Tre Fratelli,4.5
40,"Weberstrasse 14, 8004 Zürich, Switzerland",47.370916,8.5283277,Il Giglio,4.5
41,"Riedtlistrasse 2, 8006 Zürich, Switzerland",47.3902217,8.5399809,La Casa,4.4
42,"St. Jakobstrasse 6, 8004 Zürich, Switzerland",47.37371359999999,8.528062799999999,Cooperativo,4.0
43,"Sternenstrasse 11, 8002 Zürich, Switzerland",47.360042,8.5340113,L'altro,4.5
44,"Schaffhauserstrasse 113, 8057 Zürich, Switzerland",47.3958005,8.5399463,Pizzeria da Amici,4.0
45,"Dufourstrasse 161, 8008 Zürich, Switzerland",47.35496,8.55498,Riviera Enoteca con Cucina,4.7
46,"Birmensdorferstrasse 320, 8055 Zürich, Switzerland",47.3699041,8.5083764,Santa Lucia Wiedikon,4.1
47,"Badenerstrasse 663, 8048 Zürich, Switzerland",47.3872544,8.4876144,Ristorante La Taverna,4.5
48,"Fröhlichstrasse 37, 8008 Zürich, Switzerland",47.3545569,8.5560481,Miracle,4.6
49,"Rotwandstrasse 49, 8004 Zürich, Switzerland",47.3755142,8.528422599999999,L'Osteria Mamma Leone,4.4
50,"Eichstrasse 29, 8045 Zürich, Switzerland",47.3625272,8.5192787,Mezzo,4.1
51,"Seefeldstrasse 273, 8008 Zürich, Switzerland",47.3488968,8.5633246,La Zagra,4.4
52,"Löwenstrasse 61, 8001 Zürich, Switzerland",47.3769637,8.5379997,Spiga,4.1
53,"Marktgasse 21, 8001 Zürich, Switzerland",47.3722337,8.5437102,Santa Lucia,4.1
54,"Lavaterstrasse 87, 8002 Zürich, Switzerland",47.36025530000001,8.5333044,Il Tartufo,4.3
55,"Schaffhauserstrasse 188, 8057 Zürich, Switzerland",47.4001605,8.5436492,il Postino,3.9
56,"Limmattalstrasse 228, 8049 Zürich, Switzerland",47.40228159999999,8.4951407,Da Biagio,4.4
57,"Hohlstrasse 451, 8048 Zürich, Switzerland",47.38708219999999,8.500952500000002,Azzurro,4.5
58,"Dübendorfstrasse 223, 8051 Zürich, Switzerland",47.400532,8.586083,La Fonte,4.6
59,"Alte Winterthurerstrasse 16, 8304 Wallisellen, Switzerland",47.4145697,8.585656199999999,La Cantinella,4.4
60,"Quai des Bergues 33, 1201 Genève, Switzerland",46.2069972,6.146921799999999,Il Lago,4.5
61,"Rue de la Fontaine 13, 1204 Genève, Switzerland",46.2013855,6.149767799999999,Spaghetti Factory Genève,4.2
62,"Rue Adrien-Lachenal 24a, 1207 Genève, Switzerland",46.1993241,6.1561736,Luigia,4.2
63,"Place de Saint-Gervais 3, 1201 Genève, Switzerland",46.2061174,6.142444299999999,Vapiano,4.0
64,"Place du Molard 7, 1204 Genève, Switzerland",46.2032557,6.1480513,Pizzeria Ristorante Molino,3.8
65,"Rue Muzy 22, 1207 Genève, Switzerland",46.20311539999999,6.157067899999999,Chez Marino,4.5
66,"Rue des Barques 4, 1207 Genève, Switzerland",46.203922,6.155715,La Gondola,4.1
67,"Rue Chaponnière 9, 1201 Genève, Switzerland",46.2096185,6.1448986,Restaurant MILAN,3.9
68,"Rue de la Rôtisserie 2, 1204 Genève, Switzerland",46.2029751,6.1454871,La Romantica,3.9
69,"Rue de la Mairie 5, 1207 Genève, Switzerland",46.203193,6.158078,Restaurant Pizzeria San Marco,4.2
70,"Rue de la Servette 73, 1202 Genève, Switzerland",46.212252,6.132287,Restaurant Pizzeria Il Forno a Legna,4.3
71,"Rue Philippe-Plantamour 18, 1201 Genève, Switzerland",46.2101139,6.1507234,"Il Vero, Restaurant italien",3.8
72,"Rue Jean-Calvin 15, 1204 Genève, Switzerland",46.2018658,6.1472851,La Favola,4.4
73,"Hôtel Métropole Genève, Quai du Général-Guisan 34, 1204 Geneva, Switzerland",46.203376,6.152146,Gusto,3.6
74,"1205, Boulevard du Pont-d'Arve 51, 1205 Genève, Switzerland",46.1942343,6.1409674,Leo's restaurant pizzeria burger,4.1
75,"Avenue des Tilleuls 2, 1203 Genève, Switzerland",46.2058244,6.1310148,Restaurant les Tilleuls,4.2
76,"Rue Pierre-Fatio 10, 1204 Genève, Switzerland",46.2022246,6.153366699999999,Restaurant Roberto,4.2
77,"Rue de Saint-Jean 30, 1203 Genève, Switzerland",46.2044031,6.128712999999999,Restaurant Giardino Romano,4.5
78,"Avenue du Mail 3, 1205 Genève, Switzerland",46.200331,6.1397454,La Pignata,4.2
79,"Rue de Montchoisy 78, 1207 Genève, Switzerland",46.2053234,6.164299199999999,Et Caetera Cafe Restaurant,4.1
80,"Küchengasse 3, 4051 Basel, Switzerland",47.5488379,7.589494800000001,Ristorante Da Roberto,4.2
81,"Falknerstrasse 31, 4001 Basel, Switzerland",47.5555622,7.5893481,Latini,4.2
82,"Steinenvorstadt 71, 4051 Basel, Switzerland",47.551983,7.588115999999999,Pizzeria Molino,4.3
83,"Elsässerstrasse 1, 4056 Basel, Switzerland",47.5670999,7.581165200000001,Da Gianni,4.4
84,"Rheingasse 10, 4058 Basel, Switzerland",47.560272,7.591646799999999,"Restaurant ""Zum Schmale Wurf""",4.1
85,"Aeschenvorstadt 48, 4051 Basel, Switzerland",47.5519524,7.593385899999999,Restaurant Prima,4.1
86,"St. Johanns-Vorstadt 48, 4056 Basel, Switzerland",47.564221,7.584163999999999,Chez Donati,4.5
87,"Birsig-Parkpl. 26, 4051 Basel, Switzerland",47.551728,7.588095900000001,Artigiano Café,4.5
88,"Rheingasse 47, 4058 Basel, Switzerland",47.5592534,7.5933578,Gabri's Pasta,4.7
89,"Auf der Lyss 14, 4051 Basel, Switzerland",47.556333,7.584129,Trattoria aroma,4.5
90,"9, Binningerstrasse, 4051 Basel, Switzerland",47.55058409999999,7.586446100000001,Osteria Little Italy,4.4
91,"Riehenring 79, 4058 Basel, Switzerland",47.564391,7.598342000000001,Roma Messe Pizzeria Restaurant,3.6
92,"Untere Rebgasse 8, 4058 Basel, Switzerland",47.562312,7.592981,Vapiano Claraplatz,4.3
93,"Untere Rebgasse 4, 4058 Basel, Switzerland",47.5621226,7.593233299999999,Detto Pronto AG,3.5
94,"Spalenring 132, 4055 Basel, Switzerland",47.5555165,7.5753847,Restaurant Rossini-Murano,4.0
95,"Theodorsgraben 42, 4058 Basel, Switzerland",47.558949,7.598993999999999,Hotel Restaurant Resslirytti,4.4
96,"Hammerstrasse 15, 4058 Basel, Switzerland",47.560295,7.597747999999999,Restaurant Pizzeria ROMA,4.0
97,"Spalenvorstadt 9, 4051 Basel, Switzerland",47.557045,7.583306899999998,Ristorante Bar Casanova Basel,4.5
98,"Clarastrasse 1, 4058 Basel, Switzerland",47.5620921,7.594750899999998,Restaurant Holzschopf,3.8
99,"Eisengasse 9, 4051 Basel, Switzerland",47.559287,7.588295700000001,Spiga Ristorante,4.1
100,"Steinenring 60, 4051 Basel, Switzerland",47.5504792,7.5807376,La Vela,4.4
101,"Sternengasse 19, 4051 Basel, Switzerland",47.551475,7.592706000000001,Vapiano Basel,4.2
102,"St. Johanns-Vorstadt 29, 4056 Basel, Switzerland",47.5637173,7.584069299999999,Restaurant zur Mägd,4.4
103,"Sattelgasse 3, 4051 Basel, Switzerland",47.5580648,7.587173999999999,Trattoria Antichi Sapori GmbH,4.4
104,"Fabrikstrasse 12, 4056 Basel, Switzerland",47.5737027,7.579353399999999,Osteria Dodici,4.6
105,"Hutgasse 6, 4001 Basel, Switzerland",47.557668,7.587181999999999,Ramazzotti,4.0
106,"Streitgasse 20, 4051 Basel, Switzerland",47.555214,7.5900269,Centro am Barfi,4.1
107,"Steinenvorstadt 1, 4051 Basel, Switzerland",47.5538351,7.589074399999999,Ristorante La Sosta,3.9
108,"Zürcherstrasse 146, 4052 Basel, Switzerland",47.5551509,7.6133807,Steakhouse Albanbrücke,4.5
109,"Steinentorstrasse 25, 4051 Basel, Switzerland",47.5513182,7.588592199999999,Filini Bar & Restaurant,4.2
110,"Weidengasse 19, 4052 Basel, Switzerland",47.55381329999999,7.605564599999999,Restaurant Cibo Mediterraneo,4.5
111,"Basler Str. 6, 79639 Grenzach-Wyhlen, Germany",47.5529746,7.6604769,Drei Könige Italienisches Restaurant,4.2
112,"Elisabethenstrasse 33, 4051 Basel, Switzerland",47.5514142,7.5912378,Grace Restaurant & Lounge Basel,4.0
113,"Güterstrasse 138, 4053 Basel, Switzerland",47.5447321,7.5891816,VITO,4.6
114,"Vogesenstrasse 83, 4056 Basel, Switzerland",47.5673148,7.576624199999999,Mel's Bar & Diner,4.3
115,"Untere Rebgasse 18, 4058 Basel, Switzerland",47.5626992,7.592451000000001,Café Restaurant Damas,4.0
116,"Binningerstrasse 145, 4123 Allschwil, Switzerland",47.5471113,7.5524789,Restaurant Pizzeria Sonneck,4.3
117,"Holzmattenweg 13, 79576 Weil am Rhein, Germany",47.58515,7.60747,"Pizzeria Mooshüsli, Café - Restaurant",3.8
118,"Hauptstraße 160, 79576 Weil am Rhein, Germany",47.59401,7.626419999999999,Galileo`s Restaurant,4.2
119,"Schützengraben 62, 4051 Basel, Switzerland",47.557605,7.581409,Restaurant Apulia,4.4
120,"Horburgstrasse 74, 4057 Basel, Switzerland",47.57053699999999,7.594928999999999,Ristorante Mamma Brunella,4.6
121,"Aeschenpl. 2, 4052 Basel, Switzerland",47.55129280000001,7.5958419,Pattini Tipico Italiano Street Food,5.0
122,"St. Jakobs-Strasse 106, 4132 Muttenz, Switzerland",47.5321132,7.6336564,Restaurant Pizzeria RENNBAHN Muttenz - Italienische & CH-Küche Fleisch Fisch Hauslieferdienst,4.1
123,"Barfüsserpl. 16, 4051 Basel, Switzerland",47.5546962,7.5886941,Restaurant Bodega zum Strauss,4.5
124,"Güterstrasse 183, 4053 Basel, Switzerland",47.5435566,7.592878400000001,5 Signori,4.4
125,"Hardstrasse 2, 4127 Birsfelden, Switzerland",47.5523679,7.623763500000001,Restaurant Pizzeria Feldschlösschen (Feldschlössli),4.0
126,"Offenburgerstrasse 32, 4057 Basel, Switzerland",47.569101,7.588471600000001,Trattoria da Checco e Gio,5.0
127,"Egerstraße 6, 79576 Weil am Rhein, Germany",47.5942642,7.6235419,Pizzeria Casanova,4.1
128,"272 Hauptstraße, 79576 Weil am Rhein, Germany",47.5926668,7.615492199999999,Pizzeria Da Luca,3.5
129,"Allschwilerstrasse 19, 4055 Basel, Switzerland",47.5558237,7.574149899999999,Brause Grill,4.6
130,"St. Jakobs-Strasse 116, 4132 Muttenz, Switzerland",47.5326619,7.6311073,Pizzeria Bianca,4.2
131,"Unterer Rheinweg 28, 4058 Basel, Switzerland",47.5627272,7.58878,Italienische Glace,4.5
132,"Elsässerstrasse 49, 4056 Basel, Switzerland",47.5688063,7.579525599999999,Restaurant Vogesenstube,4.3
133,"Oberbaselweg 6, 79576 Weil am Rhein, Germany",47.59207,7.635008,Restaurant Pizzeria,4.3
134,"Hauptstraße 20, 79639 Grenzach-Wyhlen, Germany",47.5418522,7.6631786,Bella Italia,4.4
135,"Lehenmattstrasse 260, 4052 Basel, Switzerland",47.5472247,7.6208532,Fresco Pizza Kurier,3.1
136,"Schützenmattstrasse 30, 4051 Basel, Switzerland",47.5556578,7.580476699999999,Pizzeria Zum Schützen,2.8
137,"47 Reinacherstrasse Münchenstein, 4142, Switzerland",47.52487259999999,7.604690700000001,Pizza Melsa Münchenstein,4.4
138,"Bahnhofstrasse 26, 4106 Therwil, Switzerland",47.499066,7.555877,Restaurant Toscana,4.3
139,"Birskopfweglein 7, 4052 Basel, Switzerland",47.557025,7.617293000000001,Veranda Pellicanò,4.1
140,"Murtenstrasse 2, 3008 Bern, Switzerland",46.9483117,7.4283343,Ristorante Azzurro,4.5
141,"Gerechtigkeitsgasse 7, 3011 Bern, Switzerland",46.9485071,7.455440899999998,Verdi,4.0
142,"Waisenhauspl. 13, 3011 Bern, Switzerland",46.948668,7.443987,"Pizzeria Ristorante Molino, Thurm",4.2
143,"Zeughausgasse 28, 3011 Bern, Switzerland",46.9492746,7.4445961,Ristorante Luce,4.4
144,"Hotelgasse 10, 3011 Bern, Switzerland",46.94756539999999,7.447945399999999,Lorenzini,4.3
145,"Bühlstrasse 57, 3012 Bern, Switzerland",46.95266090000001,7.432231499999999,Casa d'Italia,4.2
146,"Kornhauspl. 7, 3011 Bern, Switzerland",46.94833,7.447761599999999,Spaghetti Factory Chindlifrässer,4.0
147,"Effingerstrasse 14, 3011 Bern, Switzerland",46.9459515,7.4353501,Da Carlo Ristorante & Pizzeria,4.4
148,"Spitalgasse 2, 3011 Bern, Switzerland",46.9483708,7.4434324,Ristorante Da Vinci,3.9
149,"Neubrückstrasse 70, 3012 Bern, Switzerland",46.95710099999999,7.437739000000001,Ristorante Pizzeria La Vita / da Sebastiano,4.2
150,"Waisenhauspl. 28, 3011 Bern, Switzerland",46.949661,7.443979000000001,Il Grissino,4.2
151,"Bärenpl. 7, 3011 Bern, Switzerland",46.9479438,7.443939899999999,Santa Lucia Bern,4.1
152,"Riedbachstrasse 98, 3027 Bern, Switzerland",46.9441375,7.373428499999998,SPIGA Ristorante,3.9
153,"Thunstrasse 93, 3006 Bern, Switzerland",46.9412757,7.4627724,LOCANDA 93,4.2
154,"PostParc Hochhaus, Bogenschützenstrasse 9, 3008 Bern, Switzerland",46.9481435,7.437897200000001,Vapiano Bern,4.1
155,"Landoltstrasse 1, 3007 Bern, Switzerland",46.93729,7.439408999999999,Pizzaiolo Pizza-Kurier,3.6
156,"Bubenbergpl. 8, 3011 Bern, Switzerland",46.947584,7.438199,Cavallo Star,4.0
157,"Turnweg 18, 3013 Bern, Switzerland",46.9584056,7.447750099999999,Restaurant Römer,3.8
158,"Kochergasse 1, 3011 Bern, Switzerland",46.9466949,7.4476773,Restaurant Pizzeria Da Keli,4.2
159,"Bühlstrasse 5, 3012 Bern, Switzerland",46.9491631,7.428567300000001,Ristorante Ambiente Holzofenpizzeria,4.3
160,"Freiburgstrasse 68, 3008 Bern, Switzerland",46.94624899999999,7.417802,Ristorante Pizzeria Settebello,4.6
161,"Belpstrasse 65, 3003 Bern, Switzerland",46.9420333,7.4314482,"Pizzeria Eigerplatz ""Da Nino""",4.7
