Unnamed: 0,Addresse,Lat,Lng,Name,Rating,Points,geometry
0,"In Gassen 6, 8001 Zürich, Switzerland",47.3707055,8.5407788,Bindella,4.3,POINT (8.5407788 47.3707055),POINT (8.5407788 47.3707055)
1,"Augustinergasse 25, 8001 Zürich, Switzerland",47.372217600000006,8.5387974,Cantinetta Antinori,4.3,POINT (8.5387974 47.37221760000001),POINT (8.5387974 47.37221760000001)
2,"Dufourstrasse 1, 8008 Zürich, Switzerland",47.364525,8.547442799999999,Conti,4.3,POINT (8.547442799999999 47.364525),POINT (8.547442799999999 47.364525)
3,"Nansenstrasse 9, 8050 Zürich, Switzerland",47.41071029999999,8.544783899999999,Mamma Mia,3.9,POINT (8.544783899999999 47.41071029999999),POINT (8.544783899999999 47.41071029999999)
4,"Zeughausstrasse 61, 8004 Zürich, Switzerland",47.3763708,8.529277699999998,Italia,4.3,POINT (8.529277699999998 47.3763708),POINT (8.529277699999998 47.3763708)
5,"Luisenstrasse 40, 8005 Zürich, Switzerland",47.384228,8.530403,Cucina,4.2,POINT (8.530403 47.384228),POINT (8.530403 47.384228)
6,"Ohmstrasse 11, 8050 Zürich, Switzerland",47.41018520000001,8.545874999999999,Concerto,4.2,POINT (8.545874999999999 47.41018520000001),POINT (8.545874999999999 47.41018520000001)
7,"Stampfenbachstrasse 8, 8001 Zürich, Switzerland",47.377759000000005,8.543813,Commihalle,4.1,POINT (8.543813 47.377759),POINT (8.543813 47.377759)
8,"Niederdorfstrasse 33, 8001 Zürich, Switzerland",47.3746714,8.543707800000002,Tre Cucine,3.8,POINT (8.543707800000002 47.3746714),POINT (8.543707800000002 47.3746714)
9,"Waaggasse 5/7, 8001 Zürich, Switzerland",47.3701028,8.539889500000001,Santa Lucia,4.1,POINT (8.539889500000001 47.3701028),POINT (8.539889500000001 47.3701028)
10,"Am Münsterhof, Waaggasse 7, 8001 Zürich, Switzerland",47.370115399999996,8.5402376,Orsini,4.6,POINT (8.540237599999999 47.3701154),POINT (8.540237599999999 47.3701154)
11,"Badenerstrasse 526, 8048 Zürich, Switzerland",47.382678000000006,8.50113,Da Cono,3.9,POINT (8.50113 47.38267800000001),POINT (8.50113 47.38267800000001)
12,"Mainaustrasse 23, 8008 Zürich, Switzerland",47.36069129999999,8.549922800000001,Amalfi,4.3,POINT (8.549922800000001 47.36069129999999),POINT (8.549922800000001 47.36069129999999)
