Rubrik,Name,Bank,Vorname,Strasse + Nr,PLZ,Ort,Telefon 1
Bank Sparkasse:,Raiffeisenbank Aadorf Genossenschaft,Raiffeisenbank Aadorf Genossenschaft,,Gemeindepl. 3,8355,Aadorf,* 052 368 00 00
Bank Sparkasse:,Thurgauer Kantonalbank,Thurgauer Kantonalbank,,Morgentalstr. 4,8355,Aadorf,* 0848 11 14 44
Autoleasing:,BANK-now AG Aarau,BANK-now Aarau,,Bahnhofstr. 17,5000,Aarau,058 900 60 30
Autoleasing:,Cembra Money Bank AG,Cembra Money Bank,,Bahnhofstr. 8,5000,Aarau,062 832 30 50
Bank Sparkasse:,Aargauische Kantonalbank Direktion,Aargauische Kantonalbank Direktion,,Bahnhofpl. 1,5000,Aarau,* 062 835 77 77
Bank Sparkasse:,BANK-now AG Aarau,BANK-now Aarau,,Bahnhofstr. 17,5000,Aarau,058 900 60 30
Bank Sparkasse:,Cembra Money Bank AG,Cembra Money Bank,,Bahnhofstr. 8,5000,Aarau,062 832 30 50
Bank Sparkasse:,CREDIT SUISSE AG,CREDIT SUISSE,,Bahnhofstr. 20,5000,Aarau,* 062 836 31 31
Bank Sparkasse:,family-net.ch,family-net.ch,,Kasinostr. 29,5000,Aarau,* 062 837 75 28
Bank Sparkasse:,Migros Bank,Migros Bank,,Bahnhofpl. 4,5000,Aarau,* 0848 84 54 00
Bank Sparkasse:,Neue Aargauer Bank AG,Neue Aargauer Bank,,Bahnhofstr. 49,5000,Aarau,* 062 838 80 80
Bank Sparkasse:,Raiffeisenbank Aarau-Lenzburg,Raiffeisenbank Aarau-Lenzburg,,Kasinostr. 37,5000,Aarau,* 062 888 83 83
Bank Sparkasse:,UBS Switzerland AG,UBS Switzerland,,Bahnhofstr. 61,5000,Aarau,* 062 835 91 91
Bank Sparkasse:,Valiant Bank AG,Valiant Bank,,Laurenzenvorstadt 1,5000,Aarau,* 062 837 80 80
,Bank Coop,Bank Coop,,Hintere Vorstadt 8,5000,Aarau,062 836 40 80
Bankdienstleistung:,BANK-now AG Aarau,BANK-now Aarau,,Bahnhofstr. 17,5000,Aarau,058 900 60 30
,BANK-now AG Aarau,BANK-now Aarau,,Bahnhofstr. 17,5000,Aarau,058 900 60 30
,Cembra Money Bank AG,Cembra Money Bank,,Bahnhofstr. 8,5000,Aarau,062 832 30 50
Finanzierungen:,BANK-now AG Aarau,BANK-now Aarau,,Bahnhofstr. 17,5000,Aarau,058 900 60 30
Finanzierungen:,Cembra Money Bank AG,Cembra Money Bank,,Bahnhofstr. 8,5000,Aarau,062 832 30 50
Kreditinstitute:,BANK-now AG Aarau,BANK-now Aarau,,Bahnhofstr. 17,5000,Aarau,058 900 60 30
Kreditinstitute:,Cembra Money Bank AG,Cembra Money Bank,,Bahnhofstr. 8,5000,Aarau,062 832 30 50
Leasing:,BANK-now AG Aarau,BANK-now Aarau,,Bahnhofstr. 17,5000,Aarau,058 900 60 30
Leasing:,Cembra Money Bank AG,Cembra Money Bank,,Bahnhofstr. 8,5000,Aarau,062 832 30 50
,Migros Bank,Migros Bank,,Bahnhofpl. 4,5000,Aarau,* 0848 84 54 00
,Neue Aargauer Bank AG,Neue Aargauer Bank,,Bahnhofstr. 49,5000,Aarau,* 062 838 80 80
Private Banking:,Valiant Bank AG,Valiant Bank,,Laurenzenvorstadt 1,5000,Aarau,* 062 837 80 80
Privatkredit:,BANK-now AG Aarau,BANK-now Aarau,,Bahnhofstr. 17,5000,Aarau,058 900 60 30
Privatkredit:,Cembra Money Bank AG,Cembra Money Bank,,Bahnhofstr. 8,5000,Aarau,062 832 30 50
Telli-Einkaufszentrum: Geschäfte:,Neue Aargauer Bank AG,Neue Aargauer Bank,,Tellistr. 67,5004,Aarau,* 062 838 81 81
,Valiant Bank AG,Valiant Bank,,Laurenzenvorstadt 1,5000,Aarau,* 062 837 80 80
Vermögensverwaltung:,Valiant Bank AG,Valiant Bank,,Laurenzenvorstadt 1,5000,Aarau,* 062 837 80 80
Bank Sparkasse:,BEKB | BCBE Aarberg,BEKB | BCBE Aarberg,,Stadtpl. 45,3270,Aarberg,* 032 392 42 14
Bank Sparkasse:,Raiffeisenbank Seeland Genossenschaft,Raiffeisenbank Seeland Genossenschaft,,Stadtpl. 29,3270,Aarberg,032 387 21 21
Bank Sparkasse:,UBS Switzerland AG,UBS Switzerland,,Murtenstr. 3,3270,Aarberg,* 032 391 97 11
,Clientis Bank Oberaargau,Clientis Bank Oberaargau,,Langenthalstr. 33,4912,Aarwangen,* 062 923 50 15
Bank Sparkasse:,Raiffeisenbank Abtwil Genossenschaft,Raiffeisenbank Abtwil Genossenschaft,,Schulhausstr. 2,5646,Abtwil AG,* 041 787 15 17
Bank Sparkasse:,Raiffeisenbank Abtwil-St.Josefen Genossenschaft,Raiffeisenbank Abtwil-St.Josefen Genossenschaft,,Sonnenbergstr. 8,9030,Abtwil SG,* 071 313 80 00
Bank Sparkasse:,BEKB | BCBE Adelboden,BEKB | BCBE Adelboden,,Dorfstr. 31,3715,Adelboden,* 033 673 71 71
Bank Sparkasse:,Raiffeisenbank Frutigland Genossenschaft,Raiffeisenbank Frutigland Genossenschaft,,Landstr. 6B,3715,Adelboden,033 672 42 42
Bank Sparkasse:,Spar- und Leihkasse Frutigen AG,Spar- und Leihkasse Frutigen,,Dorfstr. 30,3715,Adelboden,* 033 672 18 18
Bank Sparkasse:,Raiffeisenbank Adligenswil-Udligenswil-Meggen,Raiffeisenbank Adligenswil-Udligenswil-Meggen,,Dorfstr. 2,6043,Adligenswil,041 375 81 11
Bank Sparkasse:,Bank Thalwil,Bank Thalwil,,Albisstr. 15,8134,Adliswil,* 044 712 60 30
Bank Sparkasse:,Raiffeisenbank Thalwil Genossenschaft,Raiffeisenbank Thalwil Genossenschaft,,Bahnhofpl. 1,8134,Adliswil,* 044 723 80 80
Bank Sparkasse:,UBS Switzerland AG,UBS Switzerland,,Albisstr. 6,8134,Adliswil,* 044 711 14 14
Bank Sparkasse:,Zürcher Kantonalbank,Zürcher Kantonalbank,,Albisstr. 17,8134,Adliswil,* 0844 84 38 23
,Bank Thalwil,Bank Thalwil,,Albisstr. 15,8134,Adliswil,* 044 712 60 30
Bank Sparkasse:,family-net.ch,family-net.ch,,Hauptstr. 70,4147,Aesch BL,* 061 756 56 33
Bank Sparkasse:,Raiffeisenbank Hitzkirchertal Genossenschaft,Raiffeisenbank Hitzkirchertal Genossenschaft,,Kreuzpl.,6287,Aesch LU,* 041 919 61 00
Bank Sparkasse:,Raiffeisenbank Frutigland Genossenschaft,Raiffeisenbank Frutigland Genossenschaft,,Dorfstr. 11,3703,Aeschi b. Spiez,033 672 42 42
Bank Sparkasse:,Spar- und Leihkasse Frutigen AG,Spar- und Leihkasse Frutigen,,Dorfstr.,3703,Aeschi b. Spiez,* 033 672 18 18
Bank Sparkasse:,Raiffeisenbank Aeschi-Buchsi Genossenschaft,Raiffeisenbank Aeschi-Buchsi Genossenschaft,,Luzernstr. 5,4556,Aeschi SO,* 062 956 70 70
Bank Sparkasse:,Thurg. Kantonalbank,Thurg. Kantonalbank,,Hauptstr. 2,9556,Affeltrangen,* 0848 11 14 44
Bank Sparkasse:,Clientis Sparcassa 1816,Clientis Sparcassa 1816,,Bahnhofpl. 9,8910,Affoltern am Albis,* 044 762 20 60
Bank Sparkasse:,CREDIT SUISSE AG,CREDIT SUISSE,,Zürichstr. 55,8910,Affoltern am Albis,* 044 762 65 65
Bank Sparkasse:,family-net.ch,family-net.ch,,Obstgartenstr. 3,8910,Affoltern am Albis,* 044 762 50 67
Bank Sparkasse:,Raiffeisenbank Kelleramt-Albis Genossenschaft,Raiffeisenbank Kelleramt-Albis Genossenschaft,,Bahnhofpl. 5a,8910,Affoltern am Albis,* 044 762 40 40
Bank Sparkasse:,UBS Switzerland AG,UBS Switzerland,,Bahnhofpl. 10,8910,Affoltern am Albis,* 044 763 71 11
Bank Sparkasse:,Zürcher Kantonalbank,Zürcher Kantonalbank,,Obere Bahnhofstr. 25,8910,Affoltern am Albis,* 0844 84 38 23
Bank Sparkasse:,Ersparniskasse Affoltern i. E.,Ersparniskasse Affoltern i. E.,,Affolternstr. 14,3462,Weier im Emmental,* 034 435 15 45
Bank Sparkasse:,Bank Gantrisch Genossenschaft,Bank Gantrisch Genossenschaft,,Schwarzenburgstr. 1,3183,Albligen,* 031 741 13 88
,Bank Gantrisch Genossenschaft,Bank Gantrisch Genossenschaft,,Schwarzenburgstr. 1,3183,Albligen,* 031 741 13 88
Bank Sparkasse:,Raiffeisenbank Allschwil-Schönenbuch Genossenschaft,Raiffeisenbank Allschwil-Schönenbuch Genossenschaft,,Baslerstr. 70,4123,Allschwil,061 487 80 80
Bank Sparkasse:,UBS Switzerland AG,UBS Switzerland,,Baslerstr. 96,4123,Allschwil,* 061 486 42 42
Bank Sparkasse:,Obwaldner Kantonalbank (OKB),Obwaldner Kantonalbank (OKB),,Brünigstr. 31,6055,Alpnach Dorf,* 041 666 22 11
Bank Sparkasse:,Raiffeisenbank Obwalden Genossenschaft,Raiffeisenbank Obwalden Genossenschaft,,Bahnhofstr. 1,6055,Alpnach Dorf,041 666 56 56
Bank Sparkasse:,Raiffeisenbank Obertoggenburg Genossenschaft,Raiffeisenbank Obertoggenburg Genossenschaft,,,9656,Alt St. Johann,* 071 999 11 22
Bank Sparkasse:,Raiffeisenbank Luzerner Landschaft Nordwest Genossenschaft,Raiffeisenbank Luzerner Landschaft Nordwest Genossenschaft,,Ausserdorf 8,6147,Altbüron,* 041 984 25 25
Bank Sparkasse:,CREDIT SUISSE AG,CREDIT SUISSE,,Tellsgasse 10,6460,Altdorf UR,* 041 875 66 44
Bank Sparkasse:,Raiffeisenbank Urner Unterland Genossenschaft,Raiffeisenbank Urner Unterland Genossenschaft,,Lehnpl. 20,6460,Altdorf UR,041 874 31 61
Bank Sparkasse:,UBS Switzerland AG,UBS Switzerland,,Rathauspl. 5,6460,Altdorf UR,* 041 874 44 44
Bank Sparkasse:,Urner Kantonalbank,Urner Kantonalbank,,Bahnhofstr. 1,6460,Altdorf UR,* 041 875 60 00
Bank Sparkasse:,Bank Linth LLB AG,Bank Linth LLB,,Zürcherstr. 2a,8852,Altendorf,* 0844 11 44 11
Bank Sparkasse:,Schwyzer Kantonalbank,Schwyzer Kantonalbank,,Zürcherstr. 6,8852,Altendorf,* 058 800 20 20
,Bank Linth LLB AG,Bank Linth LLB,,Zürcherstr. 2A,8852,Altendorf,* 055 451 72 31
Bank Sparkasse:,Raiffeisenbank Freiburg Ost Genossenschaft,Raiffeisenbank Freiburg Ost Genossenschaft,,Hauptstr. 59,1715,Alterswil FR,* 026 495 91 00
Bank Sparkasse:,Kantonalbank Thurgauer,Thurgauer Kantonalbank,,Bahnhofstr. 1,8595,Altnau,* 0848 11 14 44
Bank Sparkasse:,Raiffeisenbank Regio Altnau Genossenschaft,Raiffeisenbank Regio Altnau Genossenschaft,,Wuhrwiesenstr. 4,8595,Altnau,071 694 56 94
Bank Sparkasse:,Clientis Biene Bank im Rheintal Genossenschaft,Clientis Biene Bank im Rheintal Genossenschaft,,Rorschacherstr. 9,9450,Altstätten SG,* 071 757 82 82
Bank Sparkasse:,CREDIT SUISSE AG,CREDIT SUISSE,,Marktgasse 52,9450,Altstätten SG,* 071 757 76 76
Bank Sparkasse:,Raiffeisenbank Oberes Rheintal Genossenschaft,Raiffeisenbank Oberes Rheintal Genossenschaft,,Churerstr. 1,9450,Altstätten SG,* 071 555 10 00
Bank Sparkasse:,St.Galler Kantonalbank AG,St.Galler Kantonalbank,,Trogenerstr. 2,9450,Altstätten SG,071 755 01 26
Bank Sparkasse:,UBS Switzerland AG,UBS Switzerland,,Rorschacherstr. 1,9450,Altstätten SG,* 071 757 56 56
,Clientis Biene Bank im Rheintal Genossenschaft,Clientis Biene Bank im Rheintal Genossenschaft,,Rorschacherstr. 9,9450,Altstätten SG,* 071 757 82 82
Bank Sparkasse:,Migros Bank,Migros Bank,,Bahnhofstr. 39,8580,Amriswil,* 0848 84 54 00
Bank Sparkasse:,Raiffeisenbank Amriswil-Dozwil-Sommeri Genossenschaft,Raiffeisenbank Amriswil-Dozwil-Sommeri Genossenschaft,,Kirchstr. 13,8580,Amriswil,071 414 75 75
Bank Sparkasse:,Thurgauer Kantonalbank,Thurgauer Kantonalbank,,Rütistr. 8,8580,Amriswil,* 0848 11 14 44
Bank Sparkasse:,UBS Switzerland AG,UBS Switzerland,,Bahnhofstr. 9,8580,Amriswil,* 071 414 55 55
,Migros Bank,Migros Bank,,Bahnhofstr. 39,8580,Amriswil,* 0848 84 54 00
Bank Sparkasse:,Raiffeisenbank Weinland Genossenschaft,Raiffeisenbank Weinland Genossenschaft,,Thurtalstr. 4,8450,Andelfingen,* 052 304 30 00
Bank Sparkasse:,Zürcher Kantonalbank,Zürcher Kantonalbank,,Landstr. 42,8450,Andelfingen,* 0844 84 38 23
Bank Sparkasse:,Urner Kantonalbank,Urner Kantonalbank,,Gotthardstr. 43,6490,Andermatt,* 041 875 60 00
Bank Sparkasse:,Raiffeisenbank Andwil-Arnegg Genossenschaft,Raiffeisenbank Andwil-Arnegg Genossenschaft,,Arneggerstr. 9,9204,Andwil SG,* 071 388 10 10
Bank Sparkasse:,Appenzeller Kantonalbank,Appenzeller Kantonalbank,,Bankgasse 2,9050,Appenzell,* 071 788 88 88
Bank Sparkasse:,Raiffeisenbank Appenzell Genossenschaft,Raiffeisenbank Appenzell Genossenschaft,,Hauptgasse 41,9050,Appenzell,071 788 80 80
Bank Sparkasse:,UBS Switzerland AG,UBS Switzerland,,Hauptgasse 11,9050,Appenzell,* 071 788 12 12
Bank Sparkasse:,Thurgauer Kantonalbank,Thurgauer Kantonalbank,,St. Gallerstr. 19,9320,Arbon,* 0848 11 14 44
Bank Sparkasse:,UBS Switzerland AG,UBS Switzerland,,Bahnhofstr. 26,9320,Arbon,* 071 447 79 79
Bank Sparkasse:,Raiffeisenbank Arlesheim Genossenschaft,Raiffeisenbank Arlesheim Genossenschaft,,Hauptstr. 3,4144,Arlesheim,061 465 74 74
Bank Sparkasse:,UBS Switzerland AG,UBS Switzerland,,Hauptstr. 31,4144,Arlesheim,* 061 706 26 26
Bank Sparkasse:,Raiffeisenbank Andwil-Arnegg Genossenschaft,Raiffeisenbank Andwil-Arnegg Genossenschaft,,Bischofszellerstr. 340,9212,Arnegg,071 388 10 20
Bank Sparkasse:,CREDIT SUISSE AG,CREDIT SUISSE,,Oberseepl.,7050,Arosa,* 081 378 62 62
Bank Sparkasse:,UBS Switzerland AG,UBS Switzerland,,Poststr. 198,7050,Arosa,* 081 378 79 79
Bank Sparkasse:,Schwyzer Kantonalbank,Schwyzer Kantonalbank,,Gotthardstr. 21,6415,Arth,* 058 800 20 20
Bank Sparkasse:,Raiffeisenbank Berneck-Au Genossenschaft,Raiffeisenbank Berneck-Au Genossenschaft,,Berneckerstr. 3,9434,Au SG,* 071 747 55 66
Bank Sparkasse:,St.Galler Kantonalbank AG,St.Galler Kantonalbank,,Zollstr. 3,9434,Au SG,* 071 747 15 15
Bank Sparkasse:,Raiffeisenbank Region Visp Genossenschaft,Raiffeisenbank Region Visp Genossenschaft,,Dorfstr. 75,3938,Ausserberg,027 945 60 25
Bank Sparkasse:,Raiffeisenbank am Lindenberg Genossenschaft,Raiffeisenbank am Lindenberg Genossenschaft,,Sinserstr. 2,5644,Auw,* 056 677 81 10
